,Unnamed: 0,state,date,confirmed,deaths,Unnamed: 0.1,country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
730,730,California,2020-01-23,0,0,,,,,,,,,,,,,
731,731,California,2020-01-24,0,0,,,,,,,,,,,,,
732,732,California,2020-01-25,0,0,,,,,,,,,,,,,
733,733,California,2020-01-26,2,0,,,,,,,,,,,,,
734,734,California,2020-01-27,2,0,,,,,,,,,,,,,
735,735,California,2020-01-28,2,0,,,,,,,,,,,,,
736,736,California,2020-01-29,2,0,,,,,,,,,,,,,
737,737,California,2020-01-30,2,0,,,,,,,,,,,,,
738,738,California,2020-01-31,3,0,,,,,,,,,,,,,
739,739,California,2020-02-01,3,0,,,,,,,,,,,,,
740,740,California,2020-02-02,3,0,,,,,,,,,,,,,
741,741,California,2020-02-03,6,0,,,,,,,,,,,,,
742,742,California,2020-02-04,6,0,,,,,,,,,,,,,
743,743,California,2020-02-05,6,0,,,,,,,,,,,,,
744,744,California,2020-02-06,6,0,,,,,,,,,,,,,
745,745,California,2020-02-07,6,0,,,,,,,,,,,,,
746,746,California,2020-02-08,6,0,,,,,,,,,,,,,
747,747,California,2020-02-09,6,0,,,,,,,,,,,,,
748,748,California,2020-02-10,6,0,,,,,,,,,,,,,
749,749,California,2020-02-11,7,0,,,,,,,,,,,,,
750,750,California,2020-02-12,7,0,,,,,,,,,,,,,
751,751,California,2020-02-13,8,0,,,,,,,,,,,,,
752,752,California,2020-02-14,8,0,,,,,,,,,,,,,
753,753,California,2020-02-15,8,0,231299.0,US,United States,California,,US-CA,,1.0,1.0,19.0,1.0,-1.0,0.0
754,754,California,2020-02-16,8,0,231300.0,US,United States,California,,US-CA,,5.0,0.0,31.0,1.0,-1.0,-1.0
755,755,California,2020-02-17,8,0,231301.0,US,United States,California,,US-CA,,9.0,1.0,44.0,-12.0,-38.0,8.0
756,756,California,2020-02-18,8,0,231302.0,US,United States,California,,US-CA,,0.0,0.0,16.0,3.0,0.0,0.0
757,757,California,2020-02-19,8,0,231303.0,US,United States,California,,US-CA,,0.0,0.0,13.0,1.0,0.0,0.0
758,758,California,2020-02-20,8,0,231304.0,US,United States,California,,US-CA,,2.0,1.0,12.0,1.0,0.0,0.0
759,759,California,2020-02-21,10,0,231305.0,US,United States,California,,US-CA,,1.0,0.0,8.0,0.0,1.0,0.0
760,760,California,2020-02-22,10,0,231306.0,US,United States,California,,US-CA,,0.0,0.0,-3.0,-4.0,1.0,1.0
761,761,California,2020-02-23,10,0,231307.0,US,United States,California,,US-CA,,4.0,1.0,16.0,3.0,2.0,0.0
762,762,California,2020-02-24,10,0,231308.0,US,United States,California,,US-CA,,2.0,0.0,12.0,1.0,4.0,0.0
763,763,California,2020-02-25,10,0,231309.0,US,United States,California,,US-CA,,3.0,1.0,20.0,3.0,3.0,-1.0
764,764,California,2020-02-26,10,0,231310.0,US,United States,California,,US-CA,,5.0,3.0,16.0,3.0,2.0,-1.0
765,765,California,2020-02-27,11,0,231311.0,US,United States,California,,US-CA,,5.0,3.0,14.0,3.0,2.0,-1.0
766,766,California,2020-02-28,11,0,231312.0,US,United States,California,,US-CA,,4.0,4.0,10.0,2.0,3.0,-1.0
767,767,California,2020-02-29,12,0,231313.0,US,United States,California,,US-CA,,4.0,4.0,15.0,1.0,2.0,-1.0
768,768,California,2020-03-01,12,0,231314.0,US,United States,California,,US-CA,,5.0,3.0,-4.0,-1.0,1.0,0.0
