,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
75,Alabama,2020-04-07,2169,64,-42.0,-39.0,18.0,-15.0,-31.0,15.0,4.0,5.0,-37.57142857142857,-33.42857142857143,13.142857142857142,18.0,-23.428571428571427,5.857142857142857,5.571428571428571,-0.7619047619047628
76,Alabama,2020-04-08,2328,66,-43.0,-36.0,17.0,-1.0,-30.0,2.0,15.0,6.0,-38.142857142857146,-33.0,13.285714285714286,15.571428571428571,-24.142857142857142,5.571428571428571,5.857142857142857,-1.3809523809523814
77,Alabama,2020-04-09,2703,70,-43.0,-35.0,18.0,5.0,-31.0,4.0,2.0,6.0,-38.714285714285715,-33.285714285714285,13.571428571428571,12.714285714285714,-25.0,5.428571428571429,5.571428571428571,-2.333333333333334
78,Alabama,2020-04-10,2947,80,-48.0,-34.0,20.0,4.0,-37.0,10.0,4.0,1.0,-39.857142857142854,-33.142857142857146,13.571428571428571,10.857142857142858,-25.714285714285715,6.0,5.428571428571429,-2.9047619047619064
79,Alabama,2020-04-11,3217,92,-29.0,-39.0,10.0,11.0,-35.0,12.0,10.0,4.0,-40.285714285714285,-33.857142857142854,13.857142857142858,8.285714285714286,-26.857142857142858,6.857142857142857,6.0,-3.9047619047619033
80,Alabama,2020-04-12,3563,93,-45.0,-64.0,13.0,-50.0,-51.0,1.0,12.0,15.0,-41.57142857142857,-35.142857142857146,14.285714285714286,5.428571428571429,-28.285714285714285,6.857142857142857,6.857142857142857,-5.142857142857144
81,Alabama,2020-04-13,3734,99,-41.0,-31.0,15.0,-3.0,-29.0,6.0,1.0,2.0,-41.57142857142857,-35.714285714285715,14.571428571428571,4.428571428571429,-28.857142857142858,7.142857142857143,6.857142857142857,-5.571428571428572
82,Alabama,2020-04-14,3953,114,-40.0,-30.0,16.0,3.0,-27.0,15.0,6.0,4.0,-41.285714285714285,-36.142857142857146,14.714285714285714,5.571428571428571,-29.571428571428573,7.142857142857143,7.142857142857143,-5.2857142857142865
83,Alabama,2020-04-15,4075,118,-40.0,-19.0,15.0,10.0,-24.0,4.0,15.0,10.0,-40.857142857142854,-37.714285714285715,15.142857142857142,2.7142857142857144,-31.0,7.428571428571429,7.142857142857143,-6.6190476190476195
84,Alabama,2020-04-16,4345,133,-39.0,-26.0,16.0,7.0,-27.0,15.0,4.0,12.0,-40.285714285714285,-38.142857142857146,15.428571428571429,1.7142857142857142,-31.857142857142858,9.0,7.428571428571429,-7.0
85,Alabama,2020-04-17,4571,148,-40.0,-29.0,17.0,19.0,-30.0,15.0,15.0,1.0,-39.142857142857146,-38.857142857142854,16.0,-0.14285714285714285,-33.0,9.714285714285714,9.0,-7.666666666666665
86,Alabama,2020-04-18,4712,153,-24.0,-33.0,9.0,12.0,-26.0,5.0,15.0,6.0,-38.42857142857143,-38.57142857142857,15.857142857142858,0.8571428571428571,-33.285714285714285,8.714285714285714,9.714285714285714,-7.285714285714285
87,Alabama,2020-04-19,4888,157,-37.0,-45.0,12.0,-44.0,-45.0,4.0,5.0,15.0,-37.285714285714285,-40.57142857142857,16.0,-6.142857142857143,-34.857142857142854,9.142857142857142,8.714285714285714,-10.238095238095237
88,Alabama,2020-04-20,5079,163,-39.0,-23.0,14.0,13.0,-25.0,6.0,4.0,4.0,-37.0,-39.714285714285715,15.857142857142858,-7.0,-34.857142857142854,9.142857142857142,9.142857142857142,-10.285714285714286
89,Alabama,2020-04-21,5317,183,-38.0,-23.0,15.0,18.0,-23.0,20.0,6.0,15.0,-36.714285714285715,-38.42857142857143,15.571428571428571,-4.428571428571429,-34.285714285714285,9.857142857142858,9.142857142857142,-9.095238095238097
90,Alabama,2020-04-22,5593,196,-40.0,-23.0,15.0,13.0,-22.0,13.0,20.0,15.0,-36.714285714285715,-36.0,15.285714285714286,-2.857142857142857,-33.42857142857143,11.142857142857142,9.857142857142858,-7.857142857142858
91,Alabama,2020-04-23,5832,202,-42.0,-35.0,20.0,-31.0,-33.0,6.0,13.0,5.0,-37.142857142857146,-34.714285714285715,15.0,-2.5714285714285716,-32.857142857142854,9.857142857142858,11.142857142857142,-7.42857142857143
92,Alabama,2020-04-24,6026,209,-39.0,-26.0,16.0,22.0,-26.0,7.0,6.0,4.0,-37.0,-34.0,14.571428571428571,-0.42857142857142855,-31.857142857142858,8.714285714285714,9.857142857142858,-6.6190476190476195
93,Alabama,2020-04-25,6026,209,-23.0,-31.0,9.0,17.0,-23.0,0.0,7.0,6.0,-36.857142857142854,-33.142857142857146,14.428571428571429,-0.2857142857142857,-30.571428571428573,8.0,8.714285714285714,-6.333333333333333
94,Alabama,2020-04-26,6421,219,-31.0,-30.0,8.0,15.0,-29.0,10.0,0.0,20.0,-36.0,-30.428571428571427,14.285714285714286,0.5714285714285714,-29.714285714285715,8.857142857142858,8.0,-5.190476190476189
95,Alabama,2020-04-27,6539,228,-37.0,-20.0,14.0,20.0,-21.0,9.0,10.0,13.0,-35.714285714285715,-29.285714285714285,14.142857142857142,2.857142857142857,-29.142857142857142,9.285714285714286,8.857142857142858,-4.095238095238095
96,Alabama,2020-04-28,6750,242,-37.0,-21.0,8.0,22.0,-20.0,14.0,9.0,6.0,-35.57142857142857,-28.285714285714285,14.0,5.0,-28.571428571428573,8.428571428571429,9.285714285714286,-3.095238095238095
97,Alabama,2020-04-29,6912,256,-39.0,-22.0,16.0,-11.0,-24.0,14.0,14.0,7.0,-35.42857142857143,-28.857142857142858,14.0,5.428571428571429,-28.285714285714285,8.571428571428571,8.428571428571429,-3.142857142857143
98,Alabama,2020-04-30,7088,272,-37.0,-18.0,14.0,15.0,-18.0,16.0,14.0,0.0,-34.714285714285715,-30.142857142857142,14.571428571428571,0.0,-29.142857142857142,10.0,8.571428571428571,-5.190476190476191
99,Alabama,2020-05-01,7294,289,-36.0,-16.0,13.0,39.0,-17.0,17.0,16.0,10.0,-34.285714285714285,-29.714285714285715,14.428571428571429,0.42857142857142855,-28.571428571428573,11.428571428571429,10.0,-4.9523809523809526
100,Alabama,2020-05-02,7611,288,-20.0,-21.0,6.0,61.0,-11.0,-1.0,17.0,9.0,-33.857142857142854,-29.428571428571427,14.428571428571429,1.1428571428571428,-28.142857142857142,11.285714285714286,11.428571428571429,-4.619047619047619
101,Alabama,2020-05-03,7888,290,-27.0,-20.0,6.0,52.0,-18.0,2.0,-1.0,14.0,-33.285714285714285,-27.285714285714285,13.857142857142858,9.571428571428571,-25.857142857142858,10.142857142857142,11.285714285714286,-1.2857142857142854
102,Alabama,2020-05-04,8112,298,-33.0,-11.0,11.0,25.0,-15.0,8.0,2.0,14.0,-32.714285714285715,-26.857142857142858,13.857142857142858,10.571428571428571,-25.285714285714285,10.0,10.142857142857142,-0.8095238095238096
103,Alabama,2020-05-05,8437,315,-33.0,-12.0,12.0,16.0,-14.0,17.0,8.0,16.0,-32.142857142857146,-26.571428571428573,12.857142857142858,11.142857142857142,-24.857142857142858,10.428571428571429,10.0,-0.8571428571428577
104,Alabama,2020-05-06,8691,343,-34.0,-11.0,12.0,33.0,-11.0,28.0,17.0,17.0,-31.428571428571427,-26.428571428571427,13.0,7.714285714285714,-25.142857142857142,12.428571428571429,10.428571428571429,-1.9047619047619042
105,Alabama,2020-05-07,9046,369,-34.0,-15.0,12.0,33.0,-12.0,26.0,28.0,-1.0,-31.0,-24.0,12.142857142857142,14.285714285714286,-23.0,13.857142857142858,12.428571428571429,0.8095238095238096
