,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
221,Alaska,2020-04-07,213,6,-44.0,-38.0,18.0,1.0,-48.0,0.0,0.0,0.0,-40.57142857142857,-42.0,15.857142857142858,14.0,-47.57142857142857,0.42857142857142855,0.42857142857142855,-4.0476190476190474
222,Alaska,2020-04-08,226,7,-44.0,-38.0,18.0,7.0,-49.0,1.0,0.0,0.0,-40.57142857142857,-41.285714285714285,15.857142857142858,13.571428571428571,-47.714285714285715,0.5714285714285714,0.42857142857142855,-3.952380952380952
223,Alaska,2020-04-09,235,7,-44.0,-38.0,18.0,19.0,-48.0,0.0,1.0,2.0,-40.42857142857143,-41.57142857142857,16.142857142857142,8.714285714285714,-48.857142857142854,0.5714285714285714,0.5714285714285714,-5.571428571428572
224,Alaska,2020-04-10,246,7,-44.0,-40.0,19.0,28.0,-49.0,0.0,0.0,1.0,-40.57142857142857,-41.57142857142857,16.285714285714285,8.714285714285714,-48.42857142857143,0.5714285714285714,0.5714285714285714,-5.523809523809523
225,Alaska,2020-04-11,257,8,-32.0,-41.0,10.0,36.0,-52.0,1.0,0.0,0.0,-40.57142857142857,-41.57142857142857,16.428571428571427,10.142857142857142,-48.42857142857143,0.42857142857142855,0.5714285714285714,-5.0
226,Alaska,2020-04-12,272,8,-37.0,-55.0,9.0,12.0,-59.0,0.0,1.0,0.0,-41.285714285714285,-40.57142857142857,16.285714285714285,11.714285714285714,-48.0,0.2857142857142857,0.42857142857142855,-4.190476190476191
227,Alaska,2020-04-13,277,8,-43.0,-36.0,17.0,5.0,-51.0,0.0,0.0,1.0,-41.142857142857146,-40.142857142857146,16.142857142857142,9.714285714285714,-48.0,0.2857142857142857,0.2857142857142857,-4.761904761904764
228,Alaska,2020-04-14,285,9,-41.0,-32.0,18.0,19.0,-49.0,1.0,0.0,0.0,-40.714285714285715,-40.285714285714285,16.142857142857142,7.714285714285714,-48.42857142857143,0.42857142857142855,0.2857142857142857,-5.476190476190475
229,Alaska,2020-04-15,293,9,-41.0,-25.0,17.0,-2.0,-47.0,0.0,1.0,0.0,-40.285714285714285,-40.714285714285715,16.142857142857142,8.285714285714286,-49.285714285714285,0.2857142857142857,0.42857142857142855,-5.428571428571428
230,Alaska,2020-04-16,300,9,-42.0,-29.0,17.0,8.0,-47.0,0.0,0.0,1.0,-40.0,-40.142857142857146,16.0,11.428571428571429,-49.0,0.2857142857142857,0.2857142857142857,-4.238095238095239
