,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
509,Arizona,2020-04-03,1769,44,-46.0,-38.0,19.0,-21.0,-41.0,9.0,3.0,2.0,-41.142857142857146,-34.42857142857143,13.571428571428571,-7.857142857142857,-32.857142857142854,4.428571428571429,3.857142857142857,-9.571428571428573
510,Arizona,2020-04-04,2019,52,-34.0,-44.0,13.0,-36.0,-43.0,8.0,9.0,3.0,-41.857142857142854,-35.142857142857146,13.857142857142858,-9.285714285714286,-34.42857142857143,5.285714285714286,4.428571428571429,-10.190476190476192
511,Arizona,2020-04-05,2269,64,-37.0,-43.0,11.0,-23.0,-47.0,12.0,8.0,5.0,-42.42857142857143,-35.57142857142857,14.142857142857142,-10.285714285714286,-35.57142857142857,6.714285714285714,5.285714285714286,-10.571428571428571
512,Arizona,2020-04-06,2460,65,-47.0,-38.0,17.0,-18.0,-41.0,1.0,12.0,7.0,-43.142857142857146,-35.42857142857143,14.285714285714286,-10.714285714285714,-36.142857142857146,6.428571428571429,6.714285714285714,-10.61904761904762
513,Arizona,2020-04-07,2575,73,-48.0,-38.0,17.0,-18.0,-39.0,8.0,1.0,3.0,-43.714285714285715,-35.57142857142857,14.428571428571429,-13.142857142857142,-36.714285714285715,6.857142857142857,6.428571428571429,-11.428571428571425
514,Arizona,2020-04-08,2726,89,-49.0,-39.0,18.0,-27.0,-41.0,16.0,8.0,9.0,-44.0,-36.285714285714285,14.714285714285714,-15.0,-37.42857142857143,8.142857142857142,6.857142857142857,-12.19047619047619
515,Arizona,2020-04-09,3018,98,-49.0,-37.0,18.0,-17.0,-41.0,9.0,16.0,8.0,-44.285714285714285,-36.857142857142854,15.0,-16.142857142857142,-38.0,9.0,8.142857142857142,-12.666666666666666
516,Arizona,2020-04-10,3112,106,-50.0,-38.0,20.0,-21.0,-43.0,8.0,9.0,12.0,-44.857142857142854,-36.857142857142854,15.142857142857142,-16.0,-38.285714285714285,8.857142857142858,9.0,-12.57142857142857
517,Arizona,2020-04-11,3393,117,-36.0,-43.0,14.0,-42.0,-45.0,11.0,8.0,1.0,-45.142857142857146,-37.285714285714285,15.285714285714286,-17.714285714285715,-39.142857142857146,9.285714285714286,8.857142857142858,-13.238095238095239
518,Arizona,2020-04-12,3542,125,-41.0,-57.0,10.0,-31.0,-48.0,8.0,11.0,8.0,-45.714285714285715,-37.714285714285715,15.428571428571429,-20.0,-40.0,8.714285714285714,9.285714285714286,-14.095238095238095
519,Arizona,2020-04-13,3705,132,-47.0,-39.0,17.0,-22.0,-42.0,7.0,8.0,16.0,-45.714285714285715,-38.857142857142854,15.857142857142858,-21.714285714285715,-40.57142857142857,9.571428571428571,8.714285714285714,-14.904761904761903
520,Arizona,2020-04-14,3809,143,-47.0,-37.0,18.0,-17.0,-38.0,11.0,7.0,9.0,-45.57142857142857,-39.57142857142857,16.0,-21.857142857142858,-41.142857142857146,10.0,9.571428571428571,-15.142857142857144
521,Arizona,2020-04-15,3964,155,-46.0,-31.0,17.0,-15.0,-36.0,12.0,11.0,8.0,-45.142857142857146,-39.714285714285715,16.142857142857142,-22.857142857142858,-41.714285714285715,9.428571428571429,10.0,-15.476190476190476
522,Arizona,2020-04-16,4237,164,-47.0,-33.0,17.0,-13.0,-38.0,9.0,12.0,11.0,-44.857142857142854,-39.57142857142857,16.142857142857142,-22.857142857142858,-41.857142857142854,9.428571428571429,9.428571428571429,-15.428571428571429
523,Arizona,2020-04-17,4511,183,-46.0,-37.0,19.0,-19.0,-39.0,19.0,9.0,8.0,-44.285714285714285,-39.57142857142857,16.285714285714285,-22.857142857142858,-42.142857142857146,11.0,9.428571428571429,-15.38095238095238
524,Arizona,2020-04-18,4724,180,-32.0,-40.0,12.0,-29.0,-38.0,-3.0,19.0,7.0,-43.714285714285715,-39.42857142857143,16.428571428571427,-23.714285714285715,-42.42857142857143,9.0,11.0,-15.571428571428575
525,Arizona,2020-04-19,4933,184,-34.0,-38.0,9.0,-15.0,-42.0,4.0,-3.0,11.0,-42.714285714285715,-41.42857142857143,16.285714285714285,-24.857142857142858,-42.57142857142857,8.428571428571429,9.0,-16.666666666666668
526,Arizona,2020-04-20,5068,191,-46.0,-33.0,16.0,-13.0,-39.0,7.0,4.0,12.0,-42.57142857142857,-41.57142857142857,16.285714285714285,-25.428571428571427,-42.714285714285715,8.428571428571429,8.428571428571429,-16.9047619047619
527,Arizona,2020-04-21,5256,208,-46.0,-34.0,17.0,-16.0,-37.0,17.0,7.0,9.0,-42.42857142857143,-41.42857142857143,16.428571428571427,-25.285714285714285,-42.57142857142857,9.285714285714286,8.428571428571429,-16.761904761904763
