,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
658,Arkansas,2020-04-06,875,16,-36.0,-29.0,13.0,15.0,-25.0,0.0,2.0,2.0,-33.142857142857146,-29.428571428571427,11.714285714285714,63.142857142857146,-21.142857142857142,1.2857142857142858,1.4285714285714286,15.142857142857144
659,Arkansas,2020-04-07,946,18,-37.0,-30.0,14.0,46.0,-24.0,2.0,0.0,2.0,-33.42857142857143,-28.857142857142858,11.571428571428571,60.857142857142854,-21.714285714285715,1.4285714285714286,1.2857142857142858,14.523809523809524
660,Arkansas,2020-04-08,1000,18,-37.0,-25.0,12.0,81.0,-24.0,0.0,2.0,0.0,-33.714285714285715,-28.0,11.428571428571429,56.142857142857146,-21.714285714285715,1.1428571428571428,1.4285714285714286,13.190476190476192
661,Arkansas,2020-04-09,1119,21,-38.0,-25.0,13.0,58.0,-25.0,3.0,0.0,2.0,-34.0,-28.0,11.571428571428571,45.57142857142857,-22.142857142857142,1.2857142857142858,1.1428571428571428,9.714285714285714
662,Arkansas,2020-04-10,1171,21,-43.0,-25.0,15.0,62.0,-30.0,0.0,3.0,2.0,-35.0,-28.0,11.857142857142858,33.857142857142854,-22.857142857142858,1.2857142857142858,1.2857142857142858,5.904761904761904
663,Arkansas,2020-04-11,1228,25,-26.0,-35.0,10.0,1.0,-34.0,4.0,0.0,0.0,-35.142857142857146,-28.428571428571427,12.142857142857142,29.428571428571427,-23.571428571428573,1.5714285714285714,1.2857142857142858,4.3809523809523805
664,Arkansas,2020-04-12,1280,27,-36.0,-53.0,10.0,-27.0,-39.0,2.0,4.0,2.0,-36.142857142857146,-29.428571428571427,12.285714285714286,21.428571428571427,-25.142857142857142,1.5714285714285714,1.5714285714285714,1.4285714285714295
665,Arkansas,2020-04-13,1410,29,-39.0,-26.0,12.0,-9.0,-22.0,2.0,2.0,0.0,-36.57142857142857,-29.142857142857142,12.142857142857142,26.285714285714285,-25.142857142857142,1.8571428571428572,1.5714285714285714,3.095238095238095
666,Arkansas,2020-04-14,1498,32,-38.0,-25.0,13.0,11.0,-21.0,3.0,2.0,3.0,-36.714285714285715,-29.714285714285715,12.285714285714286,27.714285714285715,-25.571428571428573,2.0,1.8571428571428572,3.4285714285714284
667,Arkansas,2020-04-15,1569,33,-35.0,-10.0,11.0,56.0,-18.0,1.0,3.0,0.0,-36.42857142857143,-30.571428571428573,12.428571428571429,28.571428571428573,-26.428571428571427,2.142857142857143,2.0,3.476190476190476
