,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
784,California,2020-03-17,700,12,-33.0,-23.0,14.0,-12.0,-34.0,5.0,2.0,0.0,-12.571428571428571,2.142857142857143,0.7142857142857143,6.571428571428571,-5.142857142857143,1.4285714285714286,0.8571428571428571,3.142857142857143
785,California,2020-03-18,828,16,-38.0,-29.0,17.0,-20.0,-39.0,4.0,5.0,0.0,-17.571428571428573,2.0,1.0,6.142857142857143,-6.428571428571429,1.7142857142857142,1.4285714285714286,3.0476190476190474
786,California,2020-03-19,1005,18,-40.0,-32.0,18.0,-20.0,-43.0,2.0,4.0,-1.0,-22.428571428571427,0.8571428571428571,1.5714285714285714,2.4285714285714284,-8.857142857142858,2.0,1.7142857142857142,1.6190476190476188
787,California,2020-03-20,1243,24,-44.0,-40.0,21.0,-22.0,-46.0,6.0,2.0,2.0,-27.571428571428573,0.14285714285714285,2.2857142857142856,-1.4285714285714286,-11.285714285714286,2.857142857142857,2.0,0.33333333333333326
788,California,2020-03-21,1405,25,-33.0,-48.0,16.0,-22.0,-47.0,1.0,6.0,2.0,-31.428571428571427,-1.7142857142857142,3.0,-6.714285714285714,-13.857142857142858,3.142857142857143,2.857142857142857,-1.8095238095238095
789,California,2020-03-22,1646,30,-36.0,-50.0,14.0,-24.0,-52.0,5.0,1.0,5.0,-35.42857142857143,-4.285714285714286,3.857142857142857,-11.857142857142858,-16.571428571428573,3.5714285714285716,3.142857142857143,-4.095238095238096
790,California,2020-03-23,2108,39,-49.0,-41.0,21.0,-28.0,-52.0,9.0,5.0,4.0,-39.0,-6.428571428571429,5.285714285714286,-17.428571428571427,-20.0,4.571428571428571,3.5714285714285716,-6.19047619047619
791,California,2020-03-24,2538,50,-50.0,-42.0,22.0,-31.0,-52.0,11.0,9.0,2.0,-41.42857142857143,-9.571428571428571,6.857142857142857,-17.714285714285715,-23.0,5.428571428571429,4.571428571428571,-6.80952380952381
792,California,2020-03-25,2998,65,-51.0,-42.0,22.0,-30.0,-52.0,15.0,11.0,6.0,-43.285714285714285,-14.142857142857142,9.0,-22.285714285714285,-27.142857142857142,7.0,5.428571428571429,-9.142857142857142
793,California,2020-03-26,3899,81,-51.0,-42.0,23.0,-28.0,-53.0,16.0,15.0,1.0,-44.857142857142854,-18.285714285714285,11.0,-23.0,-30.714285714285715,9.0,7.0,-10.095238095238095
794,California,2020-03-27,4657,94,-50.0,-44.0,24.0,-29.0,-54.0,13.0,16.0,5.0,-45.714285714285715,-23.571428571428573,13.285714285714286,-23.285714285714285,-34.285714285714285,10.0,9.0,-11.19047619047619
795,California,2020-03-28,5095,110,-37.0,-50.0,18.0,-48.0,-53.0,16.0,13.0,9.0,-46.285714285714285,-28.571428571428573,14.714285714285714,-21.142857142857142,-37.57142857142857,12.142857142857142,10.0,-11.666666666666666
796,California,2020-03-29,5852,124,-39.0,-50.0,15.0,-38.0,-54.0,14.0,16.0,11.0,-46.714285714285715,-33.42857142857143,15.857142857142858,-21.0,-41.714285714285715,13.428571428571429,12.142857142857142,-12.857142857142856
797,California,2020-03-30,7138,146,-51.0,-40.0,21.0,-24.0,-53.0,22.0,14.0,15.0,-47.0,-37.57142857142857,17.285714285714285,-21.142857142857142,-44.714285714285715,15.285714285714286,13.428571428571429,-13.80952380952381
798,California,2020-03-31,8210,173,-53.0,-40.0,22.0,-23.0,-52.0,27.0,22.0,16.0,-47.42857142857143,-40.285714285714285,18.428571428571427,-23.857142857142858,-47.285714285714285,17.571428571428573,15.285714285714286,-15.238095238095239
799,California,2020-04-01,9399,199,-52.0,-39.0,22.0,-25.0,-51.0,26.0,27.0,13.0,-47.57142857142857,-42.142857142857146,19.142857142857142,-25.285714285714285,-49.142857142857146,19.142857142857142,17.571428571428573,-16.0952380952381
800,California,2020-04-02,10773,238,-53.0,-41.0,23.0,-30.0,-54.0,39.0,26.0,16.0,-47.857142857142854,-43.57142857142857,19.857142857142858,-26.428571428571427,-50.57142857142857,22.428571428571427,19.142857142857142,-16.71428571428571
801,California,2020-04-03,12004,265,-51.0,-42.0,23.0,-31.0,-53.0,27.0,39.0,14.0,-48.0,-44.142857142857146,20.285714285714285,-27.428571428571427,-51.714285714285715,24.428571428571427,22.428571428571427,-17.0952380952381
802,California,2020-04-04,12837,289,-39.0,-50.0,18.0,-54.0,-54.0,24.0,27.0,22.0,-48.285714285714285,-44.42857142857143,20.571428571428573,-31.142857142857142,-52.57142857142857,25.571428571428573,24.428571428571427,-18.333333333333332
803,California,2020-04-05,15034,348,-42.0,-53.0,16.0,-61.0,-59.0,59.0,24.0,27.0,-48.714285714285715,-44.42857142857143,20.714285714285715,-33.142857142857146,-52.857142857142854,32.0,25.571428571428573,-18.952380952380953
804,California,2020-04-06,16019,380,-54.0,-46.0,24.0,-54.0,-60.0,32.0,59.0,26.0,-49.142857142857146,-44.285714285714285,20.714285714285715,-32.57142857142857,-53.0,33.42857142857143,32.0,-18.71428571428571
805,California,2020-04-07,17351,432,-55.0,-47.0,24.0,-41.0,-57.0,52.0,32.0,39.0,-49.42857142857143,-44.0,20.714285714285715,-31.428571428571427,-53.0,37.0,33.42857142857143,-18.238095238095237
806,California,2020-04-08,18897,495,-55.0,-47.0,24.0,-43.0,-58.0,63.0,52.0,27.0,-49.857142857142854,-43.57142857142857,20.714285714285715,-30.714285714285715,-52.857142857142854,42.285714285714285,37.0,-17.857142857142858
807,California,2020-04-09,19710,544,-56.0,-49.0,26.0,-54.0,-62.0,49.0,63.0,24.0,-50.285714285714285,-43.42857142857143,20.714285714285715,-31.0,-53.0,43.714285714285715,42.285714285714285,-17.904761904761905
808,California,2020-04-10,21081,583,-56.0,-47.0,26.0,-44.0,-59.0,39.0,49.0,59.0,-51.0,-43.142857142857146,20.571428571428573,-31.285714285714285,-52.857142857142854,45.42857142857143,43.714285714285715,-17.952380952380953
809,California,2020-04-11,21706,604,-40.0,-48.0,18.0,-46.0,-53.0,21.0,39.0,32.0,-51.142857142857146,-43.142857142857146,20.571428571428573,-32.142857142857146,-53.0,45.0,45.42857142857143,-18.23809523809524
810,California,2020-04-12,22795,640,-44.0,-62.0,16.0,-55.0,-58.0,36.0,21.0,52.0,-51.42857142857143,-43.57142857142857,20.714285714285715,-35.42857142857143,-53.714285714285715,41.714285714285715,45.0,-19.428571428571427
811,California,2020-04-13,23931,714,-52.0,-45.0,22.0,-36.0,-55.0,74.0,36.0,63.0,-51.142857142857146,-44.42857142857143,21.142857142857142,-39.714285714285715,-54.714285714285715,47.714285714285715,41.714285714285715,-21.0
812,California,2020-04-14,25356,767,-52.0,-43.0,22.0,-25.0,-52.0,53.0,74.0,49.0,-50.714285714285715,-45.42857142857143,21.428571428571427,-42.285714285714285,-55.42857142857143,47.857142857142854,47.714285714285715,-22.0952380952381
813,California,2020-04-15,26686,860,-52.0,-45.0,22.0,-28.0,-51.0,93.0,53.0,39.0,-50.285714285714285,-46.57142857142857,21.714285714285715,-44.857142857142854,-56.42857142857143,52.142857142857146,47.857142857142854,-23.238095238095237
