,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
938,Colorado,2020-03-25,1087,20,-49.0,-35.0,19.0,32.0,-50.0,9.0,4.0,0.0,-41.714285714285715,-12.142857142857142,7.0,15.285714285714286,-20.285714285714285,2.4285714285714284,1.1428571428571428,3.3809523809523814
939,Colorado,2020-03-26,1430,19,-53.0,-50.0,22.0,4.0,-57.0,-1.0,9.0,1.0,-42.57142857142857,-19.571428571428573,10.0,4.714285714285714,-27.285714285714285,2.0,2.4285714285714284,-1.6190476190476195
940,Colorado,2020-03-27,1738,31,-53.0,-53.0,25.0,-42.0,-60.0,12.0,-1.0,1.0,-43.57142857142857,-24.714285714285715,12.285714285714286,1.7142857142857142,-31.714285714285715,3.7142857142857144,2.0,-3.5714285714285716
941,Colorado,2020-03-28,2061,44,-40.0,-56.0,17.0,-39.0,-59.0,13.0,12.0,0.0,-45.142857142857146,-28.857142857142858,13.428571428571429,0.42857142857142855,-35.857142857142854,5.428571428571429,3.7142857142857144,-5.0
942,Colorado,2020-03-29,2308,47,-40.0,-51.0,13.0,-12.0,-60.0,3.0,13.0,4.0,-46.142857142857146,-32.714285714285715,14.285714285714286,-0.42857142857142855,-40.0,5.714285714285714,5.428571428571429,-6.285714285714286
943,Colorado,2020-03-30,2627,51,-50.0,-44.0,19.0,0.0,-56.0,4.0,3.0,9.0,-47.42857142857143,-36.142857142857146,15.571428571428571,-4.142857142857143,-43.42857142857143,6.285714285714286,5.714285714285714,-8.238095238095239
944,Colorado,2020-03-31,2966,69,-53.0,-40.0,20.0,23.0,-52.0,18.0,4.0,-1.0,-48.285714285714285,-37.714285714285715,16.285714285714285,-1.0,-46.0,8.285714285714286,6.285714285714286,-7.476190476190477
945,Colorado,2020-04-01,3342,79,-54.0,-41.0,21.0,16.0,-54.0,10.0,18.0,12.0,-49.0,-39.0,17.0,-3.5714285714285716,-48.57142857142857,8.428571428571429,8.285714285714286,-8.523809523809524
946,Colorado,2020-04-02,3728,97,-56.0,-48.0,24.0,-46.0,-63.0,18.0,10.0,13.0,-49.42857142857143,-39.57142857142857,17.0,4.428571428571429,-48.57142857142857,11.142857142857142,8.428571428571429,-6.047619047619047
947,Colorado,2020-04-03,4173,111,-54.0,-47.0,25.0,-37.0,-60.0,14.0,18.0,3.0,-49.57142857142857,-41.142857142857146,17.571428571428573,4.571428571428571,-50.285714285714285,11.428571428571429,11.142857142857142,-6.333333333333333
948,Colorado,2020-04-04,4565,126,-40.0,-50.0,16.0,-21.0,-57.0,15.0,14.0,4.0,-49.57142857142857,-43.0,18.142857142857142,2.7142857142857144,-52.42857142857143,11.714285714285714,11.428571428571429,-7.3809523809523805
