,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
1090,Connecticut,2020-03-31,3128,69,-51.0,-42.0,22.0,8.0,-51.0,33.0,2.0,2.0,-45.285714285714285,-37.57142857142857,16.142857142857142,20.571428571428573,-42.285714285714285,8.142857142857142,3.7142857142857144,-0.2857142857142847
1091,Connecticut,2020-04-01,3557,85,-51.0,-40.0,21.0,28.0,-49.0,16.0,33.0,6.0,-45.57142857142857,-40.285714285714285,17.285714285714285,11.0,-45.285714285714285,9.428571428571429,8.142857142857142,-4.0
1092,Connecticut,2020-04-02,3824,112,-51.0,-44.0,23.0,-3.0,-54.0,27.0,16.0,6.0,-46.0,-41.42857142857143,17.857142857142858,20.571428571428573,-46.42857142857143,13.0,9.428571428571429,-1.0
1093,Connecticut,2020-04-03,4914,131,-52.0,-46.0,26.0,-35.0,-59.0,19.0,27.0,1.0,-46.714285714285715,-42.857142857142854,18.428571428571427,26.714285714285715,-47.857142857142854,14.857142857142858,13.0,0.7619047619047628
1094,Connecticut,2020-04-04,5276,165,-38.0,-47.0,15.0,88.0,-53.0,34.0,19.0,2.0,-47.142857142857146,-44.285714285714285,19.0,16.571428571428573,-50.285714285714285,18.857142857142858,14.857142857142858,-2.9047619047619038
1095,Connecticut,2020-04-05,5675,189,-38.0,-50.0,13.0,23.0,-61.0,24.0,34.0,33.0,-47.142857142857146,-46.142857142857146,19.571428571428573,5.285714285714286,-52.57142857142857,22.142857142857142,18.857142857142858,-7.095238095238096
1096,Connecticut,2020-04-06,6906,206,-52.0,-39.0,21.0,60.0,-52.0,17.0,24.0,16.0,-47.57142857142857,-45.57142857142857,19.571428571428573,11.0,-52.57142857142857,24.285714285714285,22.142857142857142,-4.999999999999999
1097,Connecticut,2020-04-07,7781,277,-53.0,-41.0,22.0,42.0,-50.0,71.0,17.0,27.0,-47.857142857142854,-45.42857142857143,19.714285714285715,9.714285714285714,-53.285714285714285,29.714285714285715,24.285714285714285,-5.333333333333333
1098,Connecticut,2020-04-08,7781,326,-54.0,-46.0,23.0,-3.0,-54.0,49.0,71.0,19.0,-48.285714285714285,-44.57142857142857,19.571428571428573,16.714285714285715,-53.0,34.42857142857143,29.714285714285715,-2.7619047619047605
1099,Connecticut,2020-04-09,9784,380,-55.0,-48.0,25.0,-32.0,-59.0,54.0,49.0,34.0,-48.857142857142854,-45.0,19.857142857142858,8.428571428571429,-53.857142857142854,38.285714285714285,34.42857142857143,-5.571428571428572
1100,Connecticut,2020-04-10,10538,448,-62.0,-45.0,28.0,-10.0,-59.0,68.0,54.0,24.0,-50.285714285714285,-45.57142857142857,20.428571428571427,-4.428571428571429,-55.0,45.285714285714285,38.285714285714285,-9.857142857142856
1101,Connecticut,2020-04-11,11510,494,-40.0,-44.0,15.0,76.0,-54.0,46.0,68.0,17.0,-50.57142857142857,-45.42857142857143,20.428571428571427,4.0,-54.714285714285715,47.0,45.285714285714285,-7.000000000000001
1102,Connecticut,2020-04-12,12035,554,-45.0,-65.0,13.0,25.0,-62.0,60.0,46.0,71.0,-51.57142857142857,-44.57142857142857,20.142857142857142,14.714285714285714,-54.285714285714285,52.142857142857146,47.0,-3.2380952380952377
1103,Connecticut,2020-04-13,13381,602,-56.0,-57.0,26.0,-52.0,-66.0,48.0,60.0,49.0,-52.142857142857146,-44.0,20.142857142857142,24.142857142857142,-54.142857142857146,56.57142857142857,52.142857142857146,0.0952380952380949
1104,Connecticut,2020-04-14,13989,671,-52.0,-39.0,21.0,35.0,-50.0,69.0,48.0,54.0,-52.0,-43.857142857142854,20.142857142857142,29.0,-54.0,56.285714285714285,56.57142857142857,1.7619047619047628
1105,Connecticut,2020-04-15,14755,868,-52.0,-36.0,22.0,20.0,-52.0,197.0,69.0,68.0,-51.714285714285715,-44.714285714285715,20.428571428571427,24.571428571428573,-54.714285714285715,77.42857142857143,56.285714285714285,0.0952380952380949
