,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
1531,District of Columbia,2020-04-03,757,15,-67.0,-60.0,29.0,-57.0,-74.0,3.0,3.0,1.0,-62.142857142857146,-57.42857142857143,24.0,-44.0,-69.57142857142857,1.7142857142857142,1.2857142857142858,-25.80952380952381
1532,District of Columbia,2020-04-04,902,21,-48.0,-67.0,17.0,-65.0,-71.0,6.0,3.0,4.0,-62.285714285714285,-60.0,23.285714285714285,-51.57142857142857,-70.71428571428571,2.4285714285714284,1.7142857142857142,-29.428571428571427
1533,District of Columbia,2020-04-05,1002,22,-49.0,-66.0,15.0,-50.0,-71.0,1.0,6.0,0.0,-62.57142857142857,-60.57142857142857,23.571428571428573,-53.857142857142854,-71.28571428571429,2.4285714285714284,2.4285714285714284,-30.28571428571429
1534,District of Columbia,2020-04-06,1097,24,-68.0,-60.0,28.0,-51.0,-75.0,2.0,1.0,0.0,-63.0,-60.285714285714285,23.428571428571427,-51.142857142857146,-71.28571428571429,2.142857142857143,2.4285714285714284,-29.333333333333332
1535,District of Columbia,2020-04-07,1211,22,-71.0,-63.0,28.0,-61.0,-78.0,-2.0,2.0,3.0,-63.285714285714285,-61.142857142857146,23.857142857142858,-53.857142857142854,-72.14285714285714,1.8571428571428572,2.142857142857143,-30.38095238095238
1536,District of Columbia,2020-04-08,1440,27,-71.0,-62.0,28.0,-57.0,-77.0,5.0,-2.0,3.0,-63.42857142857143,-60.714285714285715,23.857142857142858,-53.0,-72.28571428571429,2.5714285714285716,1.8571428571428572,-29.952380952380953
1537,District of Columbia,2020-04-09,1523,32,-71.0,-64.0,30.0,-67.0,-78.0,5.0,5.0,6.0,-63.57142857142857,-61.142857142857146,24.142857142857142,-55.285714285714285,-72.85714285714286,2.857142857142857,2.5714285714285716,-30.76190476190476
1538,District of Columbia,2020-04-10,1660,38,-70.0,-65.0,31.0,-74.0,-77.0,6.0,5.0,1.0,-64.0,-61.285714285714285,24.428571428571427,-57.0,-73.42857142857143,3.2857142857142856,2.857142857142857,-31.28571428571429
1539,District of Columbia,2020-04-11,1778,47,-48.0,-69.0,17.0,-65.0,-69.0,9.0,6.0,2.0,-64.0,-61.142857142857146,24.428571428571427,-56.42857142857143,-73.57142857142857,3.7142857142857144,3.2857142857142856,-31.04761904761905
1540,District of Columbia,2020-04-12,1875,50,-51.0,-72.0,15.0,-61.0,-73.0,3.0,9.0,-2.0,-64.28571428571429,-61.42857142857143,24.571428571428573,-57.714285714285715,-74.0,4.0,3.7142857142857144,-31.52380952380953
