,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
1664,Florida,2020-03-21,763,13,-26.0,-39.0,11.0,-33.0,-42.0,2.0,2.0,0.0,-22.571428571428573,2.857142857142857,0.7142857142857143,10.714285714285714,-2.857142857142857,1.5714285714285714,1.2857142857142858,4.761904761904762
1665,Florida,2020-03-22,1004,13,-33.0,-43.0,11.0,-33.0,-49.0,0.0,2.0,2.0,-26.428571428571427,1.0,1.0,12.571428571428571,-4.857142857142857,1.4285714285714286,1.5714285714285714,4.857142857142857
1666,Florida,2020-03-23,1227,18,-36.0,-37.0,15.0,-33.0,-46.0,5.0,0.0,2.0,-29.0,-0.5714285714285714,1.8571428571428572,11.714285714285714,-7.0,2.142857142857143,1.4285714285714286,4.333333333333333
1667,Florida,2020-03-24,1412,18,-39.0,-38.0,16.0,-33.0,-46.0,0.0,5.0,2.0,-31.428571428571427,-2.857142857142857,3.0,10.285714285714286,-9.714285714285714,1.8571428571428572,2.142857142857143,3.4761904761904763
1668,Florida,2020-03-25,1682,23,-40.0,-38.0,17.0,-33.0,-48.0,5.0,0.0,2.0,-33.42857142857143,-6.428571428571429,4.428571428571429,7.428571428571429,-13.285714285714286,2.2857142857142856,1.8571428571428572,1.8095238095238095
1669,Florida,2020-03-26,2357,29,-42.0,-40.0,18.0,-34.0,-51.0,6.0,5.0,2.0,-35.285714285714285,-10.428571428571429,6.142857142857143,4.0,-17.714285714285715,2.857142857142857,2.2857142857142856,-0.09523809523809519
1670,Florida,2020-03-27,2900,35,-43.0,-44.0,20.0,-38.0,-55.0,6.0,6.0,0.0,-37.0,-14.714285714285714,7.857142857142857,-0.14285714285714285,-22.0,3.4285714285714284,2.857142857142857,-2.3333333333333335
1671,Florida,2020-03-28,3763,54,-36.0,-49.0,14.0,-48.0,-59.0,19.0,6.0,5.0,-38.42857142857143,-19.428571428571427,9.142857142857142,-6.0,-26.571428571428573,5.857142857142857,3.4285714285714284,-5.428571428571428
1672,Florida,2020-03-29,4246,56,-41.0,-50.0,13.0,-48.0,-63.0,2.0,19.0,0.0,-39.57142857142857,-24.285714285714285,10.285714285714286,-12.428571428571429,-31.714285714285715,6.142857142857143,5.857142857142857,-8.809523809523808
1673,Florida,2020-03-30,5473,63,-43.0,-42.0,17.0,-42.0,-55.0,7.0,2.0,5.0,-40.57142857142857,-28.714285714285715,11.571428571428571,-17.142857142857142,-36.0,6.428571428571429,6.142857142857143,-11.42857142857143
1674,Florida,2020-03-31,6741,85,-45.0,-42.0,19.0,-46.0,-52.0,22.0,7.0,6.0,-41.42857142857143,-32.57142857142857,12.714285714285714,-22.0,-40.0,9.571428571428571,6.428571428571429,-13.95238095238095
1675,Florida,2020-04-01,6956,87,-45.0,-37.0,18.0,-41.0,-53.0,2.0,22.0,6.0,-42.142857142857146,-35.285714285714285,13.714285714285714,-26.714285714285715,-43.142857142857146,9.142857142857142,9.571428571428571,-16.095238095238095
1676,Florida,2020-04-02,9008,164,-46.0,-39.0,19.0,-42.0,-55.0,77.0,2.0,19.0,-42.714285714285715,-37.714285714285715,14.571428571428571,-30.571428571428573,-45.714285714285715,19.285714285714285,9.142857142857142,-17.90476190476191
1677,Florida,2020-04-03,10268,170,-48.0,-47.0,22.0,-49.0,-59.0,6.0,77.0,2.0,-43.42857142857143,-39.857142857142854,15.428571428571429,-33.857142857142854,-48.142857142857146,19.285714285714285,19.285714285714285,-19.428571428571427
1678,Florida,2020-04-04,11537,195,-40.0,-53.0,16.0,-57.0,-64.0,25.0,6.0,7.0,-44.0,-41.285714285714285,15.857142857142858,-36.0,-50.57142857142857,20.142857142857142,19.285714285714285,-20.476190476190478
1679,Florida,2020-04-05,12350,221,-45.0,-57.0,15.0,-70.0,-70.0,26.0,25.0,22.0,-44.57142857142857,-42.285714285714285,16.142857142857142,-38.142857142857146,-52.57142857142857,23.571428571428573,20.142857142857142,-21.42857142857143
1680,Florida,2020-04-06,13324,236,-48.0,-47.0,19.0,-50.0,-59.0,15.0,26.0,2.0,-45.285714285714285,-43.0,16.428571428571427,-39.42857142857143,-53.857142857142854,24.714285714285715,23.571428571428573,-22.0
1681,Florida,2020-04-07,14545,283,-49.0,-46.0,20.0,-46.0,-56.0,47.0,15.0,77.0,-45.857142857142854,-43.57142857142857,16.857142857142858,-41.285714285714285,-54.714285714285715,28.285714285714285,24.714285714285715,-22.666666666666668
1682,Florida,2020-04-08,15456,309,-49.0,-46.0,20.0,-45.0,-57.0,26.0,47.0,6.0,-46.42857142857143,-43.42857142857143,17.0,-42.42857142857143,-55.42857142857143,31.714285714285715,28.285714285714285,-22.952380952380953
1683,Florida,2020-04-09,16364,354,-50.0,-46.0,21.0,-46.0,-58.0,45.0,26.0,25.0,-47.0,-43.285714285714285,17.142857142857142,-43.57142857142857,-56.0,27.142857142857142,31.714285714285715,-23.238095238095237
1684,Florida,2020-04-10,17531,390,-53.0,-47.0,23.0,-48.0,-61.0,36.0,45.0,26.0,-47.714285714285715,-43.714285714285715,17.428571428571427,-45.142857142857146,-56.57142857142857,31.428571428571427,27.142857142857142,-23.80952380952381
1685,Florida,2020-04-11,18494,438,-40.0,-49.0,15.0,-54.0,-65.0,48.0,36.0,15.0,-47.714285714285715,-44.285714285714285,17.714285714285715,-46.42857142857143,-57.285714285714285,34.714285714285715,31.428571428571427,-24.333333333333332
