,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
1814,Georgia,2020-03-25,1247,40,-42.0,-33.0,17.0,19.0,-39.0,8.0,7.0,4.0,-33.0,-6.428571428571429,5.142857142857143,20.857142857142858,-12.714285714285714,5.285714285714286,4.428571428571429,6.523809523809525
1815,Georgia,2020-03-26,1525,48,-43.0,-34.0,18.0,3.0,-43.0,8.0,8.0,6.0,-34.714285714285715,-10.571428571428571,7.0,21.428571428571427,-16.571428571428573,5.428571428571429,5.285714285714286,5.952380952380952
1816,Georgia,2020-03-27,2000,64,-42.0,-35.0,18.0,33.0,-45.0,16.0,8.0,5.0,-36.142857142857146,-14.428571428571429,8.714285714285714,22.428571428571427,-20.142857142857142,7.142857142857143,5.428571428571429,5.57142857142857
1817,Georgia,2020-03-28,2366,69,-28.0,-39.0,12.0,14.0,-43.0,5.0,16.0,0.0,-37.57142857142857,-18.285714285714285,9.714285714285714,20.0,-23.428571428571427,7.0,7.142857142857143,3.8095238095238098
1818,Georgia,2020-03-29,2651,80,-37.0,-42.0,11.0,-2.0,-52.0,11.0,5.0,7.0,-38.714285714285715,-22.142857142857142,10.714285714285714,17.142857142857142,-27.571428571428573,7.857142857142857,7.0,1.9047619047619044
1819,Georgia,2020-03-30,2808,87,-44.0,-34.0,16.0,2.0,-47.0,7.0,11.0,8.0,-39.57142857142857,-26.0,12.0,12.0,-30.857142857142858,8.857142857142858,7.857142857142857,-0.6666666666666666
1820,Georgia,2020-03-31,3929,111,-47.0,-37.0,20.0,-36.0,-46.0,24.0,7.0,8.0,-40.42857142857143,-29.0,13.0,7.0,-33.57142857142857,11.285714285714286,8.857142857142858,-3.0
1821,Georgia,2020-04-01,4638,139,-47.0,-30.0,18.0,-5.0,-44.0,28.0,24.0,16.0,-41.142857142857146,-31.142857142857142,13.714285714285714,6.285714285714286,-35.714285714285715,14.142857142857142,11.285714285714286,-3.7142857142857153
1822,Georgia,2020-04-02,5348,163,-47.0,-29.0,19.0,-15.0,-46.0,24.0,28.0,5.0,-41.714285714285715,-33.0,14.428571428571429,2.857142857142857,-37.714285714285715,16.428571428571427,14.142857142857142,-5.238095238095237
1823,Georgia,2020-04-03,5831,184,-48.0,-37.0,20.0,4.0,-50.0,21.0,24.0,11.0,-42.57142857142857,-34.57142857142857,15.142857142857142,1.0,-39.857142857142854,17.142857142857142,16.428571428571427,-6.142857142857142
