,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2271,Hawaii,2020-04-13,504,9,-50.0,-55.0,22.0,-68.0,-68.0,0.0,1.0,0.0,-51.285714285714285,-50.42857142857143,20.857142857142858,-64.28571428571429,-67.14285714285714,0.5714285714285714,0.7142857142857143,-31.28571428571429
2272,Hawaii,2020-04-14,511,9,-50.0,-54.0,24.0,-71.0,-70.0,0.0,0.0,1.0,-51.142857142857146,-51.142857142857146,21.285714285714285,-64.85714285714286,-69.57142857142857,0.5714285714285714,0.5714285714285714,-31.571428571428573
2273,Hawaii,2020-04-15,524,9,-49.0,-51.0,23.0,-62.0,-67.0,0.0,0.0,0.0,-50.857142857142854,-51.714285714285715,21.285714285714285,-65.71428571428571,-69.85714285714286,0.5714285714285714,0.5714285714285714,-32.047619047619044
2274,Hawaii,2020-04-16,530,9,-49.0,-51.0,23.0,-63.0,-69.0,0.0,0.0,2.0,-50.57142857142857,-51.714285714285715,21.428571428571427,-66.28571428571429,-69.85714285714286,0.42857142857142855,0.5714285714285714,-32.1904761904762
2275,Hawaii,2020-04-17,541,9,-47.0,-52.0,24.0,-63.0,-68.0,0.0,0.0,1.0,-49.142857142857146,-52.142857142857146,21.857142857142858,-66.57142857142857,-70.42857142857143,0.42857142857142855,0.42857142857142855,-32.285714285714285
2276,Hawaii,2020-04-18,574,9,-44.0,-55.0,17.0,-63.0,-72.0,0.0,0.0,0.0,-48.714285714285715,-52.142857142857146,21.857142857142858,-67.0,-70.57142857142857,0.14285714285714285,0.42857142857142855,-32.42857142857143
2277,Hawaii,2020-04-19,580,10,-46.0,-56.0,15.0,-62.0,-75.0,1.0,0.0,0.0,-47.857142857142854,-53.857142857142854,22.0,-67.14285714285714,-70.71428571428571,0.14285714285714285,0.14285714285714285,-33.0
2278,Hawaii,2020-04-20,584,10,-47.0,-51.0,21.0,-65.0,-67.0,0.0,1.0,0.0,-47.42857142857143,-54.42857142857143,22.0,-66.85714285714286,-70.71428571428571,0.14285714285714285,0.14285714285714285,-33.095238095238095
2279,Hawaii,2020-04-21,586,10,-49.0,-52.0,23.0,-66.0,-67.0,0.0,0.0,0.0,-47.285714285714285,-55.0,22.142857142857142,-67.57142857142857,-71.14285714285714,0.14285714285714285,0.14285714285714285,-33.476190476190474
2280,Hawaii,2020-04-22,592,12,-48.0,-51.0,23.0,-61.0,-68.0,2.0,0.0,0.0,-47.142857142857146,-54.857142857142854,22.142857142857142,-67.0,-71.0,0.42857142857142855,0.14285714285714285,-33.238095238095234
2281,Hawaii,2020-04-23,596,12,-48.0,-52.0,23.0,-65.0,-69.0,0.0,2.0,0.0,-47.0,-55.0,22.0,-66.42857142857143,-71.0,0.42857142857142855,0.42857142857142855,-33.142857142857146
2282,Hawaii,2020-04-24,601,13,-47.0,-51.0,24.0,-65.0,-69.0,1.0,0.0,1.0,-47.0,-55.0,21.571428571428573,-65.85714285714286,-70.42857142857143,0.5714285714285714,0.42857142857142855,-33.095238095238095
2283,Hawaii,2020-04-25,605,13,-44.0,-51.0,16.0,-54.0,-71.0,0.0,1.0,0.0,-47.0,-55.0,21.428571428571427,-65.42857142857143,-70.14285714285714,0.5714285714285714,0.5714285714285714,-33.0
2284,Hawaii,2020-04-26,606,14,-44.0,-53.0,14.0,-55.0,-74.0,1.0,0.0,0.0,-46.714285714285715,-53.42857142857143,21.142857142857142,-64.57142857142857,-69.85714285714286,0.5714285714285714,0.5714285714285714,-32.285714285714285
2285,Hawaii,2020-04-27,607,16,-46.0,-49.0,20.0,-60.0,-66.0,2.0,1.0,2.0,-46.57142857142857,-52.857142857142854,21.0,-64.14285714285714,-69.71428571428571,0.8571428571428571,0.5714285714285714,-32.0
2286,Hawaii,2020-04-28,609,16,-48.0,-48.0,13.0,-59.0,-67.0,0.0,2.0,0.0,-46.42857142857143,-52.57142857142857,20.857142857142858,-63.42857142857143,-69.28571428571429,0.8571428571428571,0.8571428571428571,-31.71428571428571
2287,Hawaii,2020-04-29,613,16,-47.0,-49.0,22.0,-58.0,-67.0,0.0,0.0,1.0,-46.285714285714285,-52.57142857142857,20.857142857142858,-63.285714285714285,-69.42857142857143,0.5714285714285714,0.8571428571428571,-31.666666666666668
2288,Hawaii,2020-04-30,618,16,-46.0,-48.0,21.0,-57.0,-65.0,0.0,0.0,0.0,-46.0,-52.714285714285715,20.857142857142858,-63.57142857142857,-69.42857142857143,0.5714285714285714,0.5714285714285714,-31.80952380952381
2289,Hawaii,2020-05-01,619,16,-44.0,-47.0,22.0,-58.0,-65.0,0.0,0.0,1.0,-45.57142857142857,-52.57142857142857,20.857142857142858,-63.857142857142854,-69.57142857142857,0.42857142857142855,0.5714285714285714,-31.857142857142858
2290,Hawaii,2020-05-02,620,16,-41.0,-50.0,15.0,-51.0,-69.0,0.0,0.0,2.0,-45.142857142857146,-52.0,20.714285714285715,-62.57142857142857,-69.42857142857143,0.42857142857142855,0.42857142857142855,-31.28571428571429
2291,Hawaii,2020-05-03,620,17,-42.0,-50.0,13.0,-50.0,-72.0,1.0,0.0,0.0,-44.857142857142854,-51.57142857142857,20.571428571428573,-61.57142857142857,-69.28571428571429,0.42857142857142855,0.42857142857142855,-30.857142857142858
2292,Hawaii,2020-05-04,621,17,-43.0,-46.0,19.0,-56.0,-63.0,0.0,1.0,0.0,-44.42857142857143,-51.285714285714285,20.428571428571427,-60.857142857142854,-69.14285714285714,0.14285714285714285,0.42857142857142855,-30.57142857142857
2293,Hawaii,2020-05-05,625,17,-44.0,-43.0,20.0,-54.0,-64.0,0.0,0.0,0.0,-43.857142857142854,-50.714285714285715,19.0,-59.857142857142854,-69.14285714285714,0.14285714285714285,0.14285714285714285,-30.523809523809522
2294,Hawaii,2020-05-06,626,17,-44.0,-47.0,20.0,-49.0,-64.0,0.0,0.0,0.0,-43.42857142857143,-50.42857142857143,18.857142857142858,-59.42857142857143,-69.0,0.14285714285714285,0.14285714285714285,-30.333333333333332
2295,Hawaii,2020-05-07,629,17,-43.0,-47.0,20.0,-54.0,-66.0,0.0,0.0,0.0,-43.0,-49.857142857142854,18.571428571428573,-58.285714285714285,-68.42857142857143,0.14285714285714285,0.14285714285714285,-29.857142857142858
2296,Hawaii,2020-05-08,629,17,-42.0,-46.0,21.0,-52.0,-63.0,0.0,0.0,1.0,-42.714285714285715,-49.285714285714285,18.285714285714285,-57.285714285714285,-67.85714285714286,0.14285714285714285,0.14285714285714285,-29.428571428571427
2297,Hawaii,2020-05-09,631,17,-38.0,-46.0,13.0,-44.0,-67.0,0.0,0.0,0.0,-42.285714285714285,-49.142857142857146,18.142857142857142,-56.857142857142854,-67.57142857142857,0.14285714285714285,0.14285714285714285,-29.28571428571429
2298,Hawaii,2020-05-10,632,17,-39.0,-44.0,11.0,-42.0,-69.0,0.0,0.0,0.0,-41.857142857142854,-48.714285714285715,18.0,-56.142857142857146,-67.28571428571429,0.0,0.14285714285714285,-28.952380952380953
2299,Hawaii,2020-05-11,634,17,-41.0,-48.0,18.0,-57.0,-64.0,0.0,0.0,0.0,-41.57142857142857,-48.285714285714285,17.857142857142858,-55.57142857142857,-66.85714285714286,0.0,0.0,-28.666666666666668
2300,Hawaii,2020-05-12,635,17,-42.0,-46.0,20.0,-54.0,-65.0,0.0,0.0,0.0,-41.285714285714285,-47.57142857142857,18.857142857142858,-54.857142857142854,-66.42857142857143,0.0,0.0,-27.857142857142858
2301,Hawaii,2020-05-13,638,17,-42.0,-45.0,19.0,-48.0,-65.0,0.0,0.0,0.0,-41.0,-47.285714285714285,18.571428571428573,-53.57142857142857,-66.0,0.0,0.0,-27.428571428571427
2302,Hawaii,2020-05-14,637,17,-42.0,-46.0,20.0,-51.0,-66.0,0.0,0.0,0.0,-40.857142857142854,-47.142857142857146,18.428571428571427,-53.142857142857146,-66.14285714285714,0.0,0.0,-27.28571428571429
2303,Hawaii,2020-05-15,638,17,-40.0,-44.0,19.0,-47.0,-63.0,0.0,0.0,0.0,-40.57142857142857,-47.0,18.285714285714285,-52.285714285714285,-65.85714285714286,0.0,0.0,-27.0
2304,Hawaii,2020-05-16,639,17,-36.0,-46.0,12.0,-32.0,-67.0,0.0,0.0,0.0,-40.285714285714285,-46.42857142857143,18.0,-51.285714285714285,-65.57142857142857,0.0,0.0,-26.571428571428573
2305,Hawaii,2020-05-17,640,17,-37.0,-46.0,11.0,-30.0,-69.0,0.0,0.0,0.0,-40.0,-45.57142857142857,17.714285714285715,-50.142857142857146,-65.14285714285714,0.0,0.0,-26.0
2306,Hawaii,2020-05-18,640,17,-39.0,-44.0,17.0,-57.0,-63.0,0.0,0.0,0.0,-39.714285714285715,-45.857142857142854,17.571428571428573,-50.285714285714285,-65.28571428571429,0.0,0.0,-26.19047619047619
2307,Hawaii,2020-05-19,641,17,-40.0,-42.0,19.0,-47.0,-63.0,0.0,0.0,0.0,-39.42857142857143,-46.285714285714285,17.571428571428573,-50.285714285714285,-65.42857142857143,0.0,0.0,-26.333333333333332
2308,Hawaii,2020-05-20,643,17,-40.0,-41.0,18.0,-44.0,-63.0,0.0,0.0,0.0,-39.142857142857146,-46.0,17.428571428571427,-50.142857142857146,-65.57142857142857,0.0,0.0,-26.23809523809524
2309,Hawaii,2020-05-21,647,17,-41.0,-42.0,18.0,-49.0,-65.0,0.0,0.0,0.0,-39.0,-45.857142857142854,17.428571428571427,-49.714285714285715,-65.57142857142857,0.0,0.0,-26.047619047619047
2310,Hawaii,2020-05-22,642,17,-40.0,-40.0,18.0,-40.0,-62.0,0.0,0.0,0.0,-39.0,-45.57142857142857,17.142857142857142,-49.0,-65.57142857142857,0.0,0.0,-25.80952380952381
2311,Hawaii,2020-05-23,643,17,-33.0,-43.0,11.0,-28.0,-64.0,0.0,0.0,0.0,-38.57142857142857,-45.57142857142857,17.0,-47.285714285714285,-65.57142857142857,0.0,0.0,-25.28571428571429
2312,Hawaii,2020-05-24,643,17,-35.0,-41.0,9.0,-23.0,-67.0,0.0,0.0,0.0,-38.285714285714285,-45.857142857142854,17.0,-45.57142857142857,-65.57142857142857,0.0,0.0,-24.809523809523807
2313,Hawaii,2020-05-25,643,17,-72.0,-42.0,23.0,-21.0,-70.0,0.0,0.0,0.0,-43.0,-45.285714285714285,16.857142857142858,-45.57142857142857,-65.42857142857143,0.0,0.0,-24.666666666666668
2314,Hawaii,2020-05-26,643,17,-38.0,-40.0,18.0,-48.0,-61.0,0.0,0.0,0.0,-42.714285714285715,-44.714285714285715,16.714285714285715,-44.57142857142857,-65.14285714285714,0.0,0.0,-24.19047619047619
2315,Hawaii,2020-05-27,644,17,-37.0,-40.0,17.0,-43.0,-62.0,0.0,0.0,0.0,-42.285714285714285,-44.142857142857146,16.571428571428573,-44.0,-64.85714285714286,0.0,0.0,-23.857142857142858
2316,Hawaii,2020-05-28,647,17,-37.0,-39.0,17.0,-41.0,-62.0,0.0,0.0,0.0,-41.714285714285715,-43.57142857142857,16.285714285714285,-43.714285714285715,-64.71428571428571,0.0,0.0,-23.666666666666668
2317,Hawaii,2020-05-29,649,17,-35.0,-39.0,17.0,-38.0,-59.0,0.0,0.0,0.0,-41.0,-43.0,16.142857142857142,-42.714285714285715,-64.57142857142857,0.0,0.0,-23.19047619047619
2318,Hawaii,2020-05-30,651,17,-28.0,-42.0,10.0,-26.0,-63.0,0.0,0.0,0.0,-40.285714285714285,-42.57142857142857,16.0,-42.142857142857146,-64.14285714285714,0.0,0.0,-22.90476190476191
2319,Hawaii,2020-05-31,652,17,-28.0,-42.0,9.0,-26.0,-66.0,0.0,0.0,0.0,-39.285714285714285,-41.857142857142854,15.714285714285714,-41.142857142857146,-63.857142857142854,0.0,0.0,-22.428571428571427
2320,Hawaii,2020-06-01,652,17,-34.0,-38.0,14.0,-42.0,-58.0,0.0,0.0,0.0,-33.857142857142854,-41.57142857142857,16.571428571428573,-36.0,-64.85714285714286,0.0,0.0,-20.333333333333332
2321,Hawaii,2020-06-02,653,17,-35.0,-37.0,16.0,-39.0,-59.0,0.0,0.0,0.0,-33.42857142857143,-41.285714285714285,16.428571428571427,-36.142857142857146,-64.57142857142857,0.0,0.0,-20.333333333333332
2322,Hawaii,2020-06-03,653,17,-35.0,-37.0,15.0,-34.0,-61.0,0.0,0.0,0.0,-33.142857142857146,-41.142857142857146,16.285714285714285,-36.0,-64.42857142857143,0.0,0.0,-20.28571428571429
2323,Hawaii,2020-06-04,655,17,-35.0,-37.0,16.0,-40.0,-61.0,0.0,0.0,0.0,-32.857142857142854,-40.714285714285715,16.142857142857142,-34.857142857142854,-64.0,0.0,0.0,-19.80952380952381
2324,Hawaii,2020-06-05,664,17,-32.0,-35.0,15.0,-37.0,-61.0,0.0,0.0,0.0,-32.42857142857143,-40.57142857142857,16.0,-34.57142857142857,-63.57142857142857,0.0,0.0,-19.71428571428571
2325,Hawaii,2020-06-06,673,17,-26.0,-38.0,9.0,-25.0,-62.0,0.0,0.0,0.0,-32.142857142857146,-40.42857142857143,15.857142857142858,-34.285714285714285,-63.42857142857143,0.0,0.0,-19.61904761904762
2326,Hawaii,2020-06-07,675,17,-28.0,-39.0,9.0,-30.0,-66.0,0.0,0.0,0.0,-32.142857142857146,-40.57142857142857,15.857142857142858,-34.714285714285715,-63.285714285714285,0.0,0.0,-19.80952380952381
2327,Hawaii,2020-06-08,676,17,-33.0,-36.0,13.0,-45.0,-59.0,0.0,0.0,0.0,-32.0,-40.0,14.571428571428571,-37.714285714285715,-61.57142857142857,0.0,0.0,-21.047619047619047
2328,Hawaii,2020-06-09,682,17,-34.0,-35.0,15.0,-43.0,-59.0,0.0,0.0,0.0,-31.857142857142858,-39.57142857142857,14.285714285714286,-36.42857142857143,-61.285714285714285,0.0,0.0,-20.571428571428573
2329,Hawaii,2020-06-10,685,17,-34.0,-35.0,14.0,-38.0,-60.0,0.0,0.0,0.0,-31.714285714285715,-39.142857142857146,14.0,-35.142857142857146,-61.142857142857146,0.0,0.0,-20.0952380952381
2330,Hawaii,2020-06-11,692,17,-47.0,-34.0,18.0,-35.0,-64.0,0.0,0.0,0.0,-33.42857142857143,-38.857142857142854,13.857142857142858,-35.0,-61.0,0.0,0.0,-20.0
2331,Hawaii,2020-06-12,706,17,-35.0,-36.0,15.0,-36.0,-61.0,0.0,0.0,0.0,-33.857142857142854,-38.285714285714285,13.571428571428571,-34.857142857142854,-61.285714285714285,0.0,0.0,-19.857142857142858
2332,Hawaii,2020-06-13,723,17,-25.0,-37.0,9.0,-22.0,-63.0,0.0,0.0,0.0,-33.714285714285715,-37.714285714285715,13.428571428571429,-34.714285714285715,-61.142857142857146,0.0,0.0,-19.666666666666668
2333,Hawaii,2020-06-14,728,17,-27.0,-37.0,8.0,-27.0,-67.0,0.0,0.0,0.0,-33.57142857142857,-37.285714285714285,13.428571428571429,-35.285714285714285,-61.142857142857146,0.0,0.0,-19.71428571428571
