,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2412,Idaho,2020-04-08,1210,15,-46.0,-32.0,15.0,92.0,-25.0,2.0,3.0,0.0,-42.42857142857143,-40.42857142857143,15.142857142857142,13.571428571428571,-29.857142857142858,0.8571428571428571,0.7142857142857143,-3.9047619047619055
2413,Idaho,2020-04-09,1232,18,-46.0,-32.0,16.0,110.0,-29.0,3.0,2.0,1.0,-42.42857142857143,-40.142857142857146,15.285714285714286,14.285714285714286,-30.571428571428573,1.2857142857142858,0.8571428571428571,-3.523809523809525
2414,Idaho,2020-04-10,1354,24,-46.0,-35.0,16.0,86.0,-30.0,6.0,3.0,0.0,-42.57142857142857,-39.57142857142857,15.285714285714286,15.571428571428571,-30.571428571428573,2.142857142857143,1.2857142857142858,-2.9047619047619047
2415,Idaho,2020-04-11,1396,25,-34.0,-40.0,11.0,12.0,-35.0,1.0,6.0,0.0,-42.57142857142857,-39.42857142857143,15.285714285714286,17.142857142857142,-30.714285714285715,2.142857142857143,2.142857142857143,-2.3333333333333344
2416,Idaho,2020-04-12,1407,27,-42.0,-51.0,8.0,50.0,-40.0,2.0,1.0,3.0,-43.0,-39.142857142857146,15.285714285714286,17.857142857142858,-31.0,2.4285714285714284,2.142857142857143,-2.0000000000000013
2417,Idaho,2020-04-13,1426,27,-39.0,-33.0,13.0,52.0,-32.0,0.0,2.0,2.0,-42.714285714285715,-38.57142857142857,15.142857142857142,23.142857142857142,-31.0,2.4285714285714284,2.4285714285714284,-0.0952380952380949
2418,Idaho,2020-04-14,1464,33,-43.0,-32.0,16.0,55.0,-27.0,6.0,0.0,3.0,-42.285714285714285,-37.857142857142854,14.857142857142858,36.142857142857146,-30.571428571428573,2.857142857142857,2.4285714285714284,4.380952380952383
2419,Idaho,2020-04-15,1473,39,-43.0,-25.0,16.0,17.0,-30.0,6.0,6.0,6.0,-41.857142857142854,-37.42857142857143,14.571428571428571,47.42857142857143,-30.142857142857142,3.4285714285714284,2.857142857142857,8.19047619047619
2420,Idaho,2020-04-16,1587,41,-43.0,-26.0,16.0,68.0,-31.0,2.0,6.0,1.0,-41.42857142857143,-36.57142857142857,14.285714285714286,59.0,-29.857142857142858,3.2857142857142856,3.4285714285714284,12.238095238095239
2421,Idaho,2020-04-17,1609,41,-42.0,-30.0,15.0,79.0,-29.0,0.0,2.0,2.0,-40.857142857142854,-36.0,14.0,68.42857142857143,-29.428571428571427,2.4285714285714284,3.2857142857142856,15.476190476190476
2422,Idaho,2020-04-18,1655,43,-29.0,-33.0,8.0,73.0,-22.0,2.0,0.0,0.0,-40.142857142857146,-35.142857142857146,13.857142857142858,66.71428571428571,-30.142857142857142,2.5714285714285716,2.4285714285714284,15.142857142857139
2423,Idaho,2020-04-19,1668,44,-34.0,-21.0,6.0,138.0,-26.0,1.0,2.0,6.0,-39.0,-36.714285714285715,13.571428571428571,69.57142857142857,-30.714285714285715,2.4285714285714284,2.5714285714285716,15.476190476190474
2424,Idaho,2020-04-20,1672,45,-37.0,-21.0,11.0,110.0,-23.0,1.0,1.0,6.0,-38.714285714285715,-36.57142857142857,13.571428571428571,70.14285714285714,-30.857142857142858,2.5714285714285716,2.4285714285714284,15.714285714285714
2425,Idaho,2020-04-21,1736,48,-42.0,-23.0,14.0,109.0,-21.0,3.0,1.0,2.0,-38.57142857142857,-36.42857142857143,13.571428571428571,65.28571428571429,-31.142857142857142,2.142857142857143,2.5714285714285716,14.142857142857144
2426,Idaho,2020-04-22,1766,51,-41.0,-25.0,15.0,52.0,-22.0,3.0,3.0,0.0,-38.285714285714285,-35.42857142857143,13.714285714285714,54.57142857142857,-31.857142857142858,1.7142857142857142,2.142857142857143,10.95238095238095
2427,Idaho,2020-04-23,1836,54,-42.0,-29.0,16.0,30.0,-25.0,3.0,3.0,2.0,-38.142857142857146,-34.57142857142857,13.714285714285714,48.57142857142857,-32.142857142857146,1.8571428571428572,1.7142857142857142,9.238095238095239
2428,Idaho,2020-04-24,1870,54,-41.0,-30.0,14.0,68.0,-24.0,0.0,3.0,1.0,-38.0,-33.857142857142854,13.571428571428571,47.57142857142857,-32.0,1.8571428571428572,1.8571428571428572,9.095238095238095
2429,Idaho,2020-04-25,1887,56,-27.0,-31.0,8.0,71.0,-18.0,2.0,0.0,1.0,-37.714285714285715,-32.857142857142854,13.142857142857142,56.285714285714285,-30.142857142857142,1.8571428571428572,1.8571428571428572,12.19047619047619
2430,Idaho,2020-04-26,1897,56,-33.0,-18.0,5.0,164.0,-19.0,0.0,2.0,3.0,-37.57142857142857,-28.571428571428573,12.857142857142858,68.85714285714286,-28.142857142857142,1.7142857142857142,1.8571428571428572,17.714285714285715
2431,Idaho,2020-04-27,1897,56,-36.0,-21.0,11.0,63.0,-21.0,0.0,0.0,3.0,-37.42857142857143,-26.857142857142858,12.571428571428571,77.14285714285714,-26.857142857142858,1.5714285714285714,1.7142857142857142,20.952380952380953
2432,Idaho,2020-04-28,1952,60,-41.0,-19.0,4.0,129.0,-15.0,4.0,0.0,3.0,-37.285714285714285,-25.571428571428573,12.285714285714286,84.85714285714286,-26.0,1.7142857142857142,1.5714285714285714,23.857142857142858
2433,Idaho,2020-04-29,1952,60,-41.0,-20.0,13.0,107.0,-16.0,0.0,4.0,0.0,-37.285714285714285,-25.571428571428573,12.142857142857142,89.85714285714286,-24.857142857142858,1.2857142857142858,1.7142857142857142,25.476190476190478
2434,Idaho,2020-04-30,1984,60,-41.0,-22.0,14.0,56.0,-19.0,0.0,0.0,2.0,-37.142857142857146,-26.0,12.142857142857142,84.42857142857143,-24.0,0.8571428571428571,1.2857142857142858,23.523809523809522
2435,Idaho,2020-05-01,2015,63,-38.0,-18.0,11.0,108.0,-15.0,3.0,0.0,0.0,-36.714285714285715,-26.0,12.0,82.85714285714286,-23.285714285714285,1.2857142857142858,0.8571428571428571,22.952380952380953
2436,Idaho,2020-05-02,2061,64,-23.0,-23.0,5.0,107.0,-8.0,1.0,3.0,0.0,-36.142857142857146,-25.714285714285715,12.0,82.57142857142857,-22.714285714285715,1.1428571428571428,1.2857142857142858,22.952380952380953
2437,Idaho,2020-05-03,2061,64,-29.0,-11.0,4.0,121.0,-14.0,0.0,1.0,4.0,-35.57142857142857,-25.285714285714285,11.857142857142858,86.28571428571429,-21.714285714285715,1.1428571428571428,1.1428571428571428,24.28571428571429
2438,Idaho,2020-05-04,2106,64,-31.0,-10.0,8.0,121.0,-14.0,0.0,0.0,0.0,-34.857142857142854,-25.285714285714285,11.857142857142858,79.57142857142857,-21.428571428571427,1.1428571428571428,1.1428571428571428,22.047619047619047
2439,Idaho,2020-05-05,2127,65,-36.0,-10.0,11.0,134.0,-8.0,1.0,0.0,0.0,-34.142857142857146,-24.714285714285715,10.428571428571429,82.42857142857143,-20.571428571428573,0.7142857142857143,1.1428571428571428,22.71428571428571
2440,Idaho,2020-05-06,2158,66,-36.0,-17.0,13.0,43.0,-13.0,1.0,1.0,3.0,-33.42857142857143,-24.0,10.142857142857142,90.28571428571429,-19.714285714285715,0.8571428571428571,0.7142857142857143,25.476190476190478
2441,Idaho,2020-05-07,2178,67,-36.0,-14.0,11.0,122.0,-11.0,1.0,1.0,1.0,-32.714285714285715,-23.0,9.857142857142858,94.0,-18.857142857142858,1.0,0.8571428571428571,26.952380952380953
2442,Idaho,2020-05-08,2178,67,-35.0,-17.0,10.0,133.0,-10.0,0.0,1.0,0.0,-32.285714285714285,-21.285714285714285,9.428571428571429,99.71428571428571,-17.571428571428573,0.5714285714285714,1.0,29.28571428571428
2443,Idaho,2020-05-09,2205,67,-21.0,-17.0,3.0,,-2.0,0.0,0.0,0.0,-32.0,-20.142857142857142,9.0,104.85714285714286,-16.142857142857142,0.42857142857142855,0.5714285714285714,31.23809523809524
2444,Idaho,2020-05-10,2230,67,-24.0,-4.0,0.0,220.0,-3.0,0.0,0.0,1.0,-31.285714285714285,-19.142857142857142,8.857142857142858,98.71428571428571,-15.428571428571429,0.42857142857142855,0.42857142857142855,29.47619047619047
2445,Idaho,2020-05-11,2260,70,-30.0,-13.0,8.0,124.0,-8.0,3.0,0.0,1.0,-31.142857142857142,-17.571428571428573,8.428571428571429,107.0,-14.428571428571429,0.8571428571428571,0.42857142857142855,32.61904761904762
2446,Idaho,2020-05-12,2293,69,-35.0,-15.0,11.0,88.0,-10.0,-1.0,3.0,1.0,-31.0,-16.285714285714285,9.428571428571429,107.71428571428571,-13.428571428571429,0.5714285714285714,0.8571428571428571,33.61904761904761
2447,Idaho,2020-05-13,2293,69,-34.0,-14.0,12.0,60.0,-10.0,0.0,-1.0,0.0,-30.714285714285715,-15.857142857142858,9.428571428571429,98.57142857142857,-13.0,0.42857142857142855,0.5714285714285714,30.71428571428571
2448,Idaho,2020-05-14,2351,72,-36.0,-16.0,12.0,67.0,-12.0,3.0,0.0,0.0,-30.714285714285715,-14.714285714285714,9.0,108.0,-11.857142857142858,0.7142857142857143,0.42857142857142855,34.095238095238095
2449,Idaho,2020-05-15,2351,72,-34.0,-18.0,10.0,96.0,-10.0,0.0,3.0,0.0,-30.571428571428573,-14.571428571428571,8.857142857142858,111.57142857142857,-11.142857142857142,0.7142857142857143,0.7142857142857143,35.285714285714285
