,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2549,Illinois,2020-03-30,5056,73,-50.0,-43.0,20.0,-5.0,-54.0,7.0,19.0,3.0,-46.285714285714285,-40.42857142857143,15.714285714285714,-19.857142857142858,-43.0,8.714285714285714,8.142857142857142,-14.857142857142856
2550,Illinois,2020-03-31,5994,99,-52.0,-44.0,22.0,-30.0,-54.0,26.0,7.0,7.0,-46.57142857142857,-43.857142857142854,17.142857142857142,-27.714285714285715,-46.285714285714285,11.857142857142858,8.714285714285714,-18.142857142857142
2551,Illinois,2020-04-01,6980,141,-52.0,-41.0,21.0,4.0,-50.0,42.0,26.0,8.0,-46.857142857142854,-45.142857142857146,17.857142857142858,-18.714285714285715,-47.857142857142854,17.428571428571427,11.857142857142858,-15.333333333333334
2552,Illinois,2020-04-02,7695,163,-52.0,-42.0,22.0,15.0,-52.0,22.0,42.0,13.0,-47.142857142857146,-47.0,18.571428571428573,-18.285714285714285,-49.57142857142857,19.571428571428573,17.428571428571427,-15.57142857142857
2553,Illinois,2020-04-03,8904,210,-51.0,-43.0,22.0,13.0,-49.0,47.0,22.0,19.0,-47.285714285714285,-49.142857142857146,19.428571428571427,-18.142857142857142,-51.285714285714285,25.142857142857142,19.571428571428573,-15.952380952380954
2554,Illinois,2020-04-04,10357,244,-36.0,-51.0,15.0,-23.0,-49.0,34.0,47.0,7.0,-47.42857142857143,-50.142857142857146,19.714285714285715,-20.0,-52.857142857142854,28.142857142857142,25.142857142857142,-16.80952380952381
2555,Illinois,2020-04-05,11259,274,-39.0,-50.0,12.0,24.0,-52.0,30.0,34.0,26.0,-47.42857142857143,-48.714285714285715,19.571428571428573,-18.571428571428573,-53.0,29.714285714285715,28.142857142857142,-15.904761904761905
2556,Illinois,2020-04-06,12262,307,-52.0,-44.0,20.0,-4.0,-54.0,33.0,30.0,42.0,-47.714285714285715,-47.714285714285715,19.428571428571427,-15.142857142857142,-52.857142857142854,33.42857142857143,29.714285714285715,-14.476190476190476
2557,Illinois,2020-04-07,13553,380,-53.0,-41.0,21.0,35.0,-50.0,73.0,33.0,22.0,-47.857142857142854,-47.285714285714285,19.428571428571427,-17.857142857142858,-53.0,40.142857142857146,33.42857142857143,-15.238095238095239
2558,Illinois,2020-04-08,15078,462,-53.0,-44.0,22.0,-5.0,-53.0,82.0,73.0,47.0,-48.0,-47.0,19.428571428571427,-21.428571428571427,-53.0,45.857142857142854,40.142857142857146,-16.333333333333332
2559,Illinois,2020-04-09,16422,528,-53.0,-44.0,23.0,-26.0,-55.0,66.0,82.0,34.0,-48.142857142857146,-46.285714285714285,19.428571428571427,-15.285714285714286,-52.57142857142857,52.142857142857146,45.857142857142854,-14.04761904761905
2560,Illinois,2020-04-10,17887,597,-58.0,-44.0,24.0,-5.0,-53.0,69.0,66.0,30.0,-49.142857142857146,-45.57142857142857,19.285714285714285,-9.571428571428571,-52.0,55.285714285714285,52.142857142857146,-11.95238095238095
2561,Illinois,2020-04-11,19180,677,-38.0,-46.0,14.0,10.0,-46.0,80.0,69.0,33.0,-49.42857142857143,-45.285714285714285,19.285714285714285,-7.857142857142857,-51.857142857142854,61.857142857142854,55.285714285714285,-11.285714285714285
2562,Illinois,2020-04-12,20852,720,-45.0,-64.0,13.0,5.0,-55.0,43.0,80.0,73.0,-50.285714285714285,-44.857142857142854,19.142857142857142,-0.2857142857142857,-51.42857142857143,63.714285714285715,61.857142857142854,-8.666666666666666
2563,Illinois,2020-04-13,22025,798,-52.0,-46.0,21.0,-31.0,-56.0,78.0,43.0,82.0,-50.285714285714285,-45.0,19.142857142857142,-0.14285714285714285,-51.42857142857143,70.14285714285714,63.714285714285715,-8.666666666666666
2564,Illinois,2020-04-14,23248,868,-52.0,-45.0,22.0,-28.0,-54.0,70.0,78.0,66.0,-50.142857142857146,-44.57142857142857,19.0,9.142857142857142,-50.857142857142854,69.71428571428571,70.14285714285714,-5.476190476190475
2565,Illinois,2020-04-15,24593,949,-52.0,-41.0,22.0,-33.0,-53.0,81.0,70.0,69.0,-50.0,-45.0,19.142857142857142,7.857142857142857,-51.285714285714285,69.57142857142857,69.71428571428571,-6.0
2566,Illinois,2020-04-16,25734,1072,-51.0,-40.0,22.0,-16.0,-52.0,123.0,81.0,80.0,-49.714285714285715,-45.285714285714285,19.285714285714285,2.0,-51.714285714285715,77.71428571428571,69.57142857142857,-8.0
