,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2694,Indiana,2020-03-29,1513,32,-36.0,-48.0,11.0,24.0,-34.0,1.0,6.0,5.0,-40.285714285714285,-28.0,10.285714285714286,9.428571428571429,-11.714285714285714,3.7142857142857144,3.857142857142857,-2.7619047619047623
2695,Indiana,2020-03-30,1786,35,-45.0,-38.0,18.0,25.0,-27.0,3.0,1.0,2.0,-41.714285714285715,-31.571428571428573,11.428571428571429,9.714285714285714,-14.285714285714286,4.0,3.7142857142857144,-3.4761904761904776
2696,Indiana,2020-03-31,2158,49,-47.0,-41.0,19.0,0.0,-25.0,14.0,3.0,3.0,-42.857142857142854,-33.42857142857143,12.571428571428571,3.857142857142857,-16.571428571428573,5.285714285714286,4.0,-5.666666666666668
2697,Indiana,2020-04-01,2564,65,-48.0,-37.0,19.0,24.0,-24.0,16.0,14.0,8.0,-43.285714285714285,-36.0,13.571428571428571,14.0,-18.571428571428573,7.285714285714286,5.285714285714286,-2.80952380952381
2698,Indiana,2020-04-02,3038,78,-48.0,-36.0,19.0,80.0,-26.0,13.0,16.0,6.0,-43.57142857142857,-38.142857142857146,14.571428571428571,20.0,-20.571428571428573,8.714285714285714,7.285714285714286,-1.1904761904761922
2699,Indiana,2020-04-03,3437,102,-48.0,-36.0,20.0,89.0,-27.0,24.0,13.0,1.0,-43.857142857142854,-40.285714285714285,15.714285714285714,19.285714285714285,-23.0,11.0,8.714285714285714,-1.7619047619047616
2700,Indiana,2020-04-04,3953,116,-36.0,-45.0,13.0,41.0,-31.0,14.0,24.0,3.0,-44.0,-41.714285714285715,16.142857142857142,22.0,-25.571428571428573,12.142857142857142,11.0,-1.190476190476191
2701,Indiana,2020-04-05,4411,127,-37.0,-45.0,10.0,54.0,-35.0,11.0,14.0,14.0,-44.142857142857146,-42.0,16.428571428571427,26.142857142857142,-26.714285714285715,13.571428571428571,12.142857142857142,0.1904761904761898
2702,Indiana,2020-04-06,4956,143,-47.0,-36.0,18.0,59.0,-27.0,16.0,11.0,16.0,-44.42857142857143,-43.142857142857146,17.0,28.857142857142858,-27.571428571428573,15.428571428571429,13.571428571428571,0.9047619047619039
2703,Indiana,2020-04-07,5510,173,-48.0,-35.0,18.0,88.0,-22.0,30.0,16.0,13.0,-44.57142857142857,-44.142857142857146,17.428571428571427,27.285714285714285,-28.428571428571427,17.714285714285715,15.428571428571429,0.1904761904761886
