,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2849,Iowa,2020-04-07,1046,25,-42.0,-38.0,15.0,154.0,-18.0,0.0,7.0,2.0,-36.142857142857146,-40.142857142857146,14.571428571428571,60.285714285714285,-20.857142857142858,2.5714285714285716,2.7142857142857144,11.57142857142857
2850,Iowa,2020-04-08,1145,27,-41.0,-39.0,16.0,59.0,-16.0,2.0,0.0,0.0,-36.42857142857143,-39.42857142857143,14.428571428571429,66.71428571428571,-20.571428571428573,2.5714285714285716,2.5714285714285716,13.904761904761903
2851,Iowa,2020-04-09,1270,29,-43.0,-42.0,19.0,15.0,-23.0,2.0,2.0,3.0,-36.857142857142854,-39.285714285714285,14.571428571428571,67.85714285714286,-20.857142857142858,2.5714285714285716,2.5714285714285716,14.380952380952381
2852,Iowa,2020-04-10,1388,31,-46.0,-36.0,17.0,74.0,-22.0,2.0,2.0,4.0,-37.857142857142854,-39.42857142857143,14.857142857142858,63.142857142857146,-21.571428571428573,2.857142857142857,2.5714285714285716,12.857142857142856
2853,Iowa,2020-04-11,1510,34,-28.0,-44.0,12.0,40.0,-28.0,3.0,2.0,7.0,-38.285714285714285,-39.0,14.714285714285714,68.42857142857143,-21.0,2.857142857142857,2.857142857142857,14.714285714285715
2854,Iowa,2020-04-12,1587,41,-40.0,-67.0,12.0,-20.0,-47.0,7.0,3.0,0.0,-39.857142857142854,-38.42857142857143,14.428571428571429,81.71428571428571,-21.0,3.2857142857142856,2.857142857142857,19.238095238095237
2855,Iowa,2020-04-13,1710,41,-40.0,-40.0,18.0,8.0,-31.0,0.0,7.0,2.0,-40.0,-39.142857142857146,14.714285714285714,68.42857142857143,-21.857142857142858,2.2857142857142856,3.2857142857142856,14.666666666666666
2856,Iowa,2020-04-14,1899,49,-41.0,-41.0,18.0,19.0,-27.0,8.0,0.0,2.0,-39.857142857142854,-39.285714285714285,14.571428571428571,76.14285714285714,-22.0,3.4285714285714284,2.2857142857142856,17.142857142857142
2857,Iowa,2020-04-15,1995,53,-39.0,-32.0,17.0,22.0,-21.0,4.0,8.0,2.0,-39.57142857142857,-40.0,14.714285714285714,71.28571428571429,-22.428571428571427,3.7142857142857144,3.4285714285714284,15.333333333333336
2858,Iowa,2020-04-16,2141,60,-40.0,-37.0,19.0,23.0,-28.0,7.0,4.0,3.0,-39.142857142857146,-40.42857142857143,14.857142857142858,64.57142857142857,-22.571428571428573,4.428571428571429,3.7142857142857144,13.0
2859,Iowa,2020-04-17,2332,64,-39.0,-36.0,17.0,27.0,-26.0,4.0,7.0,7.0,-38.142857142857146,-39.714285714285715,14.714285714285714,76.14285714285714,-22.0,4.714285714285714,4.428571428571429,17.047619047619047
2860,Iowa,2020-04-18,2513,74,-23.0,-38.0,10.0,84.0,-22.0,10.0,4.0,0.0,-37.42857142857143,-39.57142857142857,14.714285714285714,75.42857142857143,-22.714285714285715,5.714285714285714,4.714285714285714,16.857142857142858
2861,Iowa,2020-04-19,2902,75,-27.0,-31.0,7.0,135.0,-29.0,1.0,10.0,8.0,-35.57142857142857,-43.57142857142857,15.285714285714286,53.42857142857143,-25.428571428571427,4.857142857142857,5.714285714285714,8.380952380952381
2862,Iowa,2020-04-20,3159,79,-39.0,-31.0,15.0,77.0,-24.0,4.0,1.0,4.0,-35.42857142857143,-43.714285714285715,15.571428571428571,47.142857142857146,-26.428571428571427,5.428571428571429,4.857142857142857,6.333333333333333
2863,Iowa,2020-04-21,3641,83,-41.0,-32.0,16.0,107.0,-18.0,4.0,4.0,7.0,-35.42857142857143,-44.142857142857146,16.0,27.857142857142858,-27.714285714285715,4.857142857142857,5.428571428571429,-0.09523809523809608
2864,Iowa,2020-04-22,3748,90,-40.0,-31.0,15.0,115.0,-15.0,7.0,4.0,4.0,-35.57142857142857,-43.142857142857146,16.142857142857142,22.571428571428573,-28.428571428571427,5.285714285714286,4.857142857142857,-1.476190476190477
2865,Iowa,2020-04-23,3924,96,-41.0,-32.0,16.0,124.0,-19.0,6.0,7.0,10.0,-35.714285714285715,-42.42857142857143,16.142857142857142,23.714285714285715,-29.142857142857142,5.142857142857143,5.285714285714286,-0.8571428571428577
2866,Iowa,2020-04-24,4445,107,-39.0,-32.0,16.0,61.0,-19.0,11.0,6.0,1.0,-35.714285714285715,-42.42857142857143,16.142857142857142,17.0,-29.714285714285715,6.142857142857143,5.142857142857143,-3.0952380952380962
2867,Iowa,2020-04-25,5092,112,-22.0,-35.0,9.0,115.0,-18.0,5.0,11.0,4.0,-35.57142857142857,-41.57142857142857,15.857142857142858,23.285714285714285,-28.857142857142858,5.428571428571429,6.142857142857143,-0.809523809523809
2868,Iowa,2020-04-26,5476,118,-27.0,-26.0,6.0,195.0,-22.0,6.0,5.0,4.0,-35.57142857142857,-36.42857142857143,15.142857142857142,45.42857142857143,-26.285714285714285,6.142857142857143,5.428571428571429,8.047619047619047
