,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
2983,Kansas,2020-03-26,172,3,-42.0,-40.0,18.0,81.0,-19.0,0.0,1.0,1.0,-30.857142857142858,-9.714285714285714,6.142857142857143,21.571428571428573,0.7142857142857143,0.2857142857142857,0.2857142857142857,6.000000000000001
2984,Kansas,2020-03-27,206,4,-38.0,-37.0,15.0,62.0,-21.0,1.0,0.0,0.0,-32.42857142857143,-14.285714285714286,7.714285714285714,21.285714285714285,-2.142857142857143,0.42857142857142855,0.2857142857142857,4.904761904761904
2985,Kansas,2020-03-28,266,4,-25.0,-45.0,12.0,50.0,-26.0,0.0,1.0,0.0,-33.857142857142854,-18.142857142857142,8.571428571428571,29.0,-3.857142857142857,0.2857142857142857,0.42857142857142855,6.476190476190477
2986,Kansas,2020-03-29,330,7,-30.0,-36.0,9.0,72.0,-20.0,3.0,0.0,0.0,-34.714285714285715,-22.285714285714285,9.428571428571429,28.285714285714285,-7.0,0.7142857142857143,0.2857142857142857,5.142857142857143
2987,Kansas,2020-03-30,372,8,-42.0,-41.0,17.0,42.0,-26.0,1.0,3.0,1.0,-36.285714285714285,-25.285714285714285,10.285714285714286,33.42857142857143,-8.857142857142858,0.8571428571428571,0.7142857142857143,6.142857142857143
2988,Kansas,2020-03-31,434,9,-45.0,-35.0,17.0,84.0,-20.0,1.0,1.0,0.0,-37.285714285714285,-28.571428571428573,11.428571428571429,36.285714285714285,-10.714285714285714,1.0,0.8571428571428571,6.38095238095238
2989,Kansas,2020-04-01,485,10,-44.0,-33.0,16.0,84.0,-18.0,1.0,1.0,1.0,-38.0,-31.142857142857142,12.285714285714286,44.142857142857146,-12.428571428571429,1.0,1.0,8.42857142857143
2990,Kansas,2020-04-02,553,12,-46.0,-41.0,19.0,38.0,-24.0,2.0,1.0,0.0,-38.57142857142857,-33.57142857142857,13.142857142857142,42.285714285714285,-14.0,1.2857142857142858,1.0,7.285714285714286
2991,Kansas,2020-04-03,629,18,-43.0,-42.0,19.0,-15.0,-28.0,6.0,2.0,3.0,-39.285714285714285,-35.42857142857143,13.714285714285714,48.285714285714285,-15.714285714285714,2.0,1.2857142857142858,8.857142857142856
2992,Kansas,2020-04-04,698,21,-30.0,-50.0,14.0,5.0,-30.0,3.0,6.0,1.0,-40.0,-36.42857142857143,14.142857142857142,50.42857142857143,-18.142857142857142,2.4285714285714284,2.0,9.380952380952381
2993,Kansas,2020-04-05,751,22,-34.0,-43.0,10.0,25.0,-30.0,1.0,3.0,1.0,-40.57142857142857,-36.57142857142857,14.142857142857142,65.42857142857143,-18.571428571428573,2.142857142857143,2.4285714285714284,14.333333333333334
2994,Kansas,2020-04-06,849,25,-44.0,-40.0,17.0,52.0,-26.0,3.0,1.0,1.0,-40.857142857142854,-38.42857142857143,14.714285714285714,67.14285714285714,-20.0,2.4285714285714284,2.142857142857143,14.476190476190474
2995,Kansas,2020-04-07,912,29,-46.0,-35.0,17.0,126.0,-20.0,4.0,3.0,2.0,-41.0,-38.285714285714285,14.714285714285714,72.57142857142857,-20.571428571428573,2.857142857142857,2.4285714285714284,16.333333333333332
2996,Kansas,2020-04-08,1046,34,-46.0,-33.0,16.0,108.0,-17.0,5.0,4.0,6.0,-41.285714285714285,-38.142857142857146,14.857142857142858,67.85714285714286,-21.428571428571427,3.4285714285714284,2.857142857142857,14.857142857142856
2997,Kansas,2020-04-09,1116,42,-47.0,-38.0,19.0,57.0,-24.0,8.0,5.0,3.0,-41.42857142857143,-38.285714285714285,15.0,61.714285714285715,-22.142857142857142,4.285714285714286,3.4285714285714284,12.80952380952381
2998,Kansas,2020-04-10,1117,42,-47.0,-33.0,17.0,74.0,-23.0,0.0,8.0,1.0,-42.0,-39.0,15.571428571428571,50.714285714285715,-23.142857142857142,3.4285714285714284,4.285714285714286,9.095238095238095
2999,Kansas,2020-04-11,1275,55,-31.0,-41.0,11.0,97.0,-23.0,13.0,0.0,3.0,-42.142857142857146,-39.714285714285715,15.857142857142858,44.285714285714285,-23.714285714285715,4.857142857142857,3.4285714285714284,6.809523809523809
3000,Kansas,2020-04-12,1344,56,-42.0,-61.0,12.0,-47.0,-42.0,1.0,13.0,4.0,-43.285714285714285,-40.714285714285715,16.0,37.57142857142857,-25.142857142857142,4.857142857142857,4.857142857142857,4.285714285714285
3001,Kansas,2020-04-13,1390,62,-44.0,-40.0,18.0,5.0,-30.0,6.0,1.0,5.0,-43.285714285714285,-40.57142857142857,16.0,39.0,-25.142857142857142,5.285714285714286,4.857142857142857,4.80952380952381
3002,Kansas,2020-04-14,1441,69,-45.0,-37.0,19.0,36.0,-26.0,7.0,6.0,8.0,-43.142857142857146,-40.57142857142857,16.0,45.0,-25.142857142857142,5.714285714285714,5.285714285714286,6.80952380952381
3003,Kansas,2020-04-15,1504,71,-44.0,-26.0,16.0,79.0,-19.0,2.0,7.0,0.0,-42.857142857142854,-40.57142857142857,16.0,48.42857142857143,-25.0,5.285714285714286,5.714285714285714,7.952380952380953
3004,Kansas,2020-04-16,1615,80,-46.0,-36.0,20.0,11.0,-28.0,9.0,2.0,13.0,-42.714285714285715,-40.142857142857146,16.0,51.142857142857146,-25.0,5.428571428571429,5.285714285714286,9.0
3005,Kansas,2020-04-17,1730,82,-41.0,-34.0,17.0,26.0,-27.0,2.0,9.0,1.0,-41.857142857142854,-38.857142857142854,15.714285714285714,63.857142857142854,-24.285714285714285,5.714285714285714,5.428571428571429,13.571428571428571
3006,Kansas,2020-04-18,1821,85,-26.0,-39.0,11.0,93.0,-22.0,3.0,2.0,6.0,-41.142857142857146,-37.57142857142857,15.285714285714286,77.0,-23.285714285714285,4.285714285714286,5.714285714285714,18.238095238095237
3007,Kansas,2020-04-19,1905,93,-31.0,-30.0,8.0,72.0,-23.0,8.0,3.0,7.0,-39.57142857142857,-40.142857142857146,15.571428571428571,66.71428571428571,-25.0,5.285714285714286,4.285714285714286,14.047619047619044
3008,Kansas,2020-04-20,2048,102,-42.0,-30.0,15.0,85.0,-24.0,9.0,8.0,2.0,-39.285714285714285,-40.142857142857146,15.714285714285714,60.0,-25.571428571428573,5.714285714285714,5.285714285714286,11.857142857142856
3009,Kansas,2020-04-21,2164,109,-44.0,-27.0,16.0,132.0,-20.0,7.0,9.0,9.0,-39.142857142857146,-40.42857142857143,16.0,47.142857142857146,-26.428571428571427,5.714285714285714,5.714285714285714,7.571428571428572
3010,Kansas,2020-04-22,2331,112,-44.0,-33.0,18.0,15.0,-26.0,3.0,7.0,2.0,-39.142857142857146,-39.42857142857143,16.0,43.0,-26.714285714285715,5.857142857142857,5.714285714285714,6.523809523809523
3011,Kansas,2020-04-23,2721,113,-44.0,-31.0,17.0,121.0,-22.0,1.0,3.0,3.0,-38.857142857142854,-39.142857142857146,16.142857142857142,36.42857142857143,-27.285714285714285,4.714285714285714,5.857142857142857,4.476190476190475
3012,Kansas,2020-04-24,2959,118,-41.0,-34.0,17.0,26.0,-26.0,5.0,1.0,8.0,-38.857142857142854,-39.285714285714285,16.142857142857142,29.571428571428573,-27.857142857142858,5.142857142857143,4.714285714285714,2.1428571428571437
3013,Kansas,2020-04-25,3135,120,-25.0,-35.0,9.0,137.0,-16.0,2.0,5.0,9.0,-38.714285714285715,-39.0,16.142857142857142,29.0,-27.714285714285715,5.0,5.142857142857143,2.0476190476190474
3014,Kansas,2020-04-26,3277,121,-30.0,-25.0,7.0,102.0,-16.0,1.0,2.0,7.0,-38.57142857142857,-34.57142857142857,15.571428571428571,46.0,-25.0,4.0,5.0,9.0
