,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
3276,Louisiana,2020-03-27,2744,119,-43.0,-42.0,20.0,-20.0,-44.0,36.0,18.0,0.0,-36.714285714285715,-15.285714285714286,7.571428571428571,4.285714285714286,-14.142857142857142,15.0,10.428571428571429,-1.1428571428571432
3277,Louisiana,2020-03-28,3315,137,-33.0,-47.0,14.0,-38.0,-46.0,18.0,36.0,15.0,-38.0,-20.714285714285715,9.0,-2.4285714285714284,-19.142857142857142,16.714285714285715,15.0,-4.714285714285714
3278,Louisiana,2020-03-29,3540,151,-35.0,-45.0,11.0,-18.0,-49.0,14.0,18.0,11.0,-39.0,-25.714285714285715,10.142857142857142,-8.571428571428571,-24.857142857142858,18.714285714285715,16.714285714285715,-8.04761904761905
3279,Louisiana,2020-03-30,4025,185,-42.0,-40.0,17.0,-23.0,-45.0,34.0,14.0,19.0,-40.142857142857146,-30.285714285714285,11.571428571428571,-12.714285714285714,-29.428571428571427,21.428571428571427,18.714285714285715,-10.476190476190476
3280,Louisiana,2020-03-31,5237,239,-45.0,-37.0,18.0,-25.0,-42.0,54.0,34.0,18.0,-40.57142857142857,-33.857142857142854,12.857142857142858,-15.0,-32.142857142857146,27.571428571428573,21.428571428571427,-12.0
3281,Louisiana,2020-04-01,6424,273,-45.0,-32.0,17.0,-5.0,-38.0,34.0,54.0,36.0,-40.857142857142854,-36.57142857142857,14.0,-17.428571428571427,-34.714285714285715,29.714285714285715,27.571428571428573,-13.333333333333334
3282,Louisiana,2020-04-02,9149,310,-45.0,-38.0,19.0,-20.0,-44.0,37.0,34.0,18.0,-41.142857142857146,-38.57142857142857,15.0,-19.142857142857142,-36.857142857142854,32.42857142857143,29.714285714285715,-14.238095238095235
3283,Louisiana,2020-04-03,10297,370,-45.0,-39.0,20.0,-19.0,-48.0,60.0,37.0,14.0,-41.42857142857143,-40.0,15.714285714285714,-19.714285714285715,-38.42857142857143,35.857142857142854,32.42857142857143,-14.666666666666666
3284,Louisiana,2020-04-04,12496,409,-36.0,-50.0,16.0,-47.0,-52.0,39.0,60.0,34.0,-41.857142857142854,-40.714285714285715,16.0,-19.714285714285715,-39.857142857142854,38.857142857142854,35.857142857142854,-14.80952380952381
3285,Louisiana,2020-04-05,13010,477,-37.0,-46.0,12.0,-19.0,-54.0,68.0,39.0,54.0,-42.142857142857146,-41.42857142857143,16.142857142857142,-19.428571428571427,-41.142857142857146,46.57142857142857,38.857142857142854,-14.904761904761905
3286,Louisiana,2020-04-06,14867,512,-43.0,-40.0,18.0,-19.0,-47.0,35.0,68.0,34.0,-42.285714285714285,-42.142857142857146,16.428571428571427,-19.714285714285715,-42.0,46.714285714285715,46.57142857142857,-15.142857142857144
3287,Louisiana,2020-04-07,16284,582,-45.0,-41.0,18.0,-19.0,-44.0,70.0,35.0,37.0,-42.285714285714285,-41.285714285714285,16.428571428571427,-20.571428571428573,-42.857142857142854,49.0,46.714285714285715,-15.142857142857144
