,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
3435,Maine,2020-04-09,560,16,-48.0,-51.0,19.0,-25.0,-56.0,2.0,2.0,1.0,-43.142857142857146,-44.714285714285715,16.285714285714285,-2.7142857142857144,-49.857142857142854,1.2857142857142858,1.2857142857142858,-10.380952380952381
3436,Maine,2020-04-10,586,17,-56.0,-47.0,18.0,-30.0,-58.0,1.0,2.0,0.0,-44.42857142857143,-46.0,16.857142857142858,-11.0,-51.0,1.1428571428571428,1.2857142857142858,-13.38095238095238
3437,Maine,2020-04-11,616,19,-33.0,-43.0,10.0,-16.0,-55.0,2.0,1.0,0.0,-44.285714285714285,-47.142857142857146,17.285714285714285,-15.0,-52.714285714285715,1.2857142857142858,1.1428571428571428,-14.952380952380954
3438,Maine,2020-04-12,633,19,-43.0,-73.0,9.0,26.0,-57.0,0.0,2.0,2.0,-45.57142857142857,-47.142857142857146,17.285714285714285,-8.714285714285714,-53.142857142857146,1.2857142857142858,1.2857142857142858,-12.85714285714286
3439,Maine,2020-04-13,698,19,-47.0,-45.0,19.0,-40.0,-54.0,0.0,0.0,2.0,-45.857142857142854,-46.57142857142857,17.142857142857142,1.1428571428571428,-53.0,1.2857142857142858,1.2857142857142858,-9.428571428571429
3440,Maine,2020-04-14,735,20,-45.0,-36.0,16.0,48.0,-43.0,1.0,0.0,2.0,-45.57142857142857,-47.285714285714285,17.285714285714285,3.4285714285714284,-53.857142857142854,1.1428571428571428,1.2857142857142858,-8.857142857142858
3441,Maine,2020-04-15,770,24,-45.0,-33.0,17.0,16.0,-43.0,4.0,1.0,1.0,-45.285714285714285,-48.42857142857143,17.428571428571427,8.0,-54.285714285714285,1.4285714285714286,1.1428571428571428,-7.666666666666668
3442,Maine,2020-04-16,796,27,-44.0,-37.0,18.0,21.0,-46.0,3.0,4.0,2.0,-44.714285714285715,-47.714285714285715,17.0,10.428571428571429,-54.285714285714285,1.5714285714285714,1.4285714285714286,-6.761904761904762
3443,Maine,2020-04-17,827,29,-45.0,-40.0,20.0,5.0,-50.0,2.0,3.0,0.0,-43.142857142857146,-46.857142857142854,16.285714285714285,11.857142857142858,-54.142857142857146,1.7142857142857142,1.5714285714285714,-6.238095238095237
3444,Maine,2020-04-18,847,32,-32.0,-46.0,13.0,-14.0,-56.0,3.0,2.0,0.0,-43.0,-45.285714285714285,15.714285714285714,7.714285714285714,-53.42857142857143,1.8571428571428572,1.7142857142857142,-7.285714285714285
