,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
3573,Maryland,2020-04-01,1986,31,-56.0,-43.0,25.0,-14.0,-56.0,13.0,3.0,1.0,-48.0,-34.857142857142854,17.857142857142858,15.142857142857142,-47.285714285714285,3.857142857142857,2.0,-0.6190476190476181
3574,Maryland,2020-04-02,2331,36,-56.0,-42.0,25.0,0.0,-56.0,5.0,13.0,0.0,-48.714285714285715,-36.57142857142857,18.571428571428573,16.714285714285715,-48.857142857142854,4.571428571428571,3.857142857142857,-0.42857142857142705
3575,Maryland,2020-04-03,2758,43,-54.0,-41.0,26.0,-1.0,-54.0,7.0,5.0,5.0,-49.42857142857143,-38.285714285714285,19.285714285714285,14.857142857142858,-50.142857142857146,5.428571428571429,4.571428571428571,-1.3809523809523807
3576,Maryland,2020-04-04,3125,54,-39.0,-47.0,16.0,1.0,-50.0,11.0,7.0,5.0,-49.857142857142854,-40.0,19.857142857142858,6.0,-52.285714285714285,7.0,5.428571428571429,-4.714285714285714
3577,Maryland,2020-04-05,3617,67,-42.0,-47.0,14.0,35.0,-53.0,13.0,11.0,3.0,-50.285714285714285,-40.714285714285715,20.142857142857142,5.428571428571429,-53.142857142857146,8.142857142857142,7.0,-5.047619047619048
3578,Maryland,2020-04-06,4045,91,-55.0,-40.0,23.0,20.0,-55.0,24.0,13.0,13.0,-51.0,-39.42857142857143,19.857142857142858,15.857142857142858,-52.57142857142857,10.857142857142858,8.142857142857142,-1.2380952380952384
3579,Maryland,2020-04-07,4371,103,-56.0,-41.0,25.0,7.0,-57.0,12.0,24.0,5.0,-51.142857142857146,-40.857142857142854,20.428571428571427,7.714285714285714,-53.857142857142854,12.142857142857142,10.857142857142858,-4.238095238095237
3580,Maryland,2020-04-08,5529,124,-57.0,-40.0,24.0,34.0,-55.0,21.0,12.0,7.0,-51.285714285714285,-40.714285714285715,20.571428571428573,11.857142857142858,-53.57142857142857,13.285714285714286,12.142857142857142,-2.7619047619047614
3581,Maryland,2020-04-09,6185,138,-58.0,-42.0,26.0,-12.0,-58.0,14.0,21.0,11.0,-51.57142857142857,-41.57142857142857,21.0,4.285714285714286,-54.142857142857146,14.571428571428571,13.285714285714286,-5.428571428571428
3582,Maryland,2020-04-10,6968,171,-59.0,-43.0,28.0,-27.0,-60.0,33.0,14.0,13.0,-52.285714285714285,-41.857142857142854,21.428571428571427,-1.7142857142857142,-54.57142857142857,18.285714285714285,14.571428571428571,-7.3809523809523805
3583,Maryland,2020-04-11,7694,206,-39.0,-43.0,15.0,24.0,-49.0,35.0,33.0,24.0,-52.285714285714285,-41.714285714285715,21.428571428571427,2.4285714285714284,-54.142857142857146,21.714285714285715,18.285714285714285,-5.952380952380953
3584,Maryland,2020-04-12,8225,236,-46.0,-60.0,15.0,5.0,-55.0,30.0,35.0,12.0,-52.857142857142854,-42.0,21.571428571428573,3.2857142857142856,-54.42857142857143,24.142857142857142,21.714285714285715,-5.714285714285714
3585,Maryland,2020-04-13,8936,262,-58.0,-49.0,27.0,-29.0,-62.0,26.0,30.0,21.0,-53.285714285714285,-44.0,22.0,2.142857142857143,-54.857142857142854,24.428571428571427,24.142857142857142,-6.6190476190476195
3586,Maryland,2020-04-14,9472,302,-55.0,-39.0,24.0,15.0,-55.0,40.0,26.0,14.0,-53.142857142857146,-43.0,22.0,6.857142857142857,-54.42857142857143,28.428571428571427,24.428571428571427,-4.714285714285714
3587,Maryland,2020-04-15,10032,311,-55.0,-37.0,24.0,2.0,-53.0,9.0,40.0,33.0,-52.857142857142854,-42.57142857142857,21.857142857142858,13.714285714285714,-54.285714285714285,26.714285714285715,28.428571428571427,-2.3333333333333326
3588,Maryland,2020-04-16,10784,319,-56.0,-38.0,25.0,-3.0,-56.0,8.0,9.0,35.0,-52.57142857142857,-42.57142857142857,22.0,12.0,-54.57142857142857,25.857142857142858,26.714285714285715,-2.8571428571428563
3589,Maryland,2020-04-17,11572,334,-54.0,-40.0,26.0,-7.0,-55.0,15.0,8.0,30.0,-51.857142857142854,-42.857142857142854,22.285714285714285,8.285714285714286,-55.42857142857143,23.285714285714285,25.857142857142858,-4.095238095238094
3590,Maryland,2020-04-18,12326,421,-37.0,-45.0,16.0,-14.0,-50.0,87.0,15.0,26.0,-51.57142857142857,-42.285714285714285,22.142857142857142,11.571428571428571,-55.285714285714285,30.714285714285715,23.285714285714285,-2.857142857142857
3591,Maryland,2020-04-19,12847,461,-40.0,-45.0,13.0,40.0,-51.0,40.0,87.0,40.0,-50.714285714285715,-44.142857142857146,22.285714285714285,7.285714285714286,-55.57142857142857,32.142857142857146,30.714285714285715,-4.8571428571428585
3592,Maryland,2020-04-20,13684,582,-54.0,-39.0,23.0,0.0,-56.0,121.0,40.0,9.0,-50.142857142857146,-45.42857142857143,22.857142857142858,0.2857142857142857,-56.57142857142857,45.714285714285715,32.142857142857146,-7.42857142857143
3593,Maryland,2020-04-21,14193,652,-55.0,-39.0,24.0,1.0,-56.0,70.0,121.0,8.0,-50.142857142857146,-45.142857142857146,22.714285714285715,1.4285714285714286,-56.285714285714285,50.0,45.714285714285715,-7.000000000000001
3594,Maryland,2020-04-22,14775,698,-55.0,-36.0,24.0,19.0,-54.0,46.0,70.0,15.0,-50.142857142857146,-44.714285714285715,22.714285714285715,-3.142857142857143,-56.0,55.285714285714285,50.0,-8.380952380952381
3595,Maryland,2020-04-23,15737,748,-55.0,-40.0,25.0,-18.0,-58.0,50.0,46.0,87.0,-50.0,-44.142857142857146,22.571428571428573,-1.8571428571428572,-55.714285714285715,61.285714285714285,55.285714285714285,-7.80952380952381
3596,Maryland,2020-04-24,16616,798,-55.0,-42.0,27.0,-26.0,-59.0,50.0,50.0,40.0,-50.142857142857146,-43.714285714285715,22.285714285714285,1.0,-55.0,66.28571428571429,61.285714285714285,-6.80952380952381
3597,Maryland,2020-04-25,17766,875,-35.0,-41.0,14.0,55.0,-43.0,77.0,50.0,121.0,-49.857142857142854,-44.0,22.428571428571427,-4.428571428571429,-55.142857142857146,64.85714285714286,66.28571428571429,-8.666666666666666
3598,Maryland,2020-04-26,18581,910,-42.0,-49.0,15.0,-41.0,-57.0,35.0,77.0,70.0,-50.142857142857146,-41.857142857142854,22.142857142857142,0.5714285714285714,-54.57142857142857,64.14285714285714,64.85714285714286,-6.38095238095238
3599,Maryland,2020-04-27,19487,945,-53.0,-38.0,23.0,-12.0,-56.0,35.0,35.0,46.0,-50.0,-40.42857142857143,21.571428571428573,4.714285714285714,-53.714285714285715,51.857142857142854,64.14285714285714,-4.714285714285714
3600,Maryland,2020-04-28,20113,1016,-54.0,-36.0,18.0,4.0,-54.0,71.0,35.0,50.0,-49.857142857142854,-40.42857142857143,21.571428571428573,2.7142857142857144,-53.857142857142854,52.0,51.857142857142854,-5.3809523809523805
3601,Maryland,2020-04-29,20849,1078,-54.0,-33.0,22.0,45.0,-51.0,62.0,71.0,50.0,-49.714285714285715,-40.285714285714285,21.571428571428573,5.142857142857143,-54.0,54.285714285714285,52.0,-4.523809523809523
3602,Maryland,2020-04-30,21742,1140,-57.0,-44.0,27.0,-44.0,-62.0,62.0,62.0,77.0,-50.0,-40.57142857142857,21.571428571428573,3.0,-54.285714285714285,56.0,54.285714285714285,-5.333333333333332
3603,Maryland,2020-05-01,23472,1080,-52.0,-34.0,24.0,14.0,-51.0,-60.0,62.0,35.0,-49.57142857142857,-40.857142857142854,21.714285714285715,0.2857142857142857,-54.857142857142854,40.285714285714285,56.0,-6.285714285714285
3604,Maryland,2020-05-02,24473,1251,-32.0,-34.0,11.0,115.0,-33.0,171.0,-60.0,35.0,-49.142857142857146,-40.285714285714285,21.428571428571427,10.142857142857142,-53.857142857142854,53.714285714285715,40.285714285714285,-2.904761904761905
