,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
3720,Massachusetts,2020-04-02,8966,154,-59.0,-50.0,27.0,-30.0,-73.0,32.0,33.0,9.0,-53.142857142857146,-44.285714285714285,20.0,14.142857142857142,-62.42857142857143,18.428571428571427,15.285714285714286,-3.380952380952381
3721,Massachusetts,2020-04-03,10402,192,-59.0,-54.0,30.0,-54.0,-74.0,38.0,32.0,4.0,-53.714285714285715,-46.285714285714285,20.857142857142858,17.857142857142858,-64.0,22.428571428571427,18.428571428571427,-2.5238095238095233
3722,Massachusetts,2020-04-04,11736,216,-43.0,-53.0,16.0,29.0,-64.0,24.0,38.0,8.0,-54.0,-47.714285714285715,21.285714285714285,15.857142857142858,-65.85714285714286,24.571428571428573,22.428571428571427,-3.523809523809524
3723,Massachusetts,2020-04-05,12500,231,-42.0,-53.0,14.0,25.0,-68.0,15.0,24.0,33.0,-54.0,-49.57142857142857,21.857142857142858,4.714285714285714,-67.85714285714286,26.142857142857142,24.571428571428573,-7.666666666666665
3724,Massachusetts,2020-04-06,13837,260,-59.0,-44.0,23.0,51.0,-69.0,29.0,15.0,33.0,-54.142857142857146,-50.857142857142854,22.285714285714285,5.428571428571429,-68.71428571428571,29.142857142857142,26.142857142857142,-7.714285714285713
3725,Massachusetts,2020-04-07,15202,356,-60.0,-46.0,25.0,41.0,-70.0,96.0,29.0,32.0,-54.42857142857143,-50.42857142857143,22.428571428571427,7.285714285714286,-68.85714285714286,38.142857142857146,29.142857142857142,-6.904761904761906
3726,Massachusetts,2020-04-08,16790,433,-61.0,-51.0,26.0,-13.0,-73.0,77.0,96.0,38.0,-54.714285714285715,-49.57142857142857,22.285714285714285,10.0,-68.71428571428571,44.42857142857143,38.142857142857146,-5.761904761904762
3727,Massachusetts,2020-04-09,18941,503,-61.0,-54.0,28.0,-42.0,-75.0,70.0,77.0,24.0,-55.0,-50.0,22.571428571428573,-0.2857142857142857,-69.42857142857143,49.857142857142854,44.42857142857143,-9.238095238095237
3728,Massachusetts,2020-04-10,20974,599,-61.0,-50.0,29.0,-25.0,-73.0,96.0,70.0,15.0,-55.285714285714285,-50.857142857142854,23.142857142857142,-14.571428571428571,-70.42857142857143,58.142857142857146,49.857142857142854,-14.095238095238095
3729,Massachusetts,2020-04-11,22860,686,-44.0,-49.0,16.0,33.0,-64.0,87.0,96.0,29.0,-55.42857142857143,-51.0,23.285714285714285,-18.571428571428573,-70.57142857142857,67.14285714285714,58.142857142857146,-15.42857142857143
