,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
3858,Michigan,2020-03-25,2468,51,-58.0,-53.0,23.0,66.0,-46.0,20.0,13.0,1.0,-40.857142857142854,-14.428571428571429,6.428571428571429,29.571428571428573,-10.571428571428571,7.0,4.285714285714286,7.190476190476191
3859,Michigan,2020-03-26,3032,71,-59.0,-56.0,25.0,12.0,-51.0,20.0,20.0,3.0,-44.42857142857143,-20.285714285714285,8.428571428571429,26.857142857142858,-15.142857142857142,9.857142857142858,7.0,5.000000000000001
3860,Michigan,2020-03-27,3848,107,-58.0,-58.0,27.0,22.0,-52.0,36.0,20.0,6.0,-47.42857142857143,-25.428571428571427,10.428571428571429,25.428571428571427,-19.285714285714285,14.857142857142858,9.857142857142858,3.4761904761904763
3861,Michigan,2020-03-28,4890,130,-44.0,-63.0,17.0,-22.0,-56.0,23.0,36.0,6.0,-50.0,-30.142857142857142,11.428571428571429,27.857142857142858,-23.142857142857142,17.714285714285715,14.857142857142858,3.0476190476190474
3862,Michigan,2020-03-29,5753,157,-43.0,-58.0,12.0,15.0,-55.0,27.0,23.0,13.0,-51.714285714285715,-35.285714285714285,12.285714285714286,22.285714285714285,-27.857142857142858,20.714285714285715,17.714285714285715,-0.23809523809523844
3863,Michigan,2020-03-30,6803,213,-60.0,-54.0,24.0,-10.0,-55.0,56.0,27.0,20.0,-54.142857142857146,-37.714285714285715,13.428571428571429,20.285714285714285,-31.142857142857142,27.857142857142858,20.714285714285715,-1.3333333333333333
3864,Michigan,2020-03-31,7951,292,-61.0,-53.0,25.0,-3.0,-52.0,79.0,56.0,20.0,-54.714285714285715,-42.0,15.428571428571429,14.285714285714286,-35.57142857142857,37.285714285714285,27.857142857142858,-4.095238095238094
3865,Michigan,2020-04-01,9717,370,-61.0,-50.0,25.0,21.0,-49.0,78.0,79.0,36.0,-55.142857142857146,-44.857142857142854,16.857142857142858,22.285714285714285,-38.714285714285715,45.57142857142857,37.285714285714285,-1.904761904761904
3866,Michigan,2020-04-02,11230,453,-61.0,-49.0,24.0,99.0,-48.0,83.0,78.0,23.0,-55.42857142857143,-48.0,18.285714285714285,22.714285714285715,-41.714285714285715,54.57142857142857,45.57142857142857,-2.3333333333333335
3867,Michigan,2020-04-03,13221,518,-61.0,-52.0,26.0,68.0,-49.0,65.0,83.0,27.0,-55.857142857142854,-50.42857142857143,19.571428571428573,26.142857142857142,-44.57142857142857,58.714285714285715,54.57142857142857,-1.5714285714285718
3868,Michigan,2020-04-04,14735,585,-45.0,-60.0,17.0,2.0,-54.0,67.0,65.0,56.0,-56.0,-52.857142857142854,20.428571428571427,18.285714285714285,-48.0,65.0,58.714285714285715,-4.714285714285715
