,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4013,Minnesota,2020-04-03,788,22,-51.0,-50.0,27.0,-39.0,-61.0,4.0,1.0,4.0,-46.57142857142857,-41.57142857142857,17.571428571428573,24.142857142857142,-50.142857142857146,2.5714285714285716,2.2857142857142856,0.047619047619048636
4014,Minnesota,2020-04-04,865,24,-35.0,-51.0,16.0,12.0,-55.0,2.0,4.0,1.0,-46.285714285714285,-43.857142857142854,18.285714285714285,18.571428571428573,-53.142857142857146,2.7142857142857144,2.5714285714285716,-2.333333333333332
4015,Minnesota,2020-04-05,935,29,-37.0,-46.0,12.0,98.0,-58.0,5.0,2.0,2.0,-46.142857142857146,-45.285714285714285,18.714285714285715,13.714285714285714,-55.142857142857146,2.857142857142857,2.7142857142857144,-4.285714285714286
4016,Minnesota,2020-04-06,986,30,-50.0,-43.0,21.0,35.0,-58.0,1.0,5.0,5.0,-46.285714285714285,-46.0,19.142857142857142,22.714285714285715,-55.714285714285715,2.857142857142857,2.857142857142857,-1.3809523809523807
4017,Minnesota,2020-04-07,1069,34,-51.0,-41.0,21.0,105.0,-54.0,4.0,1.0,1.0,-46.42857142857143,-46.142857142857146,19.285714285714285,30.857142857142858,-56.0,3.142857142857143,2.857142857142857,1.3333333333333321
4018,Minnesota,2020-04-08,1154,39,-51.0,-42.0,22.0,31.0,-57.0,5.0,4.0,4.0,-46.57142857142857,-46.714285714285715,19.571428571428573,39.42857142857143,-56.142857142857146,3.142857142857143,3.142857142857143,4.095238095238096
4019,Minnesota,2020-04-09,1240,50,-52.0,-45.0,24.0,-14.0,-60.0,11.0,5.0,2.0,-46.714285714285715,-48.0,20.142857142857142,35.142857142857146,-57.0,4.571428571428571,3.142857142857143,2.4285714285714293
4020,Minnesota,2020-04-10,1336,57,-54.0,-41.0,25.0,34.0,-57.0,7.0,11.0,5.0,-47.142857142857146,-49.42857142857143,21.0,21.714285714285715,-58.42857142857143,5.0,4.571428571428571,-2.2380952380952386
4021,Minnesota,2020-04-11,1427,64,-36.0,-44.0,14.0,50.0,-51.0,7.0,7.0,1.0,-47.285714285714285,-47.42857142857143,20.571428571428573,29.714285714285715,-57.142857142857146,5.714285714285714,5.0,0.9523809523809526
4022,Minnesota,2020-04-12,1621,70,-49.0,-77.0,15.0,-48.0,-71.0,6.0,7.0,4.0,-49.0,-45.714285714285715,20.285714285714285,46.0,-56.285714285714285,5.857142857142857,5.714285714285714,6.857142857142857
4023,Minnesota,2020-04-13,1621,70,-50.0,-45.0,22.0,-22.0,-60.0,0.0,6.0,5.0,-49.0,-45.57142857142857,20.428571428571427,37.0,-56.57142857142857,5.714285714285714,5.857142857142857,3.9523809523809526
4024,Minnesota,2020-04-14,1695,79,-49.0,-45.0,23.0,-18.0,-58.0,9.0,0.0,11.0,-48.714285714285715,-45.42857142857143,20.428571428571427,40.714285714285715,-56.857142857142854,6.428571428571429,5.714285714285714,5.238095238095237
4025,Minnesota,2020-04-15,1809,87,-49.0,-38.0,22.0,1.0,-55.0,8.0,9.0,7.0,-48.42857142857143,-45.57142857142857,20.428571428571427,38.142857142857146,-57.285714285714285,6.857142857142857,6.428571428571429,4.333333333333335
4026,Minnesota,2020-04-16,1809,87,-49.0,-40.0,23.0,22.0,-56.0,0.0,8.0,7.0,-48.0,-45.42857142857143,20.428571428571427,32.57142857142857,-57.57142857142857,5.285714285714286,6.857142857142857,2.523809523809522
4027,Minnesota,2020-04-17,2070,111,-48.0,-40.0,23.0,37.0,-53.0,24.0,0.0,6.0,-47.142857142857146,-44.142857142857146,20.142857142857142,43.0,-57.0,7.714285714285714,5.285714285714286,6.333333333333332
4028,Minnesota,2020-04-18,2209,121,-31.0,-43.0,13.0,66.0,-48.0,10.0,24.0,0.0,-46.42857142857143,-43.142857142857146,19.857142857142858,48.42857142857143,-56.42857142857143,8.142857142857142,7.714285714285714,8.380952380952381
4029,Minnesota,2020-04-19,2356,134,-34.0,-39.0,10.0,92.0,-55.0,13.0,10.0,9.0,-44.285714285714285,-47.57142857142857,20.285714285714285,27.571428571428573,-58.285714285714285,9.142857142857142,8.142857142857142,0.09523809523809608
4030,Minnesota,2020-04-20,2470,143,-48.0,-38.0,20.0,22.0,-57.0,9.0,13.0,8.0,-44.0,-47.857142857142854,20.428571428571427,19.428571428571427,-58.57142857142857,10.428571428571429,9.142857142857142,-2.6666666666666665
4031,Minnesota,2020-04-21,2567,160,-48.0,-36.0,21.0,48.0,-53.0,17.0,9.0,0.0,-43.857142857142854,-48.42857142857143,20.714285714285715,1.8571428571428572,-59.142857142857146,11.571428571428571,10.428571428571429,-8.619047619047619
4032,Minnesota,2020-04-22,2722,179,-49.0,-33.0,19.0,134.0,-49.0,19.0,17.0,24.0,-43.857142857142854,-47.857142857142854,20.714285714285715,-2.4285714285714284,-58.857142857142854,13.142857142857142,11.571428571428571,-9.857142857142856
4033,Minnesota,2020-04-23,2942,200,-48.0,-38.0,21.0,59.0,-53.0,21.0,19.0,10.0,-43.714285714285715,-47.142857142857146,20.571428571428573,2.7142857142857144,-58.285714285714285,16.142857142857142,13.142857142857142,-7.9523809523809526
4034,Minnesota,2020-04-24,3185,221,-48.0,-38.0,21.0,75.0,-52.0,21.0,21.0,13.0,-43.714285714285715,-47.0,20.285714285714285,3.142857142857143,-57.714285714285715,15.714285714285714,16.142857142857142,-7.857142857142858
4035,Minnesota,2020-04-25,3446,244,-30.0,-40.0,11.0,92.0,-45.0,23.0,21.0,9.0,-43.57142857142857,-46.857142857142854,20.142857142857142,5.428571428571429,-57.285714285714285,17.571428571428573,15.714285714285714,-7.095238095238095
4036,Minnesota,2020-04-26,3602,272,-33.0,-35.0,8.0,121.0,-52.0,28.0,23.0,17.0,-43.42857142857143,-41.42857142857143,19.428571428571427,25.428571428571427,-55.0,19.714285714285715,17.571428571428573,1.1428571428571412
4037,Minnesota,2020-04-27,3811,286,-47.0,-29.0,18.0,122.0,-50.0,14.0,28.0,19.0,-43.285714285714285,-40.42857142857143,19.142857142857142,31.714285714285715,-54.57142857142857,20.428571428571427,19.714285714285715,3.476190476190476
4038,Minnesota,2020-04-28,4181,301,-49.0,-37.0,15.0,-1.0,-56.0,15.0,14.0,21.0,-43.42857142857143,-39.142857142857146,18.857142857142858,41.142857142857146,-53.857142857142854,20.142857142857142,20.428571428571427,6.9523809523809526
4039,Minnesota,2020-04-29,4644,319,-48.0,-31.0,19.0,74.0,-49.0,18.0,15.0,21.0,-43.285714285714285,-38.42857142857143,18.428571428571427,60.142857142857146,-53.0,20.0,20.142857142857142,13.38095238095238
