,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4157,Mississippi,2020-04-01,1073,22,-37.0,-15.0,13.0,17.0,-17.0,2.0,4.0,2.0,-33.0,-25.714285714285715,11.142857142857142,8.285714285714286,-13.714285714285714,2.7142857142857144,2.7142857142857144,-2.0952380952380953
4158,Mississippi,2020-04-02,1177,26,-37.0,-21.0,14.0,10.0,-21.0,4.0,2.0,5.0,-33.42857142857143,-27.571428571428573,11.714285714285714,9.0,-15.714285714285714,2.857142857142857,2.7142857142857144,-2.2857142857142865
4159,Mississippi,2020-04-03,1358,29,-39.0,-28.0,16.0,-6.0,-29.0,3.0,4.0,1.0,-34.0,-28.428571428571427,12.0,12.0,-17.285714285714285,3.0,2.857142857142857,-1.4761904761904756
4160,Mississippi,2020-04-04,1455,35,-31.0,-47.0,13.0,-22.0,-37.0,6.0,3.0,2.0,-34.857142857142854,-29.0,12.0,14.142857142857142,-18.714285714285715,3.142857142857143,3.0,-0.9523809523809526
4161,Mississippi,2020-04-05,1638,43,-35.0,-43.0,11.0,-8.0,-37.0,8.0,6.0,4.0,-35.57142857142857,-28.428571428571427,12.0,18.857142857142858,-19.857142857142858,4.142857142857143,3.142857142857143,0.8095238095238102
4162,Mississippi,2020-04-06,1738,51,-40.0,-32.0,15.0,-8.0,-30.0,8.0,8.0,2.0,-36.42857142857143,-28.428571428571427,12.142857142857142,18.857142857142858,-20.428571428571427,5.0,4.142857142857143,0.8571428571428577
4163,Mississippi,2020-04-07,1915,60,-42.0,-35.0,17.0,-16.0,-26.0,9.0,8.0,4.0,-37.285714285714285,-28.142857142857142,12.285714285714286,16.714285714285715,-21.571428571428573,5.714285714285714,5.0,0.2857142857142865
4164,Mississippi,2020-04-08,2003,67,-42.0,-31.0,16.0,-4.0,-26.0,7.0,9.0,3.0,-38.0,-26.857142857142858,12.285714285714286,15.428571428571429,-22.142857142857142,6.428571428571429,5.714285714285714,0.28571428571428586
4165,Mississippi,2020-04-09,2260,76,-42.0,-30.0,17.0,-2.0,-27.0,9.0,7.0,6.0,-38.714285714285715,-26.142857142857142,12.428571428571429,12.428571428571429,-22.714285714285715,7.142857142857143,6.428571428571429,-0.4285714285714282
4166,Mississippi,2020-04-10,2469,82,-50.0,-32.0,20.0,-9.0,-36.0,6.0,9.0,8.0,-40.285714285714285,-26.0,12.714285714285714,8.571428571428571,-23.571428571428573,7.571428571428571,7.142857142857143,-1.5714285714285718
4167,Mississippi,2020-04-11,2642,93,-32.0,-35.0,11.0,-12.0,-38.0,11.0,6.0,8.0,-40.42857142857143,-27.857142857142858,13.285714285714286,3.4285714285714284,-25.285714285714285,8.285714285714286,7.571428571428571,-3.714285714285714
4168,Mississippi,2020-04-12,2781,96,-43.0,-63.0,14.0,-50.0,-49.0,3.0,11.0,9.0,-41.57142857142857,-29.428571428571427,13.571428571428571,-1.5714285714285714,-26.428571428571427,7.571428571428571,8.285714285714286,-5.809523809523809
4169,Mississippi,2020-04-13,2942,98,-40.0,-27.0,14.0,-14.0,-28.0,2.0,3.0,7.0,-41.57142857142857,-30.285714285714285,13.857142857142858,-3.2857142857142856,-27.428571428571427,6.714285714285714,7.571428571428571,-6.57142857142857
4170,Mississippi,2020-04-14,3087,111,-39.0,-24.0,15.0,-5.0,-22.0,13.0,2.0,9.0,-41.142857142857146,-31.571428571428573,14.142857142857142,-4.714285714285714,-28.142857142857142,7.285714285714286,6.714285714285714,-7.380952380952382
4171,Mississippi,2020-04-15,3360,122,-39.0,-12.0,13.0,-1.0,-19.0,11.0,13.0,6.0,-40.714285714285715,-33.857142857142854,14.571428571428571,-7.714285714285714,-29.428571428571427,7.857142857142857,7.285714285714286,-9.0
4172,Mississippi,2020-04-16,3624,129,-38.0,-19.0,15.0,2.0,-21.0,7.0,11.0,11.0,-40.142857142857146,-35.142857142857146,15.0,-9.428571428571429,-30.285714285714285,7.571428571428571,7.857142857142857,-9.85714285714286
4173,Mississippi,2020-04-17,3793,140,-39.0,-27.0,16.0,-6.0,-29.0,11.0,7.0,3.0,-38.57142857142857,-35.714285714285715,15.571428571428571,-9.857142857142858,-31.285714285714285,8.285714285714286,7.571428571428571,-10.000000000000002
4174,Mississippi,2020-04-18,3974,152,-26.0,-29.0,10.0,-11.0,-29.0,12.0,11.0,2.0,-37.714285714285715,-34.0,15.285714285714286,-8.428571428571429,-31.428571428571427,8.428571428571429,8.285714285714286,-9.04761904761905
4175,Mississippi,2020-04-19,4274,159,-36.0,-42.0,12.0,-39.0,-41.0,7.0,12.0,13.0,-36.714285714285715,-36.857142857142854,15.714285714285714,-14.428571428571429,-33.142857142857146,9.0,8.428571428571429,-11.857142857142856
4176,Mississippi,2020-04-20,4512,169,-36.0,-18.0,13.0,0.0,-24.0,10.0,7.0,11.0,-36.142857142857146,-36.142857142857146,15.571428571428571,-15.285714285714286,-32.857142857142854,10.142857142857142,9.0,-11.952380952380954
4177,Mississippi,2020-04-21,4716,183,-37.0,-15.0,13.0,16.0,-18.0,14.0,10.0,7.0,-35.857142857142854,-34.57142857142857,15.285714285714286,-13.714285714285714,-32.285714285714285,10.285714285714286,10.142857142857142,-11.0
4178,Mississippi,2020-04-22,4894,193,-38.0,-18.0,14.0,-5.0,-21.0,10.0,14.0,11.0,-35.714285714285715,-31.857142857142858,14.857142857142858,-13.285714285714286,-31.285714285714285,10.142857142857142,10.285714285714286,-10.095238095238095
