,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4302,Missouri,2020-03-31,1550,19,-45.0,-34.0,17.0,49.0,-30.0,3.0,0.0,0.0,-38.285714285714285,-30.714285714285715,12.0,-1.1428571428571428,-22.571428571428573,1.5714285714285714,1.7142857142857142,-6.6190476190476195
4303,Missouri,2020-04-01,1803,24,-44.0,-27.0,14.0,38.0,-25.0,5.0,3.0,0.0,-38.714285714285715,-33.714285714285715,12.857142857142858,5.285714285714286,-24.571428571428573,2.142857142857143,1.5714285714285714,-5.190476190476191
4304,Missouri,2020-04-02,2003,32,-46.0,-36.0,18.0,36.0,-32.0,8.0,5.0,4.0,-39.142857142857146,-35.714285714285715,13.428571428571429,14.428571428571429,-26.142857142857142,3.2857142857142856,2.142857142857143,-2.6190476190476186
4305,Missouri,2020-04-03,2124,45,-39.0,-36.0,19.0,9.0,-32.0,13.0,8.0,3.0,-39.57142857142857,-37.57142857142857,14.142857142857142,20.285714285714285,-27.857142857142858,5.142857142857143,3.2857142857142856,-1.0476190476190474
4306,Missouri,2020-04-04,2472,51,-31.0,-48.0,13.0,-24.0,-37.0,6.0,13.0,0.0,-40.0,-38.857142857142854,14.571428571428571,21.0,-30.0,5.428571428571429,5.142857142857143,-1.095238095238095
4307,Missouri,2020-04-05,2568,64,-34.0,-43.0,10.0,5.0,-40.0,13.0,6.0,3.0,-40.285714285714285,-38.57142857142857,14.571428571428571,37.285714285714285,-30.571428571428573,6.857142857142857,5.428571428571429,4.428571428571428
4308,Missouri,2020-04-06,3030,72,-46.0,-43.0,18.0,14.0,-39.0,8.0,13.0,5.0,-40.714285714285715,-39.0,14.857142857142858,42.857142857142854,-31.0,8.0,6.857142857142857,6.238095238095237
4309,Missouri,2020-04-07,3327,92,-48.0,-39.0,17.0,65.0,-32.0,20.0,8.0,8.0,-41.142857142857146,-37.57142857142857,14.714285714285714,52.142857142857146,-30.571428571428573,10.428571428571429,8.0,9.761904761904765
4310,Missouri,2020-04-08,3511,107,-47.0,-33.0,15.0,38.0,-29.0,15.0,20.0,13.0,-41.57142857142857,-36.714285714285715,14.714285714285714,50.857142857142854,-30.714285714285715,11.857142857142858,10.428571428571429,9.619047619047619
4311,Missouri,2020-04-09,3754,123,-48.0,-39.0,19.0,19.0,-34.0,16.0,15.0,6.0,-41.857142857142854,-36.285714285714285,14.857142857142858,45.57142857142857,-31.0,13.0,11.857142857142858,8.047619047619047
4312,Missouri,2020-04-10,4149,133,-45.0,-34.0,19.0,44.0,-33.0,10.0,16.0,13.0,-42.714285714285715,-36.142857142857146,15.0,39.714285714285715,-31.285714285714285,12.571428571428571,13.0,6.19047619047619
