,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4457,Montana,2020-04-09,354,6,-43.0,-35.0,14.0,78.0,-33.0,0.0,0.0,1.0,-40.42857142857143,-46.285714285714285,15.0,2.0,-35.714285714285715,0.0,0.0,-9.761904761904761
4458,Montana,2020-04-10,365,6,-45.0,-38.0,16.0,44.0,-34.0,0.0,0.0,0.0,-40.857142857142854,-47.57142857142857,15.571428571428571,-0.42857142857142855,-37.0,0.14285714285714285,0.0,-10.80952380952381
4459,Montana,2020-04-11,377,6,-39.0,-55.0,15.0,-51.0,-46.0,0.0,0.0,0.0,-41.285714285714285,-46.142857142857146,15.428571428571429,0.8571428571428571,-37.0,0.0,0.14285714285714285,-9.952380952380953
4460,Montana,2020-04-12,387,6,-43.0,-67.0,11.0,-22.0,-52.0,0.0,0.0,0.0,-42.285714285714285,-45.285714285714285,15.285714285714286,0.14285714285714285,-37.42857142857143,0.0,0.0,-9.952380952380953
4461,Montana,2020-04-13,394,7,-40.0,-38.0,15.0,6.0,-37.0,1.0,0.0,0.0,-42.285714285714285,-44.57142857142857,15.285714285714286,1.2857142857142858,-37.57142857142857,0.14285714285714285,0.0,-9.333333333333334
4462,Montana,2020-04-14,399,7,-40.0,-38.0,16.0,9.0,-35.0,0.0,1.0,0.0,-41.857142857142854,-43.57142857142857,15.0,7.714285714285714,-37.285714285714285,0.14285714285714285,0.14285714285714285,-6.952380952380952
4463,Montana,2020-04-15,404,7,-40.0,-35.0,16.0,-4.0,-35.0,0.0,0.0,0.0,-41.42857142857143,-42.142857142857146,14.571428571428571,18.857142857142858,-36.714285714285715,0.14285714285714285,0.14285714285714285,-2.9047619047619064
4464,Montana,2020-04-16,415,7,-39.0,-35.0,15.0,30.0,-28.0,0.0,0.0,0.0,-40.857142857142854,-40.714285714285715,14.0,31.571428571428573,-35.857142857142854,0.14285714285714285,0.14285714285714285,1.6190476190476193
4465,Montana,2020-04-17,422,8,-38.0,-37.0,15.0,41.0,-26.0,1.0,0.0,0.0,-39.857142857142854,-39.857142857142854,13.571428571428571,39.142857142857146,-35.285714285714285,0.2857142857142857,0.14285714285714285,4.285714285714287
4466,Montana,2020-04-18,426,10,-32.0,-42.0,10.0,8.0,-28.0,2.0,1.0,1.0,-38.857142857142854,-40.714285714285715,14.0,30.857142857142858,-36.57142857142857,0.5714285714285714,0.2857142857142857,1.3809523809523807
4467,Montana,2020-04-19,433,10,-32.0,-36.0,7.0,44.0,-31.0,0.0,2.0,0.0,-37.285714285714285,-43.857142857142854,14.285714285714286,24.428571428571427,-38.285714285714285,0.5714285714285714,0.5714285714285714,-1.7142857142857142
4468,Montana,2020-04-20,433,10,-37.0,-28.0,11.0,72.0,-26.0,0.0,0.0,0.0,-36.857142857142854,-44.0,14.428571428571429,21.428571428571427,-38.285714285714285,0.42857142857142855,0.5714285714285714,-2.714285714285714
4469,Montana,2020-04-21,437,12,-39.0,-31.0,12.0,93.0,-24.0,2.0,0.0,0.0,-36.714285714285715,-44.0,14.571428571428571,17.142857142857142,-38.57142857142857,0.7142857142857143,0.42857142857142855,-4.095238095238096
4470,Montana,2020-04-22,439,14,-38.0,-32.0,13.0,49.0,-26.0,2.0,2.0,1.0,-36.42857142857143,-43.714285714285715,14.714285714285714,8.571428571428571,-38.857142857142854,1.0,0.7142857142857143,-6.80952380952381
4471,Montana,2020-04-23,442,14,-38.0,-36.0,15.0,10.0,-29.0,0.0,2.0,2.0,-36.285714285714285,-43.714285714285715,14.857142857142858,1.7142857142857142,-38.142857142857146,1.0,1.0,-9.047619047619047
4472,Montana,2020-04-24,444,14,-37.0,-35.0,14.0,37.0,-22.0,0.0,0.0,0.0,-36.142857142857146,-43.57142857142857,14.714285714285714,1.2857142857142858,-37.0,0.8571428571428571,1.0,-9.19047619047619
4473,Montana,2020-04-25,445,14,-30.0,-37.0,7.0,53.0,-23.0,0.0,0.0,0.0,-35.857142857142854,-41.714285714285715,14.0,9.714285714285714,-34.42857142857143,0.5714285714285714,0.8571428571428571,-6.0
4474,Montana,2020-04-26,448,14,-29.0,-28.0,5.0,79.0,-23.0,0.0,0.0,2.0,-35.42857142857143,-37.285714285714285,13.428571428571429,19.142857142857142,-31.428571428571427,0.5714285714285714,0.5714285714285714,-1.5714285714285705
4475,Montana,2020-04-27,449,14,-33.0,-24.0,11.0,28.0,-26.0,0.0,0.0,2.0,-34.857142857142854,-35.857142857142854,12.857142857142858,28.571428571428573,-29.857142857142858,0.5714285714285714,0.5714285714285714,1.8571428571428588
4476,Montana,2020-04-28,451,15,-35.0,-23.0,3.0,90.0,-18.0,1.0,0.0,0.0,-34.285714285714285,-34.857142857142854,12.285714285714286,40.57142857142857,-28.285714285714285,0.42857142857142855,0.5714285714285714,6.0
4477,Montana,2020-04-29,451,16,-35.0,-22.0,10.0,101.0,-19.0,1.0,1.0,0.0,-33.857142857142854,-34.42857142857143,11.857142857142858,48.142857142857146,-27.0,0.2857142857142857,0.42857142857142855,8.523809523809524
4478,Montana,2020-04-30,453,16,-35.0,-23.0,12.0,43.0,-21.0,0.0,1.0,0.0,-33.42857142857143,-34.57142857142857,11.857142857142858,45.285714285714285,-27.142857142857142,0.2857142857142857,0.2857142857142857,7.523809523809525
4479,Montana,2020-05-01,453,16,-33.0,-23.0,11.0,72.0,-16.0,0.0,0.0,0.0,-32.857142857142854,-34.285714285714285,11.714285714285714,44.714285714285715,-26.571428571428573,0.2857142857142857,0.2857142857142857,7.380952380952382
4480,Montana,2020-05-02,455,16,-25.0,-23.0,4.0,93.0,-13.0,0.0,0.0,0.0,-32.142857142857146,-33.57142857142857,11.285714285714286,51.142857142857146,-25.857142857142858,0.2857142857142857,0.2857142857142857,9.61904761904762
4481,Montana,2020-05-03,455,16,-24.0,-21.0,5.0,31.0,-20.0,0.0,0.0,1.0,-31.428571428571427,-32.42857142857143,11.0,56.142857142857146,-24.714285714285715,0.2857142857142857,0.2857142857142857,11.571428571428571
4482,Montana,2020-05-04,457,16,-27.0,-8.0,8.0,60.0,-18.0,0.0,0.0,1.0,-30.571428571428573,-31.857142857142858,11.0,49.857142857142854,-24.714285714285715,0.2857142857142857,0.2857142857142857,9.666666666666666
4483,Montana,2020-05-05,456,16,-29.0,-10.0,8.0,94.0,-13.0,0.0,0.0,0.0,-29.714285714285715,-30.714285714285715,9.714285714285714,49.42857142857143,-23.857142857142858,0.14285714285714285,0.2857142857142857,9.476190476190476
4484,Montana,2020-05-06,456,16,-30.0,-15.0,10.0,33.0,-16.0,0.0,0.0,0.0,-29.0,-29.285714285714285,9.285714285714286,56.857142857142854,-22.857142857142858,0.0,0.14285714285714285,12.285714285714285
4485,Montana,2020-05-07,456,16,-30.0,-13.0,10.0,46.0,-17.0,0.0,0.0,0.0,-28.285714285714285,-27.428571428571427,8.857142857142858,61.57142857142857,-21.714285714285715,0.0,0.0,14.333333333333334
4486,Montana,2020-05-08,458,16,-29.0,-16.0,10.0,59.0,-12.0,0.0,0.0,0.0,-27.714285714285715,-25.714285714285715,8.428571428571429,66.57142857142857,-20.857142857142858,0.0,0.0,16.428571428571427
4487,Montana,2020-05-09,458,16,-19.0,-13.0,3.0,84.0,-7.0,0.0,0.0,0.0,-26.857142857142858,-23.714285714285715,8.0,72.28571428571429,-19.428571428571427,0.0,0.0,18.857142857142858
4488,Montana,2020-05-10,458,16,-17.0,-5.0,1.0,62.0,-8.0,0.0,0.0,0.0,-25.857142857142858,-22.714285714285715,8.0,65.42857142857143,-19.0,0.0,0.0,16.904761904761905
4489,Montana,2020-05-11,459,16,-27.0,-12.0,8.0,34.0,-15.0,0.0,0.0,0.0,-25.857142857142858,-20.428571428571427,7.571428571428571,70.0,-17.857142857142858,0.0,0.0,19.047619047619047
4490,Montana,2020-05-12,461,16,-29.0,-14.0,10.0,29.0,-15.0,0.0,0.0,0.0,-25.857142857142858,-18.571428571428573,8.285714285714286,70.57142857142857,-17.142857142857142,0.0,0.0,20.095238095238095
4491,Montana,2020-05-13,462,16,-28.0,-10.0,9.0,56.0,-14.0,0.0,0.0,0.0,-25.571428571428573,-17.571428571428573,8.285714285714286,60.857142857142854,-16.714285714285715,0.0,0.0,17.19047619047619
4492,Montana,2020-05-14,462,16,-28.0,-8.0,8.0,97.0,-14.0,0.0,0.0,0.0,-25.285714285714285,-16.142857142857142,8.0,61.285714285714285,-16.142857142857142,0.0,0.0,17.71428571428571
4493,Montana,2020-05-15,466,16,-29.0,-14.0,10.0,43.0,-15.0,0.0,0.0,0.0,-25.285714285714285,-15.142857142857142,7.857142857142857,59.42857142857143,-15.571428571428571,0.0,0.0,17.380952380952383
4494,Montana,2020-05-16,468,16,-16.0,-13.0,2.0,107.0,-6.0,0.0,0.0,0.0,-24.857142857142858,-13.714285714285714,7.714285714285714,58.142857142857146,-14.714285714285714,0.0,0.0,17.380952380952383
4495,Montana,2020-05-17,468,16,-14.0,-6.0,1.0,97.0,-7.0,0.0,0.0,0.0,-24.428571428571427,-11.428571428571429,7.142857142857143,62.57142857142857,-13.0,0.0,0.0,19.428571428571427
4496,Montana,2020-05-18,470,16,-25.0,-3.0,6.0,85.0,-10.0,0.0,0.0,0.0,-24.142857142857142,-12.0,7.142857142857143,58.857142857142854,-12.571428571428571,0.0,0.0,18.0
4497,Montana,2020-05-19,471,16,-27.0,-4.0,7.0,90.0,-9.0,0.0,0.0,0.0,-23.857142857142858,-12.571428571428571,7.428571428571429,49.57142857142857,-12.857142857142858,0.0,0.0,14.80952380952381
4498,Montana,2020-05-20,478,16,-27.0,-3.0,8.0,63.0,-9.0,0.0,0.0,0.0,-23.714285714285715,-11.857142857142858,7.285714285714286,52.857142857142854,-12.571428571428571,0.0,0.0,16.095238095238095
4499,Montana,2020-05-21,479,16,-27.0,-2.0,8.0,76.0,-5.0,0.0,0.0,0.0,-23.571428571428573,-11.142857142857142,7.0,60.142857142857146,-12.142857142857142,0.0,0.0,18.666666666666668
4500,Montana,2020-05-22,479,16,-28.0,-7.0,7.0,96.0,-2.0,0.0,0.0,0.0,-23.428571428571427,-10.857142857142858,7.0,57.857142857142854,-12.571428571428571,0.0,0.0,18.0
4501,Montana,2020-05-23,479,16,-18.0,-13.0,3.0,68.0,-6.0,0.0,0.0,0.0,-23.714285714285715,-10.857142857142858,6.857142857142857,61.142857142857146,-12.428571428571429,0.0,0.0,19.047619047619047
4502,Montana,2020-05-24,479,16,-16.0,-2.0,0.0,144.0,0.0,0.0,0.0,0.0,-24.0,-11.0,6.857142857142857,66.14285714285714,-12.285714285714286,0.0,0.0,20.666666666666664
4503,Montana,2020-05-25,479,16,-67.0,-10.0,10.0,213.0,-9.0,0.0,0.0,0.0,-30.0,-9.714285714285714,6.571428571428571,73.42857142857143,-11.571428571428571,0.0,0.0,23.42857142857143
4504,Montana,2020-05-26,479,17,-25.0,-1.0,6.0,110.0,-8.0,1.0,0.0,0.0,-29.714285714285715,-8.285714285714286,6.142857142857143,82.14285714285714,-10.714285714285714,0.14285714285714285,0.0,26.666666666666668
4505,Montana,2020-05-27,481,17,-24.0,0.0,5.0,136.0,-4.0,0.0,1.0,0.0,-29.285714285714285,-7.285714285714286,6.0,83.14285714285714,-10.0,0.14285714285714285,0.14285714285714285,27.28571428571428
4506,Montana,2020-05-28,485,17,-24.0,2.0,5.0,142.0,-1.0,0.0,0.0,0.0,-28.857142857142858,-6.428571428571429,6.0,80.14285714285714,-8.714285714285714,0.14285714285714285,0.14285714285714285,26.57142857142857
4507,Montana,2020-05-29,493,17,-24.0,-6.0,5.0,134.0,1.0,0.0,0.0,0.0,-28.285714285714285,-5.428571428571429,5.571428571428571,87.71428571428571,-6.857142857142857,0.14285714285714285,0.14285714285714285,29.28571428571428
4508,Montana,2020-05-30,505,17,-10.0,-9.0,0.0,149.0,5.0,0.0,0.0,0.0,-27.142857142857142,-5.428571428571429,5.714285714285714,82.14285714285714,-6.857142857142857,0.14285714285714285,0.14285714285714285,27.476190476190478
4509,Montana,2020-05-31,515,17,-8.0,2.0,-1.0,108.0,10.0,0.0,0.0,1.0,-26.0,-4.857142857142857,5.571428571428571,88.85714285714286,-5.857142857142857,0.14285714285714285,0.14285714285714285,29.857142857142858
4510,Montana,2020-06-01,519,17,-21.0,8.0,3.0,121.0,1.0,0.0,0.0,0.0,-19.428571428571427,-5.857142857142857,6.142857142857143,107.14285714285714,-5.714285714285714,0.14285714285714285,0.14285714285714285,35.80952380952381
4511,Montana,2020-06-02,523,17,-23.0,7.0,4.0,149.0,3.0,0.0,0.0,0.0,-19.142857142857142,-5.428571428571429,6.0,110.0,-5.571428571428571,0.0,0.14285714285714285,36.857142857142854
4512,Montana,2020-06-03,525,17,-23.0,6.0,4.0,134.0,3.0,0.0,0.0,0.0,-19.0,-5.0,5.571428571428571,120.42857142857143,-4.857142857142857,0.0,0.0,40.333333333333336
4513,Montana,2020-06-04,539,17,-23.0,6.0,4.0,141.0,4.0,0.0,0.0,0.0,-18.857142857142858,-4.428571428571429,5.142857142857143,129.85714285714286,-4.285714285714286,0.0,0.0,43.523809523809526
4514,Montana,2020-06-05,541,18,-24.0,-1.0,4.0,139.0,5.0,1.0,0.0,0.0,-18.857142857142858,-4.285714285714286,4.857142857142857,135.28571428571428,-3.857142857142857,0.14285714285714285,0.0,45.285714285714285
4515,Montana,2020-06-06,540,18,-11.0,-6.0,2.0,70.0,3.0,0.0,1.0,0.0,-19.0,-3.7142857142857144,4.428571428571429,146.85714285714286,-2.2857142857142856,0.14285714285714285,0.14285714285714285,49.1904761904762
4516,Montana,2020-06-07,545,18,-9.0,5.0,1.0,74.0,9.0,0.0,0.0,0.0,-19.142857142857142,-3.142857142857143,4.285714285714286,141.71428571428572,-0.8571428571428571,0.14285714285714285,0.14285714285714285,47.61904761904762
