,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4604,Nebraska,2020-04-10,635,15,-45.0,-34.0,19.0,33.0,-21.0,1.0,2.0,2.0,-36.714285714285715,-34.857142857142854,14.857142857142858,49.42857142857143,-19.142857142857142,1.2857142857142858,1.2857142857142858,9.809523809523812
4605,Nebraska,2020-04-11,699,17,-29.0,-39.0,11.0,52.0,-21.0,2.0,1.0,1.0,-37.42857142857143,-34.714285714285715,14.857142857142858,53.857142857142854,-18.857142857142858,1.5714285714285714,1.2857142857142858,11.333333333333334
4606,Nebraska,2020-04-12,791,17,-43.0,-69.0,13.0,-57.0,-45.0,0.0,2.0,1.0,-39.714285714285715,-35.57142857142857,15.0,46.285714285714285,-19.857142857142858,1.2857142857142858,1.5714285714285714,8.571428571428571
4607,Nebraska,2020-04-13,814,17,-41.0,-35.0,17.0,-1.0,-27.0,0.0,0.0,2.0,-40.142857142857146,-36.0,15.142857142857142,45.142857142857146,-20.285714285714285,1.1428571428571428,1.2857142857142858,8.095238095238097
4608,Nebraska,2020-04-14,897,20,-40.0,-36.0,18.0,10.0,-21.0,3.0,0.0,2.0,-40.0,-36.285714285714285,15.285714285714286,49.285714285714285,-20.571428571428573,1.4285714285714286,1.1428571428571428,9.428571428571429
4609,Nebraska,2020-04-15,901,20,-40.0,-25.0,16.0,29.0,-16.0,0.0,3.0,1.0,-39.857142857142854,-37.142857142857146,15.428571428571429,43.142857142857146,-21.571428571428573,1.1428571428571428,1.4285714285714286,7.142857142857143
4610,Nebraska,2020-04-16,952,21,-42.0,-43.0,22.0,-28.0,-34.0,1.0,0.0,2.0,-40.0,-36.57142857142857,15.285714285714286,45.714285714285715,-21.571428571428573,1.0,1.1428571428571428,8.142857142857144
4611,Nebraska,2020-04-17,1066,24,-39.0,-33.0,20.0,-1.0,-21.0,3.0,1.0,0.0,-39.142857142857146,-35.714285714285715,15.142857142857142,53.714285714285715,-20.857142857142858,1.2857142857142858,1.0,11.047619047619046
4612,Nebraska,2020-04-18,1249,24,-21.0,-33.0,10.0,62.0,-12.0,0.0,3.0,0.0,-38.0,-35.142857142857146,14.857142857142858,59.285714285714285,-20.714285714285715,1.0,1.2857142857142858,13.0
4613,Nebraska,2020-04-19,1474,28,-25.0,-31.0,8.0,57.0,-19.0,4.0,0.0,3.0,-35.42857142857143,-39.285714285714285,15.428571428571429,43.142857142857146,-23.571428571428573,1.5714285714285714,1.0,6.428571428571431
4614,Nebraska,2020-04-20,1648,33,-38.0,-24.0,15.0,62.0,-16.0,5.0,4.0,0.0,-35.0,-39.57142857142857,15.714285714285714,32.285714285714285,-24.428571428571427,2.2857142857142856,1.5714285714285714,2.80952380952381
4615,Nebraska,2020-04-21,1685,33,-40.0,-25.0,16.0,97.0,-12.0,0.0,5.0,1.0,-35.0,-40.285714285714285,16.0,15.428571428571429,-25.285714285714285,1.8571428571428572,2.2857142857142856,-2.952380952380952
4616,Nebraska,2020-04-22,1813,38,-40.0,-25.0,15.0,76.0,-12.0,5.0,0.0,3.0,-35.0,-39.142857142857146,16.0,11.714285714285714,-24.714285714285715,2.5714285714285716,1.8571428571428572,-3.8095238095238106
4617,Nebraska,2020-04-23,2202,47,-40.0,-27.0,17.0,71.0,-12.0,9.0,5.0,0.0,-34.714285714285715,-40.142857142857146,16.571428571428573,5.428571428571429,-26.428571428571427,3.7142857142857144,2.5714285714285716,-6.047619047619048
4618,Nebraska,2020-04-24,2424,50,-41.0,-30.0,18.0,20.0,-16.0,3.0,9.0,4.0,-35.0,-40.0,16.714285714285715,0.5714285714285714,-26.428571428571427,3.7142857142857144,3.7142857142857144,-7.57142857142857
4619,Nebraska,2020-04-25,2719,50,-24.0,-33.0,10.0,68.0,-10.0,0.0,3.0,5.0,-35.42857142857143,-39.142857142857146,16.571428571428573,2.0,-25.142857142857142,3.7142857142857144,3.7142857142857144,-6.857142857142858
4620,Nebraska,2020-04-26,3030,56,-25.0,-26.0,7.0,98.0,-14.0,6.0,0.0,0.0,-35.42857142857143,-33.714285714285715,15.857142857142858,18.285714285714285,-21.428571428571427,4.0,3.7142857142857144,0.14285714285714235
4621,Nebraska,2020-04-27,3358,56,-38.0,-20.0,14.0,111.0,-10.0,0.0,6.0,5.0,-35.42857142857143,-32.142857142857146,15.571428571428571,27.285714285714285,-19.857142857142858,3.2857142857142856,4.0,3.5714285714285694
4622,Nebraska,2020-04-28,3517,56,-40.0,-24.0,10.0,66.0,-10.0,0.0,0.0,9.0,-35.42857142857143,-30.571428571428573,15.285714285714286,39.714285714285715,-18.571428571428573,3.2857142857142856,3.2857142857142856,8.142857142857144
4623,Nebraska,2020-04-29,3851,56,-40.0,-23.0,16.0,53.0,-7.0,0.0,0.0,3.0,-35.42857142857143,-30.571428571428573,15.142857142857142,46.42857142857143,-18.0,2.5714285714285716,3.2857142857142856,10.333333333333334
4624,Nebraska,2020-04-30,4281,70,-40.0,-22.0,15.0,105.0,-6.0,14.0,0.0,0.0,-35.42857142857143,-28.285714285714285,14.428571428571429,60.57142857142857,-14.857142857142858,3.2857142857142856,2.5714285714285716,15.571428571428571
4625,Nebraska,2020-05-01,5008,73,-39.0,-20.0,14.0,111.0,-2.0,3.0,14.0,6.0,-35.142857142857146,-27.857142857142858,14.142857142857142,63.57142857142857,-14.142857142857142,3.2857142857142856,3.2857142857142856,16.619047619047617
4626,Nebraska,2020-05-02,5317,73,-23.0,-29.0,9.0,75.0,-5.0,0.0,3.0,0.0,-35.0,-27.857142857142858,14.142857142857142,64.42857142857143,-13.857142857142858,3.2857142857142856,3.2857142857142856,16.904761904761905
4627,Nebraska,2020-05-03,5661,78,-21.0,-22.0,6.0,113.0,-8.0,5.0,0.0,0.0,-34.42857142857143,-27.142857142857142,14.0,70.28571428571429,-13.142857142857142,3.142857142857143,3.2857142857142856,19.04761904761905
4628,Nebraska,2020-05-04,6037,78,-37.0,-19.0,16.0,22.0,-16.0,0.0,5.0,0.0,-34.285714285714285,-26.571428571428573,13.857142857142858,77.28571428571429,-12.285714285714286,3.142857142857143,3.142857142857143,21.52380952380953
4629,Nebraska,2020-05-05,6373,78,-37.0,-15.0,15.0,69.0,-6.0,0.0,0.0,14.0,-33.857142857142854,-26.428571428571427,13.0,72.85714285714286,-12.0,3.142857142857143,3.142857142857143,19.80952380952381
4630,Nebraska,2020-05-06,6689,78,-37.0,-19.0,14.0,70.0,-7.0,0.0,0.0,3.0,-33.42857142857143,-26.142857142857142,13.142857142857142,69.57142857142857,-11.285714285714286,3.142857142857143,3.142857142857143,18.857142857142858
4631,Nebraska,2020-05-07,7334,91,-38.0,-23.0,17.0,29.0,-11.0,13.0,0.0,0.0,-33.142857142857146,-25.428571428571427,12.857142857142858,74.42857142857143,-10.428571428571429,3.0,3.142857142857143,20.61904761904762
4632,Nebraska,2020-05-08,7818,90,-36.0,-18.0,14.0,74.0,-2.0,-1.0,13.0,5.0,-32.714285714285715,-24.0,12.285714285714286,87.42857142857143,-8.428571428571429,2.4285714285714284,3.0,25.23809523809524
4633,Nebraska,2020-05-09,8093,90,-20.0,-23.0,8.0,52.0,-3.0,0.0,-1.0,0.0,-32.285714285714285,-23.428571428571427,12.142857142857142,88.42857142857143,-7.714285714285714,2.4285714285714284,2.4285714285714284,25.71428571428571
4634,Nebraska,2020-05-10,8171,90,-18.0,-15.0,5.0,57.0,-5.0,0.0,0.0,0.0,-31.857142857142858,-22.857142857142858,12.0,90.57142857142857,-6.857142857142857,1.7142857142857142,2.4285714285714284,26.57142857142857
4635,Nebraska,2020-05-11,8407,98,-35.0,-19.0,14.0,42.0,-9.0,8.0,0.0,0.0,-31.571428571428573,-22.714285714285715,12.285714285714286,77.85714285714286,-7.714285714285714,2.857142857142857,1.7142857142857142,22.476190476190478
4636,Nebraska,2020-05-12,8532,100,-36.0,-18.0,14.0,69.0,-5.0,2.0,8.0,13.0,-31.428571428571427,-21.428571428571427,13.0,78.28571428571429,-7.142857142857143,3.142857142857143,2.857142857142857,23.28571428571429
4637,Nebraska,2020-05-13,8912,103,-36.0,-20.0,15.0,22.0,-8.0,3.0,2.0,-1.0,-31.285714285714285,-20.857142857142858,12.714285714285714,80.71428571428571,-7.142857142857143,3.5714285714285716,3.142857142857143,24.19047619047619
4638,Nebraska,2020-05-14,9260,103,-37.0,-20.0,15.0,76.0,-7.0,0.0,3.0,0.0,-31.142857142857142,-21.0,13.0,69.85714285714286,-7.857142857142857,1.7142857142857142,3.5714285714285716,20.61904761904762
4639,Nebraska,2020-05-15,9610,113,-35.0,-16.0,13.0,115.0,-2.0,10.0,0.0,0.0,-31.0,-20.714285714285715,13.0,64.57142857142857,-7.857142857142857,3.2857142857142856,1.7142857142857142,18.952380952380953
4640,Nebraska,2020-05-16,10220,123,-18.0,-24.0,9.0,58.0,-5.0,10.0,10.0,8.0,-30.714285714285715,-19.857142857142858,12.857142857142858,61.285714285714285,-7.571428571428571,4.714285714285714,3.2857142857142856,18.095238095238095
4641,Nebraska,2020-05-17,10177,123,-16.0,-20.0,6.0,63.0,-8.0,0.0,10.0,2.0,-30.428571428571427,-18.857142857142858,12.714285714285714,53.285714285714285,-7.142857142857143,4.714285714285714,4.714285714285714,15.714285714285714
4642,Nebraska,2020-05-18,10625,123,-33.0,-11.0,12.0,87.0,-7.0,0.0,0.0,3.0,-30.142857142857142,-18.857142857142858,12.428571428571429,56.142857142857146,-6.142857142857143,3.5714285714285716,4.714285714285714,16.571428571428573
4643,Nebraska,2020-05-19,10854,123,-34.0,-12.0,13.0,106.0,-4.0,0.0,0.0,0.0,-29.857142857142858,-19.285714285714285,12.285714285714286,56.142857142857146,-6.0,3.2857142857142856,3.5714285714285716,16.380952380952383
4644,Nebraska,2020-05-20,11122,138,-34.0,-10.0,12.0,98.0,-2.0,15.0,0.0,10.0,-29.571428571428573,-19.428571428571427,12.428571428571429,49.285714285714285,-6.142857142857143,5.0,3.2857142857142856,14.095238095238095
4645,Nebraska,2020-05-21,11427,138,-35.0,-14.0,14.0,88.0,0.0,0.0,15.0,10.0,-29.285714285714285,-19.0,12.142857142857142,56.0,-5.571428571428571,5.0,5.0,16.38095238095238
4646,Nebraska,2020-05-22,11662,147,-36.0,-15.0,14.0,71.0,-2.0,9.0,0.0,0.0,-29.428571428571427,-18.714285714285715,12.0,61.857142857142854,-5.571428571428571,4.857142857142857,5.0,18.38095238095238
4647,Nebraska,2020-05-23,11963,147,-17.0,-21.0,4.0,181.0,7.0,0.0,9.0,0.0,-29.285714285714285,-18.857142857142858,12.142857142857142,62.714285714285715,-5.857142857142857,3.4285714285714284,4.857142857142857,18.666666666666668
4648,Nebraska,2020-05-24,12134,147,-20.0,-16.0,4.0,122.0,-3.0,0.0,0.0,0.0,-29.857142857142858,-19.571428571428573,12.285714285714286,63.57142857142857,-6.285714285714286,3.4285714285714284,3.4285714285714284,18.761904761904763
4649,Nebraska,2020-05-25,12362,147,-76.0,-19.0,23.0,75.0,-18.0,0.0,0.0,15.0,-36.0,-18.428571428571427,12.0,70.0,-6.0,3.4285714285714284,3.4285714285714284,21.19047619047619
4650,Nebraska,2020-05-26,12619,147,-34.0,-17.0,14.0,62.0,-16.0,0.0,0.0,0.0,-36.0,-17.571428571428573,11.857142857142858,75.28571428571429,-5.857142857142857,3.4285714285714284,3.4285714285714284,23.190476190476193
4651,Nebraska,2020-05-27,12984,153,-32.0,-12.0,12.0,98.0,-5.0,6.0,0.0,9.0,-35.714285714285715,-16.142857142857142,11.428571428571429,86.14285714285714,-5.0,2.142857142857143,3.4285714285714284,27.142857142857142
4652,Nebraska,2020-05-28,13249,163,-32.0,-12.0,12.0,126.0,3.0,10.0,6.0,0.0,-35.285714285714285,-15.285714285714286,11.285714285714286,87.85714285714286,-4.0,3.5714285714285716,2.142857142857143,27.952380952380953
4653,Nebraska,2020-05-29,13648,164,-31.0,-12.0,10.0,155.0,7.0,1.0,10.0,0.0,-34.57142857142857,-15.142857142857142,11.428571428571429,81.57142857142857,-4.0,2.4285714285714284,3.5714285714285716,25.952380952380953
4654,Nebraska,2020-05-30,13905,170,-7.0,-23.0,7.0,74.0,1.0,6.0,1.0,0.0,-33.142857142857146,-14.714285714285714,10.714285714285714,99.14285714285714,-2.2857142857142856,3.2857142857142856,2.4285714285714284,31.71428571428571
4655,Nebraska,2020-05-31,14101,170,-8.0,-15.0,3.0,140.0,6.0,0.0,6.0,0.0,-31.428571428571427,-14.142857142857142,10.428571428571429,107.57142857142857,-1.5714285714285714,3.2857142857142856,3.2857142857142856,34.61904761904762
4656,Nebraska,2020-06-01,14345,170,-31.0,-9.0,11.0,99.0,0.0,0.0,0.0,6.0,-25.0,-15.285714285714286,12.0,105.85714285714286,-3.142857142857143,3.2857142857142856,3.2857142857142856,34.19047619047619
4657,Nebraska,2020-06-02,14616,170,-32.0,-8.0,11.0,114.0,0.0,0.0,0.0,10.0,-24.714285714285715,-16.0,12.142857142857142,99.57142857142857,-4.857142857142857,3.2857142857142856,3.2857142857142856,31.9047619047619
4658,Nebraska,2020-06-03,14885,170,-31.0,-4.0,10.0,113.0,1.0,0.0,0.0,1.0,-24.571428571428573,-16.285714285714285,12.142857142857142,99.57142857142857,-5.285714285714286,2.4285714285714284,3.2857142857142856,31.80952380952381
4659,Nebraska,2020-06-04,15139,187,-31.0,-8.0,11.0,126.0,2.0,17.0,0.0,6.0,-24.428571428571427,-16.0,11.857142857142858,105.0,-4.857142857142857,3.4285714285714284,2.4285714285714284,33.61904761904762
4660,Nebraska,2020-06-05,15406,187,-31.0,-9.0,9.0,141.0,4.0,0.0,17.0,0.0,-24.428571428571427,-15.571428571428571,11.285714285714286,117.0,-3.5714285714285716,3.2857142857142856,3.4285714285714284,37.57142857142858
4661,Nebraska,2020-06-06,15572,187,-8.0,-16.0,3.0,162.0,7.0,0.0,0.0,0.0,-24.571428571428573,-15.857142857142858,11.714285714285714,101.71428571428571,-4.428571428571429,2.4285714285714284,3.2857142857142856,32.523809523809526
4662,Nebraska,2020-06-07,15664,187,-9.0,-9.0,2.0,133.0,4.0,0.0,0.0,0.0,-24.714285714285715,-15.714285714285714,11.571428571428571,104.28571428571429,-3.142857142857143,2.4285714285714284,2.4285714285714284,33.38095238095239
4663,Nebraska,2020-06-08,15786,188,-30.0,-4.0,9.0,121.0,1.0,1.0,0.0,0.0,-24.571428571428573,-14.285714285714286,9.857142857142858,107.71428571428571,-0.5714285714285714,2.5714285714285716,2.4285714285714284,34.42857142857142
4664,Nebraska,2020-06-09,15918,189,-31.0,-12.0,13.0,63.0,-6.0,1.0,1.0,17.0,-24.428571428571427,-13.0,9.428571428571429,115.14285714285714,1.7142857142857142,2.7142857142857144,2.5714285714285716,37.19047619047619
4665,Nebraska,2020-06-10,16058,191,-30.0,-2.0,10.0,122.0,4.0,2.0,1.0,0.0,-24.285714285714285,-11.857142857142858,9.142857142857142,117.28571428571429,2.5714285714285716,3.0,2.7142857142857144,38.1904761904762
4666,Nebraska,2020-06-11,16315,212,-31.0,-6.0,9.0,162.0,5.0,21.0,2.0,0.0,-24.285714285714285,-11.285714285714286,9.0,117.28571428571429,2.4285714285714284,3.5714285714285716,3.0,38.333333333333336
4667,Nebraska,2020-06-12,16522,215,-30.0,-7.0,8.0,178.0,9.0,3.0,21.0,0.0,-24.142857142857142,-10.857142857142858,8.857142857142858,115.28571428571429,2.0,4.0,3.5714285714285716,37.761904761904766
4668,Nebraska,2020-06-13,16640,215,-6.0,-14.0,2.0,212.0,14.0,0.0,3.0,1.0,-23.857142857142858,-9.857142857142858,8.285714285714286,127.85714285714286,2.857142857142857,4.0,4.0,42.095238095238095
4669,Nebraska,2020-06-14,16730,215,-7.0,-8.0,1.0,163.0,11.0,0.0,0.0,1.0,-23.571428571428573,-9.0,8.142857142857142,126.85714285714286,2.5714285714285716,4.0,4.0,42.0
