,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4738,Nevada,2020-03-29,920,15,-52.0,-47.0,14.0,-38.0,-62.0,5.0,0.0,0.0,-50.57142857142857,-30.0,13.571428571428571,-31.571428571428573,-38.57142857142857,1.8571428571428572,1.1428571428571428,-16.0
4739,Nevada,2020-03-30,1012,15,-51.0,-40.0,18.0,-29.0,-56.0,0.0,5.0,2.0,-51.0,-35.142857142857146,15.142857142857142,-34.857142857142854,-43.57142857142857,1.5714285714285714,1.8571428571428572,-18.28571428571429
4740,Nevada,2020-03-31,1114,26,-52.0,-37.0,19.0,-28.0,-51.0,11.0,0.0,4.0,-51.285714285714285,-39.142857142857146,16.571428571428573,-36.42857142857143,-47.57142857142857,3.142857142857143,1.5714285714285714,-19.666666666666668
4741,Nevada,2020-04-01,1279,31,-52.0,-37.0,20.0,-29.0,-50.0,5.0,11.0,0.0,-51.42857142857143,-41.142857142857146,17.428571428571427,-37.285714285714285,-50.714285714285715,3.5714285714285716,3.142857142857143,-20.333333333333332
4742,Nevada,2020-04-02,1463,38,-54.0,-40.0,21.0,-36.0,-57.0,7.0,5.0,0.0,-51.857142857142854,-42.0,18.0,-37.857142857142854,-52.285714285714285,4.0,3.5714285714285716,-20.619047619047617
4743,Nevada,2020-04-03,1514,43,-53.0,-41.0,22.0,-37.0,-57.0,5.0,7.0,5.0,-52.0,-42.714285714285715,18.285714285714285,-38.142857142857146,-53.42857142857143,4.714285714285714,4.0,-20.857142857142858
4744,Nevada,2020-04-04,1742,46,-53.0,-48.0,17.0,-53.0,-57.0,3.0,5.0,0.0,-52.42857142857143,-42.857142857142854,18.428571428571427,-39.285714285714285,-54.285714285714285,5.142857142857143,4.714285714285714,-21.238095238095237
4745,Nevada,2020-04-05,1855,46,-55.0,-49.0,15.0,-46.0,-64.0,0.0,3.0,11.0,-52.857142857142854,-43.0,18.571428571428573,-41.285714285714285,-55.0,4.428571428571429,5.142857142857143,-21.9047619047619
4746,Nevada,2020-04-06,1953,46,-54.0,-43.0,20.0,-46.0,-59.0,0.0,0.0,5.0,-53.285714285714285,-42.857142857142854,18.571428571428573,-40.142857142857146,-55.285714285714285,4.428571428571429,4.428571428571429,-21.476190476190478
4747,Nevada,2020-04-07,2124,72,-55.0,-42.0,21.0,-41.0,-55.0,26.0,0.0,7.0,-53.714285714285715,-42.42857142857143,18.571428571428573,-39.0,-55.285714285714285,6.571428571428571,4.428571428571429,-20.952380952380953
4748,Nevada,2020-04-08,2259,72,-55.0,-43.0,21.0,-42.0,-54.0,0.0,26.0,5.0,-54.142857142857146,-41.857142857142854,18.571428571428573,-37.142857142857146,-55.142857142857146,5.857142857142857,6.571428571428571,-20.142857142857142
4749,Nevada,2020-04-09,2456,81,-56.0,-43.0,22.0,-45.0,-57.0,9.0,0.0,3.0,-54.42857142857143,-41.57142857142857,18.571428571428573,-36.142857142857146,-55.285714285714285,6.142857142857143,5.857142857142857,-19.71428571428571
4750,Nevada,2020-04-10,2722,90,-56.0,-44.0,24.0,-44.0,-59.0,9.0,9.0,0.0,-54.857142857142854,-41.285714285714285,18.571428571428573,-35.142857142857146,-55.285714285714285,6.714285714285714,6.142857142857143,-19.28571428571429
4751,Nevada,2020-04-11,2702,102,-53.0,-45.0,16.0,-43.0,-55.0,12.0,9.0,0.0,-54.857142857142854,-41.42857142857143,18.714285714285715,-35.714285714285715,-55.714285714285715,8.0,6.714285714285714,-19.476190476190478
4752,Nevada,2020-04-12,2836,112,-56.0,-61.0,14.0,-48.0,-64.0,10.0,12.0,26.0,-55.0,-41.714285714285715,18.857142857142858,-36.857142857142854,-56.0,9.428571428571429,8.0,-19.9047619047619
4753,Nevada,2020-04-13,2990,114,-52.0,-46.0,20.0,-37.0,-56.0,2.0,10.0,0.0,-54.714285714285715,-42.142857142857146,19.142857142857142,-39.285714285714285,-56.42857142857143,9.714285714285714,9.428571428571429,-20.761904761904763
4754,Nevada,2020-04-14,3134,126,-53.0,-44.0,20.0,-34.0,-51.0,12.0,2.0,9.0,-54.42857142857143,-42.857142857142854,19.428571428571427,-41.142857142857146,-57.0,7.714285714285714,9.714285714285714,-21.523809523809522
4755,Nevada,2020-04-15,3211,131,-53.0,-38.0,20.0,-31.0,-48.0,5.0,12.0,9.0,-54.142857142857146,-43.714285714285715,19.571428571428573,-43.0,-57.57142857142857,8.428571428571429,7.714285714285714,-22.38095238095238
4756,Nevada,2020-04-16,3214,137,-53.0,-40.0,20.0,-36.0,-54.0,6.0,5.0,12.0,-53.714285714285715,-44.142857142857146,19.714285714285715,-44.285714285714285,-57.57142857142857,8.0,8.428571428571429,-22.90476190476191
4757,Nevada,2020-04-17,3524,142,-53.0,-44.0,22.0,-42.0,-55.0,5.0,6.0,10.0,-53.285714285714285,-44.57142857142857,20.0,-45.285714285714285,-57.857142857142854,7.428571428571429,8.0,-23.28571428571429
4758,Nevada,2020-04-18,3626,151,-51.0,-47.0,16.0,-51.0,-53.0,9.0,5.0,2.0,-53.0,-44.142857142857146,19.857142857142858,-43.857142857142854,-57.57142857142857,7.0,7.428571428571429,-22.71428571428571
4759,Nevada,2020-04-19,3728,158,-52.0,-46.0,13.0,-33.0,-60.0,7.0,9.0,12.0,-52.42857142857143,-45.857142857142854,19.714285714285715,-44.142857142857146,-57.57142857142857,6.571428571428571,7.0,-23.428571428571427
4760,Nevada,2020-04-20,3830,159,-51.0,-42.0,19.0,-38.0,-54.0,1.0,7.0,5.0,-52.285714285714285,-46.285714285714285,19.714285714285715,-42.857142857142854,-57.142857142857146,6.428571428571429,6.571428571428571,-23.14285714285714
4761,Nevada,2020-04-21,3937,163,-52.0,-39.0,20.0,-32.0,-50.0,4.0,1.0,6.0,-52.142857142857146,-46.57142857142857,19.571428571428573,-41.857142857142854,-56.57142857142857,5.285714285714286,6.428571428571429,-22.95238095238095
4762,Nevada,2020-04-22,4081,172,-52.0,-39.0,20.0,-29.0,-48.0,9.0,4.0,5.0,-52.0,-45.857142857142854,19.428571428571427,-40.285714285714285,-55.714285714285715,5.857142857142857,5.285714285714286,-22.238095238095237
4763,Nevada,2020-04-23,4208,195,-53.0,-41.0,20.0,-35.0,-53.0,23.0,9.0,9.0,-52.0,-45.42857142857143,19.142857142857142,-39.0,-55.285714285714285,8.285714285714286,5.857142857142857,-21.761904761904763
4764,Nevada,2020-04-24,4398,197,-53.0,-42.0,21.0,-37.0,-53.0,2.0,23.0,7.0,-52.0,-45.42857142857143,18.857142857142858,-38.714285714285715,-54.714285714285715,7.857142857142857,8.285714285714286,-21.761904761904763
4765,Nevada,2020-04-25,4539,205,-50.0,-45.0,15.0,-44.0,-51.0,8.0,2.0,1.0,-51.857142857142854,-45.714285714285715,18.857142857142858,-39.857142857142854,-54.42857142857143,7.714285714285714,7.857142857142857,-22.238095238095237
4766,Nevada,2020-04-26,4734,206,-52.0,-44.0,12.0,-28.0,-58.0,1.0,8.0,4.0,-51.857142857142854,-43.57142857142857,18.714285714285715,-37.714285714285715,-53.857142857142854,6.857142857142857,7.714285714285714,-20.857142857142858
