,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
4891,New Hampshire,2020-04-05,621,9,-37.0,-48.0,11.0,15.0,-57.0,2.0,2.0,0.0,-44.285714285714285,-42.57142857142857,17.571428571428573,5.142857142857143,-43.57142857142857,1.0,0.7142857142857143,-6.619047619047618
4892,New Hampshire,2020-04-06,715,9,-48.0,-36.0,19.0,74.0,-46.0,0.0,2.0,0.0,-44.57142857142857,-43.285714285714285,18.0,4.0,-45.285714285714285,0.8571428571428571,1.0,-7.095238095238095
4893,New Hampshire,2020-04-07,715,9,-49.0,-38.0,20.0,63.0,-42.0,0.0,0.0,0.0,-44.857142857142854,-42.857142857142854,17.857142857142858,9.285714285714286,-46.0,0.8571428571428571,0.8571428571428571,-5.238095238095236
4894,New Hampshire,2020-04-08,747,13,-50.0,-40.0,22.0,17.0,-46.0,4.0,0.0,2.0,-45.142857142857146,-43.0,18.0,11.285714285714286,-46.714285714285715,1.4285714285714286,0.8571428571428571,-4.571428571428571
4895,New Hampshire,2020-04-09,819,21,-50.0,-47.0,24.0,-31.0,-53.0,8.0,4.0,2.0,-45.42857142857143,-44.42857142857143,18.571428571428573,-1.2857142857142858,-48.714285714285715,2.5714285714285716,1.4285714285714286,-9.047619047619047
4896,New Hampshire,2020-04-10,819,21,-51.0,-43.0,25.0,-20.0,-58.0,0.0,8.0,2.0,-45.857142857142854,-45.857142857142854,19.285714285714285,-13.142857142857142,-50.285714285714285,2.2857142857142856,2.5714285714285716,-13.238095238095235
4897,New Hampshire,2020-04-11,885,22,-37.0,-42.0,13.0,4.0,-51.0,1.0,0.0,0.0,-46.0,-45.42857142857143,19.428571428571427,-14.142857142857142,-50.285714285714285,2.142857142857143,2.2857142857142856,-13.380952380952381
4898,New Hampshire,2020-04-12,929,23,-46.0,-65.0,12.0,25.0,-61.0,1.0,1.0,0.0,-47.285714285714285,-44.0,19.142857142857142,-3.0,-49.42857142857143,2.0,2.142857142857143,-9.285714285714286
4899,New Hampshire,2020-04-13,985,23,-50.0,-46.0,22.0,-40.0,-59.0,0.0,1.0,4.0,-47.57142857142857,-43.0,19.0,11.285714285714286,-48.857142857142854,2.0,2.0,-4.238095238095238
4900,New Hampshire,2020-04-14,922,25,-48.0,-35.0,20.0,54.0,-44.0,2.0,0.0,8.0,-47.42857142857143,-42.857142857142854,19.0,16.0,-49.0,2.2857142857142856,2.0,-2.619047619047618
