,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
5024,New Jersey,2020-03-23,2844,27,-55.0,-56.0,26.0,-55.0,-67.0,7.0,4.0,2.0,-40.57142857142857,-2.2857142857142856,4.428571428571429,45.0,-17.714285714285715,3.5714285714285716,2.5714285714285716,15.714285714285715
5025,New Jersey,2020-03-24,3675,44,-55.0,-46.0,24.0,32.0,-60.0,17.0,7.0,4.0,-43.42857142857143,-6.857142857142857,6.571428571428571,41.42857142857143,-22.571428571428573,5.857142857142857,3.5714285714285716,13.714285714285715
5026,New Jersey,2020-03-25,4402,62,-57.0,-51.0,27.0,-32.0,-65.0,18.0,17.0,2.0,-46.0,-12.0,8.857142857142858,41.142857142857146,-27.571428571428573,8.142857142857142,5.857142857142857,12.666666666666666
5027,New Jersey,2020-03-26,6876,81,-57.0,-46.0,26.0,52.0,-62.0,19.0,18.0,5.0,-48.0,-17.714285714285715,11.428571428571429,38.42857142857143,-32.714285714285715,10.285714285714286,8.142857142857142,10.714285714285715
5028,New Jersey,2020-03-27,8825,108,-56.0,-48.0,27.0,42.0,-63.0,27.0,19.0,4.0,-49.714285714285715,-22.571428571428573,13.571428571428571,40.142857142857146,-36.857142857142854,13.857142857142858,10.285714285714286,10.380952380952381
5029,New Jersey,2020-03-28,11124,140,-44.0,-59.0,19.0,-47.0,-67.0,32.0,27.0,7.0,-51.714285714285715,-27.571428571428573,15.0,35.0,-41.42857142857143,17.714285714285715,13.857142857142858,7.476190476190475
5030,New Jersey,2020-03-29,13386,161,-44.0,-59.0,16.0,-36.0,-70.0,21.0,32.0,17.0,-52.57142857142857,-33.714285714285715,16.428571428571427,23.285714285714285,-46.714285714285715,20.142857142857142,17.714285714285715,1.999999999999999
5031,New Jersey,2020-03-30,16636,198,-58.0,-49.0,26.0,-11.0,-66.0,37.0,21.0,18.0,-53.0,-40.285714285714285,18.571428571428573,14.142857142857142,-51.285714285714285,24.428571428571427,20.142857142857142,-2.5238095238095233
5032,New Jersey,2020-03-31,18696,267,-60.0,-49.0,27.0,-21.0,-67.0,69.0,37.0,19.0,-53.714285714285715,-43.0,19.714285714285715,17.428571428571427,-54.0,31.857142857142858,24.428571428571427,-1.9523809523809526
5033,New Jersey,2020-04-01,22255,355,-60.0,-47.0,27.0,13.0,-65.0,88.0,69.0,27.0,-54.142857142857146,-46.0,21.142857142857142,6.285714285714286,-57.142857142857146,41.857142857142854,31.857142857142858,-6.190476190476191
5034,New Jersey,2020-04-02,25590,537,-61.0,-51.0,28.0,3.0,-67.0,182.0,88.0,32.0,-54.714285714285715,-47.57142857142857,21.857142857142858,13.714285714285714,-58.857142857142854,65.14285714285714,41.857142857142854,-3.9999999999999996
5035,New Jersey,2020-04-03,29895,646,-60.0,-62.0,30.0,-30.0,-67.0,109.0,182.0,21.0,-55.285714285714285,-49.42857142857143,22.714285714285715,12.428571428571429,-60.857142857142854,76.85714285714286,65.14285714285714,-4.761904761904762
5036,New Jersey,2020-04-04,34124,846,-45.0,-64.0,18.0,21.0,-62.0,200.0,109.0,37.0,-55.42857142857143,-51.857142857142854,23.428571428571427,-1.5714285714285714,-63.57142857142857,100.85714285714286,76.85714285714286,-10.0
5037,New Jersey,2020-04-05,37505,917,-45.0,-66.0,16.0,26.0,-67.0,71.0,200.0,69.0,-55.57142857142857,-52.142857142857146,23.571428571428573,-6.285714285714286,-64.85714285714286,108.0,100.85714285714286,-11.61904761904762
5038,New Jersey,2020-04-06,41090,1003,-61.0,-58.0,26.0,38.0,-65.0,86.0,71.0,88.0,-56.0,-51.142857142857146,23.571428571428573,0.0,-64.71428571428571,115.0,108.0,-9.190476190476192
5039,New Jersey,2020-04-07,44416,1232,-62.0,-57.0,27.0,22.0,-66.0,229.0,86.0,182.0,-56.285714285714285,-51.57142857142857,24.0,-7.571428571428571,-65.71428571428571,137.85714285714286,115.0,-11.714285714285714
5040,New Jersey,2020-04-08,47437,1504,-63.0,-58.0,28.0,-10.0,-67.0,272.0,229.0,109.0,-56.714285714285715,-51.0,24.0,-1.1428571428571428,-65.71428571428571,164.14285714285714,137.85714285714286,-9.380952380952381
5041,New Jersey,2020-04-09,51027,1709,-64.0,-61.0,30.0,-34.0,-70.0,205.0,272.0,200.0,-57.142857142857146,-51.714285714285715,24.285714285714285,-8.142857142857142,-66.42857142857143,167.42857142857142,164.14285714285714,-11.857142857142856
5042,New Jersey,2020-04-10,54588,1932,-68.0,-62.0,33.0,-43.0,-72.0,223.0,205.0,71.0,-58.285714285714285,-53.714285714285715,24.714285714285715,-18.428571428571427,-67.0,183.71428571428572,167.42857142857142,-15.80952380952381
5043,New Jersey,2020-04-11,58151,2183,-47.0,-61.0,18.0,-12.0,-65.0,251.0,223.0,86.0,-58.57142857142857,-54.42857142857143,24.571428571428573,-8.714285714285714,-66.28571428571429,191.0,183.71428571428572,-12.857142857142856
5044,New Jersey,2020-04-12,61850,2350,-52.0,-76.0,16.0,-19.0,-72.0,167.0,251.0,229.0,-59.57142857142857,-55.42857142857143,24.571428571428573,0.14285714285714285,-65.85714285714286,204.71428571428572,191.0,-10.238095238095239
5045,New Jersey,2020-04-13,64584,2443,-64.0,-70.0,30.0,-54.0,-76.0,93.0,167.0,272.0,-60.0,-56.714285714285715,24.571428571428573,7.142857142857143,-65.71428571428571,205.71428571428572,204.71428571428572,-8.333333333333332
5046,New Jersey,2020-04-14,68824,2805,-61.0,-58.0,27.0,-12.0,-67.0,362.0,93.0,205.0,-59.857142857142854,-57.857142857142854,24.571428571428573,13.285714285714286,-65.57142857142857,224.71428571428572,205.71428571428572,-6.666666666666664
