,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
5185,New Mexico,2020-04-07,794,13,-47.0,-36.0,18.0,2.0,-26.0,1.0,0.0,1.0,-42.57142857142857,-41.0,16.285714285714285,-13.428571428571429,-27.714285714285715,1.2857142857142858,1.4285714285714286,-12.714285714285715
5186,New Mexico,2020-04-08,821,13,-47.0,-37.0,18.0,0.0,-28.0,0.0,1.0,4.0,-42.714285714285715,-39.857142857142854,16.285714285714285,-13.0,-27.857142857142858,1.1428571428571428,1.2857142857142858,-12.19047619047619
5187,New Mexico,2020-04-09,865,16,-48.0,-36.0,19.0,1.0,-31.0,3.0,0.0,1.0,-42.857142857142854,-38.857142857142854,16.285714285714285,-10.142857142857142,-27.857142857142858,1.4285714285714286,1.1428571428571428,-10.904761904761903
5188,New Mexico,2020-04-10,1081,17,-51.0,-39.0,20.0,-11.0,-35.0,1.0,3.0,1.0,-43.857142857142854,-37.714285714285715,16.142857142857142,-7.285714285714286,-27.428571428571427,1.0,1.4285714285714286,-9.619047619047619
5189,New Mexico,2020-04-11,1091,19,-36.0,-46.0,14.0,-22.0,-36.0,2.0,1.0,0.0,-44.142857142857146,-37.285714285714285,16.0,-5.857142857142857,-27.714285714285715,1.1428571428571428,1.0,-9.047619047619047
5190,New Mexico,2020-04-12,1245,26,-40.0,-60.0,11.0,-39.0,-42.0,7.0,2.0,1.0,-44.857142857142854,-36.857142857142854,15.857142857142858,-5.142857142857143,-28.0,2.0,1.1428571428571428,-8.714285714285714
5191,New Mexico,2020-04-13,1262,26,-49.0,-44.0,19.0,-42.0,-40.0,0.0,7.0,0.0,-45.42857142857143,-36.42857142857143,15.857142857142858,-3.7142857142857144,-28.0,2.0,2.0,-8.095238095238097
5192,New Mexico,2020-04-14,1345,31,-46.0,-37.0,19.0,-19.0,-30.0,5.0,0.0,3.0,-45.285714285714285,-36.714285714285715,16.0,-4.428571428571429,-28.571428571428573,2.5714285714285716,2.0,-8.380952380952381
5193,New Mexico,2020-04-15,1484,36,-45.0,-28.0,17.0,-9.0,-26.0,5.0,5.0,1.0,-45.0,-37.285714285714285,16.0,-4.0,-29.142857142857142,3.2857142857142856,2.5714285714285716,-8.428571428571429
5194,New Mexico,2020-04-16,1484,36,-46.0,-31.0,18.0,-2.0,-26.0,0.0,5.0,2.0,-44.714285714285715,-37.57142857142857,16.0,-4.142857142857143,-29.857142857142858,2.857142857142857,3.2857142857142856,-8.571428571428571
5195,New Mexico,2020-04-17,1597,44,-43.0,-35.0,18.0,-10.0,-30.0,8.0,0.0,7.0,-43.57142857142857,-38.142857142857146,16.285714285714285,-4.571428571428571,-30.571428571428573,3.857142857142857,2.857142857142857,-8.80952380952381
5196,New Mexico,2020-04-18,1798,53,-32.0,-42.0,13.0,-22.0,-31.0,9.0,8.0,0.0,-43.0,-38.42857142857143,16.428571428571427,-5.142857142857143,-31.285714285714285,4.857142857142857,3.857142857142857,-9.04761904761905
5197,New Mexico,2020-04-19,1845,55,-32.0,-37.0,10.0,-10.0,-34.0,2.0,9.0,5.0,-41.857142857142854,-41.142857142857146,16.571428571428573,-9.714285714285714,-32.57142857142857,4.142857142857143,4.857142857142857,-11.428571428571429
5198,New Mexico,2020-04-20,1971,58,-45.0,-30.0,16.0,1.0,-30.0,3.0,2.0,5.0,-41.285714285714285,-42.57142857142857,17.0,-15.857142857142858,-34.0,4.571428571428571,4.142857142857143,-13.80952380952381
5199,New Mexico,2020-04-21,1971,58,-45.0,-30.0,17.0,-3.0,-26.0,0.0,3.0,0.0,-41.142857142857146,-42.714285714285715,17.142857142857142,-18.857142857142858,-34.57142857142857,3.857142857142857,4.571428571428571,-14.80952380952381
5200,New Mexico,2020-04-22,2210,71,-45.0,-31.0,18.0,-6.0,-26.0,13.0,0.0,8.0,-41.142857142857146,-41.42857142857143,17.0,-20.142857142857142,-34.285714285714285,5.0,3.857142857142857,-14.857142857142856
