,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
5318,New York,2020-03-25,30841,659,-57.0,-56.0,26.0,-38.0,-66.0,147.0,125.0,55.0,-45.57142857142857,-15.285714285714286,7.857142857142857,5.142857142857143,-28.428571428571427,85.14285714285714,67.71428571428571,-0.7619047619047622
5319,New York,2020-03-26,37877,902,-57.0,-52.0,25.0,1.0,-64.0,243.0,147.0,44.0,-48.0,-21.0,10.142857142857142,2.0,-33.714285714285715,115.14285714285714,85.14285714285714,-2.9523809523809526
5320,New York,2020-03-27,44876,1211,-57.0,-54.0,27.0,-7.0,-64.0,309.0,243.0,91.0,-50.0,-25.857142857142858,12.285714285714286,0.5714285714285714,-38.142857142857146,151.42857142857142,115.14285714285714,-4.333333333333333
5321,New York,2020-03-28,52410,1588,-45.0,-61.0,18.0,-52.0,-67.0,377.0,309.0,101.0,-52.142857142857146,-31.142857142857142,13.571428571428571,-2.4285714285714284,-42.42857142857143,199.0,151.42857142857142,-6.666666666666665
5322,New York,2020-03-29,59648,2016,-46.0,-62.0,16.0,-47.0,-68.0,428.0,377.0,125.0,-53.57142857142857,-36.857142857142854,14.857142857142858,-8.571428571428571,-47.285714285714285,247.14285714285714,199.0,-10.19047619047619
5323,New York,2020-03-30,66663,2556,-60.0,-55.0,26.0,-40.0,-69.0,540.0,428.0,147.0,-54.0,-43.57142857142857,17.142857142857142,-16.285714285714285,-52.0,309.85714285714283,247.14285714285714,-14.238095238095235
5324,New York,2020-03-31,75833,3207,-61.0,-55.0,26.0,-36.0,-69.0,651.0,540.0,243.0,-54.714285714285715,-46.714285714285715,18.714285714285715,-16.285714285714285,-55.0,385.0,309.85714285714283,-14.761904761904761
5325,New York,2020-04-01,83948,3917,-61.0,-52.0,26.0,-13.0,-67.0,710.0,651.0,309.0,-55.285714285714285,-50.0,20.142857142857142,-22.714285714285715,-58.142857142857146,465.42857142857144,385.0,-17.523809523809522
5326,New York,2020-04-02,92506,4730,-62.0,-54.0,27.0,-26.0,-69.0,813.0,710.0,377.0,-56.0,-51.857142857142854,21.142857142857142,-20.285714285714285,-60.142857142857146,546.8571428571429,465.42857142857144,-17.0
5327,New York,2020-04-03,102987,5418,-62.0,-57.0,30.0,-56.0,-70.0,688.0,813.0,428.0,-56.714285714285715,-53.857142857142854,22.142857142857142,-20.0,-62.142857142857146,601.0,546.8571428571429,-17.238095238095237
5328,New York,2020-04-04,113833,5991,-47.0,-58.0,18.0,-5.0,-65.0,573.0,688.0,540.0,-57.0,-56.0,22.857142857142858,-27.285714285714285,-64.57142857142857,629.0,601.0,-20.142857142857142
5329,New York,2020-04-05,123160,6785,-47.0,-59.0,15.0,-11.0,-68.0,794.0,573.0,651.0,-57.142857142857146,-57.142857142857146,23.285714285714285,-31.857142857142858,-65.85714285714286,681.2857142857143,629.0,-21.90476190476191
5330,New York,2020-04-06,131815,7809,-62.0,-53.0,26.0,-3.0,-69.0,1024.0,794.0,710.0,-57.42857142857143,-56.142857142857146,23.285714285714285,-28.428571428571427,-65.85714285714286,750.4285714285714,681.2857142857143,-20.42857142857143
5331,New York,2020-04-07,139875,8886,-63.0,-60.0,26.0,-6.0,-69.0,1077.0,1024.0,813.0,-57.714285714285715,-56.42857142857143,23.428571428571427,-31.285714285714285,-66.71428571428571,811.2857142857143,750.4285714285714,-21.428571428571427
5332,New York,2020-04-08,151061,9834,-63.0,-62.0,27.0,-23.0,-70.0,948.0,1077.0,688.0,-58.0,-55.857142857142854,23.428571428571427,-27.714285714285715,-66.85714285714286,845.2857142857143,811.2857142857143,-20.047619047619047
5333,New York,2020-04-09,161779,10778,-65.0,-65.0,29.0,-46.0,-73.0,944.0,948.0,573.0,-58.42857142857143,-56.142857142857146,23.714285714285715,-31.571428571428573,-67.57142857142857,864.0,845.2857142857143,-21.333333333333332
5334,New York,2020-04-10,172348,11605,-66.0,-65.0,32.0,-53.0,-72.0,827.0,944.0,794.0,-59.0,-56.57142857142857,24.142857142857142,-38.57142857142857,-68.42857142857143,883.8571428571429,864.0,-23.666666666666668
5335,New York,2020-04-11,181026,12498,-48.0,-62.0,18.0,-12.0,-65.0,893.0,827.0,1024.0,-59.142857142857146,-56.142857142857146,24.142857142857142,-31.857142857142858,-68.14285714285714,929.5714285714286,883.8571428571429,-21.28571428571429
5336,New York,2020-04-12,189033,13442,-51.0,-75.0,15.0,-10.0,-68.0,944.0,893.0,1077.0,-59.714285714285715,-55.714285714285715,24.0,-26.714285714285715,-68.14285714285714,951.0,929.5714285714286,-19.476190476190478
5337,New York,2020-04-13,195749,14390,-64.0,-70.0,29.0,-59.0,-76.0,948.0,944.0,948.0,-60.0,-55.42857142857143,24.0,-21.428571428571427,-68.14285714285714,940.1428571428571,951.0,-17.61904761904762
5338,New York,2020-04-14,203020,15261,-61.0,-60.0,26.0,-15.0,-68.0,871.0,948.0,944.0,-59.714285714285715,-56.142857142857146,24.0,-17.142857142857142,-68.14285714285714,910.7142857142857,940.1428571428571,-16.42857142857143
5339,New York,2020-04-15,214454,16013,-61.0,-59.0,27.0,-25.0,-69.0,752.0,871.0,827.0,-59.42857142857143,-57.57142857142857,24.142857142857142,-18.571428571428573,-68.57142857142857,882.7142857142857,910.7142857142857,-17.333333333333332
5340,New York,2020-04-16,223691,16729,-61.0,-61.0,27.0,-35.0,-70.0,716.0,752.0,893.0,-58.857142857142854,-59.142857142857146,24.428571428571427,-21.428571428571427,-69.14285714285714,850.1428571428571,882.7142857142857,-18.71428571428572
5341,New York,2020-04-17,230597,17755,-60.0,-62.0,29.0,-43.0,-68.0,1026.0,716.0,944.0,-58.0,-60.285714285714285,24.714285714285715,-21.0,-69.42857142857143,878.5714285714286,850.1428571428571,-18.857142857142858
5342,New York,2020-04-18,237474,18760,-45.0,-65.0,18.0,-40.0,-67.0,1005.0,1026.0,948.0,-57.57142857142857,-60.857142857142854,24.714285714285715,-22.0,-69.42857142857143,894.5714285714286,878.5714285714286,-19.38095238095238
5343,New York,2020-04-19,243382,18582,-43.0,-62.0,14.0,11.0,-64.0,-178.0,1005.0,871.0,-56.42857142857143,-63.142857142857146,24.714285714285715,-21.857142857142858,-69.42857142857143,734.2857142857143,894.5714285714286,-20.0952380952381
5344,New York,2020-04-20,248416,19176,-59.0,-59.0,25.0,-19.0,-68.0,594.0,-178.0,752.0,-55.714285714285715,-65.57142857142857,25.142857142857142,-29.857142857142858,-70.42857142857143,683.7142857142857,734.2857142857143,-23.42857142857143
5345,New York,2020-04-21,253519,19746,-60.0,-63.0,27.0,-43.0,-71.0,570.0,594.0,716.0,-55.57142857142857,-65.57142857142857,25.142857142857142,-31.142857142857142,-70.28571428571429,640.7142857142857,683.7142857142857,-23.857142857142858
5346,New York,2020-04-22,258222,20203,-59.0,-60.0,26.0,-28.0,-68.0,457.0,570.0,1026.0,-55.285714285714285,-65.14285714285714,25.142857142857142,-31.428571428571427,-70.14285714285714,598.5714285714286,640.7142857142857,-23.80952380952381
5347,New York,2020-04-23,263460,20743,-59.0,-60.0,26.0,-32.0,-69.0,540.0,457.0,1005.0,-55.0,-64.57142857142857,24.857142857142858,-29.857142857142858,-69.71428571428571,573.4285714285714,598.5714285714286,-23.19047619047619
5348,New York,2020-04-24,271590,20955,-59.0,-63.0,29.0,-50.0,-70.0,212.0,540.0,-178.0,-54.857142857142854,-64.14285714285714,24.428571428571427,-28.428571428571427,-69.14285714285714,457.14285714285717,573.4285714285714,-22.71428571428571
5349,New York,2020-04-25,282143,22009,-41.0,-57.0,14.0,45.0,-58.0,1054.0,212.0,594.0,-54.285714285714285,-64.57142857142857,24.428571428571427,-32.42857142857143,-69.42857142857143,464.14285714285717,457.14285714285717,-24.19047619047619
5350,New York,2020-04-26,288045,22269,-44.0,-66.0,15.0,-58.0,-70.0,260.0,1054.0,570.0,-54.42857142857143,-62.714285714285715,24.285714285714285,-29.428571428571427,-68.85714285714286,526.7142857142857,464.14285714285717,-22.61904761904762
5351,New York,2020-04-27,291996,22668,-58.0,-59.0,25.0,-37.0,-68.0,399.0,260.0,457.0,-54.285714285714285,-61.142857142857146,23.714285714285715,-23.714285714285715,-67.71428571428571,498.85714285714283,526.7142857142857,-20.380952380952383
5352,New York,2020-04-28,295106,22912,-57.0,-54.0,18.0,22.0,-64.0,244.0,399.0,540.0,-53.857142857142854,-61.57142857142857,23.857142857142858,-27.714285714285715,-68.14285714285714,452.2857142857143,498.85714285714283,-21.809523809523807
5353,New York,2020-04-29,299691,23477,-58.0,-56.0,25.0,-27.0,-67.0,565.0,244.0,212.0,-53.714285714285715,-61.714285714285715,23.714285714285715,-28.142857142857142,-68.0,467.7142857142857,452.2857142857143,-22.047619047619047
5354,New York,2020-04-30,304372,23587,-58.0,-58.0,26.0,-45.0,-69.0,110.0,565.0,1054.0,-53.57142857142857,-61.57142857142857,23.571428571428573,-27.714285714285715,-67.85714285714286,406.2857142857143,467.7142857142857,-21.90476190476191
5355,New York,2020-05-01,308314,24039,-56.0,-55.0,26.0,-28.0,-64.0,452.0,110.0,260.0,-53.142857142857146,-61.714285714285715,23.571428571428573,-28.714285714285715,-68.14285714285714,440.57142857142856,406.2857142857143,-22.28571428571429
5356,New York,2020-05-02,312977,24198,-38.0,-51.0,13.0,63.0,-54.0,159.0,452.0,399.0,-52.714285714285715,-60.57142857142857,23.0,-16.571428571428573,-66.85714285714286,312.7142857142857,440.57142857142856,-18.047619047619047
5357,New York,2020-05-03,316415,24708,-36.0,-50.0,10.0,71.0,-57.0,510.0,159.0,244.0,-51.57142857142857,-61.142857142857146,23.142857142857142,-26.428571428571427,-67.71428571428571,348.42857142857144,312.7142857142857,-21.476190476190478
5358,New York,2020-05-04,318953,24999,-55.0,-51.0,23.0,-11.0,-64.0,291.0,510.0,565.0,-51.142857142857146,-61.142857142857146,23.142857142857142,-29.0,-67.71428571428571,333.0,348.42857142857144,-22.333333333333332
5359,New York,2020-05-05,321192,25124,-55.0,-49.0,22.0,4.0,-63.0,125.0,291.0,110.0,-50.857142857142854,-59.857142857142854,21.857142857142858,-19.714285714285715,-66.71428571428571,316.0,333.0,-19.238095238095237
5360,New York,2020-05-06,323978,25623,-55.0,-54.0,24.0,-30.0,-65.0,499.0,125.0,452.0,-50.42857142857143,-59.285714285714285,21.714285714285715,-19.571428571428573,-66.57142857142857,306.57142857142856,316.0,-19.047619047619047
5361,New York,2020-05-07,327469,26144,-55.0,-50.0,22.0,16.0,-62.0,521.0,499.0,159.0,-50.0,-59.0,21.714285714285715,-21.428571428571427,-66.57142857142857,365.2857142857143,306.57142857142856,-19.57142857142857
5362,New York,2020-05-08,330407,26243,-54.0,-55.0,25.0,-40.0,-65.0,99.0,521.0,510.0,-49.714285714285715,-57.857142857142854,21.285714285714285,-18.285714285714285,-65.71428571428571,314.85714285714283,365.2857142857143,-18.285714285714285
5363,New York,2020-05-09,333122,26612,-37.0,-53.0,15.0,-29.0,-59.0,369.0,99.0,291.0,-49.57142857142857,-57.0,21.142857142857142,-15.714285714285714,-65.14285714285714,344.85714285714283,314.85714285714283,-17.190476190476193
5364,New York,2020-05-10,335395,26641,-33.0,-50.0,10.0,22.0,-56.0,29.0,369.0,125.0,-49.142857142857146,-54.714285714285715,20.428571428571427,2.7142857142857144,-63.285714285714285,276.14285714285717,344.85714285714283,-10.523809523809526
5365,New York,2020-05-11,337055,26988,-54.0,-55.0,23.0,-31.0,-66.0,347.0,29.0,499.0,-49.0,-53.57142857142857,20.142857142857142,6.428571428571429,-62.714285714285715,284.14285714285717,276.14285714285717,-9.0
5366,New York,2020-05-12,338485,27284,-53.0,-50.0,22.0,0.0,-62.0,296.0,347.0,521.0,-48.714285714285715,-52.857142857142854,20.714285714285715,3.857142857142857,-62.57142857142857,308.57142857142856,284.14285714285717,-9.428571428571427
5367,New York,2020-05-13,340661,27477,-53.0,-48.0,22.0,18.0,-61.0,193.0,296.0,99.0,-48.42857142857143,-52.57142857142857,20.571428571428573,3.4285714285714284,-62.285714285714285,264.85714285714283,308.57142857142856,-9.523809523809524
5368,New York,2020-05-14,343051,27641,-53.0,-49.0,22.0,15.0,-61.0,164.0,193.0,369.0,-48.142857142857146,-51.42857142857143,20.0,12.142857142857142,-61.285714285714285,213.85714285714286,264.85714285714283,-6.42857142857143
5369,New York,2020-05-15,345813,27878,-52.0,-50.0,23.0,12.0,-59.0,237.0,164.0,29.0,-47.857142857142854,-51.42857142857143,19.857142857142858,10.428571428571429,-61.42857142857143,233.57142857142858,213.85714285714286,-7.047619047619048
5370,New York,2020-05-16,348232,28049,-33.0,-47.0,11.0,73.0,-52.0,171.0,237.0,347.0,-47.285714285714285,-51.714285714285715,20.142857142857142,-2.7142857142857144,-62.142857142857146,205.28571428571428,233.57142857142858,-11.428571428571429
5371,New York,2020-05-17,350121,28232,-31.0,-47.0,10.0,54.0,-56.0,183.0,171.0,296.0,-47.0,-51.714285714285715,20.142857142857142,-9.714285714285714,-62.0,227.28571428571428,205.28571428571428,-13.761904761904761
5372,New York,2020-05-18,351371,28339,-51.0,-47.0,21.0,-3.0,-61.0,107.0,183.0,193.0,-46.57142857142857,-52.285714285714285,20.142857142857142,-12.571428571428571,-62.285714285714285,193.0,227.28571428571428,-14.904761904761903
5373,New York,2020-05-19,352845,28558,-51.0,-44.0,20.0,13.0,-60.0,219.0,107.0,164.0,-46.285714285714285,-52.42857142857143,20.142857142857142,-13.142857142857142,-62.142857142857146,182.0,193.0,-15.142857142857144
5374,New York,2020-05-20,354370,28636,-51.0,-43.0,20.0,27.0,-59.0,78.0,219.0,237.0,-46.0,-51.57142857142857,19.857142857142858,-6.285714285714286,-61.57142857142857,165.57142857142858,182.0,-12.666666666666666
5375,New York,2020-05-21,356458,28743,-51.0,-42.0,20.0,39.0,-58.0,107.0,78.0,171.0,-45.714285714285715,-51.42857142857143,19.857142857142858,-6.428571428571429,-61.42857142857143,157.42857142857142,165.57142857142858,-12.666666666666666
5376,New York,2020-05-22,358154,28853,-50.0,-45.0,21.0,19.0,-57.0,110.0,107.0,183.0,-45.42857142857143,-50.714285714285715,19.571428571428573,1.0,-60.57142857142857,139.28571428571428,157.42857142857142,-10.047619047619047
5377,New York,2020-05-23,359926,29031,-32.0,-50.0,12.0,0.0,-58.0,178.0,110.0,107.0,-45.285714285714285,-49.857142857142854,19.0,15.571428571428571,-59.57142857142857,140.28571428571428,139.28571428571428,-5.095238095238094
5378,New York,2020-05-24,361515,29141,-29.0,-43.0,7.0,93.0,-52.0,110.0,178.0,219.0,-45.0,-49.42857142857143,19.0,20.142857142857142,-59.57142857142857,129.85714285714286,140.28571428571428,-3.4285714285714293
5379,New York,2020-05-25,362764,29229,-73.0,-49.0,23.0,70.0,-67.0,88.0,110.0,78.0,-48.142857142857146,-48.285714285714285,18.714285714285715,24.142857142857142,-58.857142857142854,127.14285714285714,129.85714285714286,-1.809523809523809
5380,New York,2020-05-26,363836,29302,-49.0,-43.0,18.0,39.0,-57.0,73.0,88.0,107.0,-47.857142857142854,-47.42857142857143,18.428571428571427,26.0,-58.57142857142857,106.28571428571429,127.14285714285714,-1.000000000000001
5381,New York,2020-05-27,364965,29484,-48.0,-41.0,19.0,40.0,-56.0,182.0,73.0,110.0,-47.42857142857143,-46.714285714285715,18.142857142857142,27.285714285714285,-58.285714285714285,121.14285714285714,106.28571428571429,-0.42857142857142944
5382,New York,2020-05-28,366733,29529,-49.0,-44.0,20.0,7.0,-58.0,45.0,182.0,178.0,-47.142857142857146,-45.714285714285715,17.857142857142858,30.714285714285715,-57.857142857142854,112.28571428571429,121.14285714285714,0.9523809523809526
5383,New York,2020-05-29,368284,29646,-49.0,-47.0,22.0,3.0,-57.0,117.0,45.0,110.0,-47.0,-45.0,17.571428571428573,31.714285714285715,-57.57142857142857,113.28571428571429,112.28571428571429,1.4285714285714295
5384,New York,2020-05-30,369660,29710,-21.0,-44.0,9.0,77.0,-47.0,64.0,117.0,88.0,-45.42857142857143,-45.42857142857143,17.714285714285715,21.285714285714285,-58.42857142857143,97.0,113.28571428571429,-2.1428571428571437
