,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
5477,North Carolina,2020-04-07,3299,53,-45.0,-36.0,18.0,24.0,-44.0,8.0,7.0,7.0,-41.857142857142854,-36.0,14.428571428571429,15.714285714285714,-44.714285714285715,5.857142857142857,5.428571428571429,-1.9523809523809519
5478,North Carolina,2020-04-08,3499,66,-46.0,-36.0,17.0,15.0,-44.0,13.0,8.0,6.0,-42.0,-37.42857142857143,14.857142857142858,13.0,-45.57142857142857,7.428571428571429,5.857142857142857,-3.190476190476191
5479,North Carolina,2020-04-09,3736,76,-47.0,-35.0,18.0,11.0,-47.0,10.0,13.0,7.0,-42.285714285714285,-37.714285714285715,15.142857142857142,12.428571428571429,-46.142857142857146,7.857142857142857,7.428571428571429,-3.3809523809523814
5480,North Carolina,2020-04-10,3965,83,-57.0,-36.0,21.0,12.0,-52.0,7.0,10.0,4.0,-44.142857142857146,-37.57142857142857,15.285714285714286,10.714285714285714,-46.285714285714285,8.0,7.857142857142857,-3.857142857142857
5481,North Carolina,2020-04-11,4354,89,-35.0,-40.0,11.0,20.0,-49.0,6.0,7.0,7.0,-44.57142857142857,-37.714285714285715,15.571428571428571,8.285714285714286,-46.857142857142854,7.857142857142857,8.0,-4.6190476190476195
5482,North Carolina,2020-04-12,4570,89,-44.0,-61.0,12.0,-35.0,-61.0,0.0,6.0,8.0,-45.42857142857143,-38.142857142857146,15.714285714285714,7.142857142857143,-47.42857142857143,7.285714285714286,7.857142857142857,-5.095238095238096
5483,North Carolina,2020-04-13,4886,94,-49.0,-39.0,18.0,1.0,-51.0,5.0,0.0,13.0,-46.142857142857146,-38.42857142857143,15.857142857142858,7.0,-47.57142857142857,7.0,7.285714285714286,-5.190476190476191
5484,North Carolina,2020-04-14,5113,112,-44.0,-33.0,17.0,31.0,-42.0,18.0,5.0,10.0,-46.0,-37.857142857142854,15.714285714285714,13.0,-47.285714285714285,8.428571428571429,7.0,-3.047619047619046
5485,North Carolina,2020-04-15,5340,130,-45.0,-28.0,17.0,-6.0,-44.0,18.0,18.0,7.0,-45.857142857142854,-37.57142857142857,15.571428571428571,17.142857142857142,-47.142857142857146,9.142857142857142,8.428571428571429,-1.6190476190476193
5486,North Carolina,2020-04-16,5639,150,-44.0,-29.0,17.0,12.0,-45.0,20.0,18.0,6.0,-45.42857142857143,-37.285714285714285,15.571428571428571,17.714285714285715,-47.142857142857146,10.571428571428571,9.142857142857142,-1.3333333333333333
5487,North Carolina,2020-04-17,6045,177,-43.0,-31.0,17.0,32.0,-45.0,27.0,20.0,0.0,-43.42857142857143,-37.57142857142857,16.142857142857142,15.714285714285714,-48.0,13.428571428571429,10.571428571428571,-1.9047619047619044
5488,North Carolina,2020-04-18,6328,187,-30.0,-36.0,11.0,10.0,-45.0,10.0,27.0,5.0,-42.714285714285715,-37.42857142857143,16.0,15.571428571428571,-48.142857142857146,14.0,13.428571428571429,-1.9523809523809532
5489,North Carolina,2020-04-19,6601,200,-36.0,-38.0,10.0,-10.0,-54.0,13.0,10.0,18.0,-41.57142857142857,-40.0,16.142857142857142,9.857142857142858,-49.0,15.857142857142858,14.0,-4.666666666666667
5490,North Carolina,2020-04-20,6895,218,-44.0,-34.0,18.0,-11.0,-50.0,18.0,13.0,18.0,-40.857142857142854,-40.42857142857143,16.428571428571427,6.857142857142857,-49.714285714285715,17.714285714285715,15.857142857142858,-5.714285714285715
5491,North Carolina,2020-04-21,7134,245,-43.0,-29.0,16.0,29.0,-41.0,27.0,18.0,20.0,-40.714285714285715,-40.0,16.285714285714285,7.857142857142857,-49.42857142857143,19.0,17.714285714285715,-5.285714285714286
5492,North Carolina,2020-04-22,7495,265,-44.0,-29.0,16.0,22.0,-42.0,20.0,27.0,27.0,-40.57142857142857,-38.857142857142854,16.285714285714285,4.857142857142857,-49.42857142857143,19.285714285714285,19.0,-5.904761904761904
5493,North Carolina,2020-04-23,7820,281,-45.0,-36.0,20.0,-30.0,-50.0,16.0,20.0,10.0,-40.714285714285715,-38.0,16.142857142857142,5.0,-49.142857142857146,18.714285714285715,19.285714285714285,-5.6190476190476195
5494,North Carolina,2020-04-24,8290,294,-43.0,-31.0,17.0,33.0,-44.0,13.0,16.0,13.0,-40.714285714285715,-37.285714285714285,15.571428571428571,7.857142857142857,-48.142857142857146,16.714285714285715,18.714285714285715,-4.6190476190476195
5495,North Carolina,2020-04-25,8768,305,-30.0,-37.0,11.0,3.0,-46.0,11.0,13.0,18.0,-40.714285714285715,-36.714285714285715,15.571428571428571,6.428571428571429,-47.57142857142857,16.857142857142858,16.714285714285715,-4.904761904761906
5496,North Carolina,2020-04-26,8997,324,-35.0,-35.0,9.0,10.0,-50.0,19.0,11.0,27.0,-40.57142857142857,-33.42857142857143,15.285714285714286,10.0,-46.57142857142857,17.714285714285715,16.857142857142858,-2.7142857142857153
5497,North Carolina,2020-04-27,9428,340,-41.0,-25.0,15.0,28.0,-42.0,16.0,19.0,20.0,-40.142857142857146,-32.714285714285715,15.285714285714286,8.285714285714286,-46.42857142857143,17.428571428571427,17.714285714285715,-3.047619047619048
5498,North Carolina,2020-04-28,9755,363,-42.0,-24.0,10.0,38.0,-38.0,23.0,16.0,16.0,-40.0,-32.142857142857146,15.142857142857142,8.0,-46.285714285714285,16.857142857142858,17.428571428571427,-3.0000000000000013
5499,North Carolina,2020-04-29,10180,382,-43.0,-25.0,16.0,12.0,-40.0,19.0,23.0,13.0,-39.857142857142854,-32.285714285714285,15.0,12.0,-46.0,16.714285714285715,16.857142857142858,-1.7619047619047616
5500,North Carolina,2020-04-30,10754,406,-44.0,-29.0,18.0,-17.0,-45.0,24.0,19.0,11.0,-39.714285714285715,-33.285714285714285,15.428571428571429,6.0,-46.714285714285715,17.857142857142858,16.714285714285715,-3.952380952380951
