,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
5910,Ohio,2020-04-02,2901,81,-49.0,-37.0,20.0,87.0,-28.0,16.0,10.0,6.0,-44.714285714285715,-40.857142857142854,15.714285714285714,46.57142857142857,-25.714285714285715,9.428571428571429,7.714285714285714,7.142857142857143
5911,Ohio,2020-04-03,3312,91,-48.0,-38.0,20.0,108.0,-28.0,10.0,16.0,4.0,-44.714285714285715,-42.42857142857143,16.571428571428573,43.57142857142857,-27.714285714285715,10.285714285714286,9.428571428571429,5.904761904761904
5912,Ohio,2020-04-04,3739,102,-35.0,-43.0,12.0,138.0,-26.0,11.0,10.0,11.0,-44.714285714285715,-43.285714285714285,17.0,47.142857142857146,-29.428571428571427,11.0,10.285714285714286,6.952380952380953
5913,Ohio,2020-04-05,4043,119,-37.0,-46.0,11.0,37.0,-39.0,17.0,11.0,15.0,-45.0,-44.0,17.285714285714285,55.0,-30.428571428571427,12.857142857142858,11.0,9.428571428571429
5914,Ohio,2020-04-06,4453,142,-48.0,-37.0,18.0,81.0,-28.0,23.0,17.0,10.0,-45.0,-45.142857142857146,17.714285714285715,55.857142857142854,-31.285714285714285,14.571428571428571,12.857142857142858,9.476190476190474
5915,Ohio,2020-04-07,4782,167,-50.0,-41.0,19.0,68.0,-28.0,25.0,23.0,16.0,-45.142857142857146,-43.714285714285715,17.714285714285715,55.285714285714285,-30.857142857142858,16.0,14.571428571428571,9.761904761904761
5916,Ohio,2020-04-08,5148,193,-50.0,-36.0,18.0,106.0,-26.0,26.0,25.0,10.0,-45.285714285714285,-42.857142857142854,17.857142857142858,44.42857142857143,-30.857142857142858,18.285714285714285,16.0,6.476190476190478
5917,Ohio,2020-04-09,5512,213,-51.0,-39.0,21.0,11.0,-33.0,20.0,26.0,11.0,-45.57142857142857,-42.142857142857146,17.857142857142858,42.142857142857146,-30.714285714285715,18.857142857142858,18.285714285714285,5.9523809523809526
5918,Ohio,2020-04-10,5878,231,-56.0,-41.0,24.0,14.0,-36.0,18.0,20.0,17.0,-46.714285714285715,-41.0,17.571428571428573,53.857142857142854,-30.0,20.0,18.857142857142858,10.142857142857142
5919,Ohio,2020-04-11,6250,247,-37.0,-41.0,12.0,82.0,-28.0,16.0,18.0,23.0,-47.0,-40.0,17.285714285714285,69.42857142857143,-28.857142857142858,20.714285714285715,20.0,15.571428571428571
5920,Ohio,2020-04-12,6604,253,-44.0,-65.0,11.0,40.0,-42.0,6.0,16.0,25.0,-48.0,-40.42857142857143,17.428571428571427,58.0,-29.714285714285715,19.142857142857142,20.714285714285715,11.666666666666666
5921,Ohio,2020-04-13,6975,274,-49.0,-43.0,21.0,-18.0,-37.0,21.0,6.0,26.0,-48.142857142857146,-39.857142857142854,17.285714285714285,69.0,-29.142857142857142,18.857142857142858,19.142857142857142,15.476190476190476
5922,Ohio,2020-04-14,7285,324,-48.0,-38.0,19.0,24.0,-29.0,50.0,21.0,20.0,-47.857142857142854,-39.857142857142854,17.142857142857142,77.71428571428571,-29.142857142857142,22.428571428571427,18.857142857142858,18.333333333333332
5923,Ohio,2020-04-15,7794,362,-48.0,-31.0,19.0,8.0,-29.0,38.0,50.0,18.0,-47.57142857142857,-39.714285714285715,16.857142857142858,89.28571428571429,-29.0,24.142857142857142,22.428571428571427,22.142857142857142
5924,Ohio,2020-04-16,8414,407,-48.0,-33.0,20.0,26.0,-31.0,45.0,38.0,16.0,-47.142857142857146,-40.0,17.0,78.42857142857143,-29.714285714285715,27.714285714285715,24.142857142857142,18.476190476190478
5925,Ohio,2020-04-17,9107,418,-48.0,-43.0,23.0,-17.0,-38.0,11.0,45.0,6.0,-46.0,-40.42857142857143,17.571428571428573,65.0,-30.857142857142858,26.714285714285715,27.714285714285715,14.047619047619046
5926,Ohio,2020-04-18,10222,451,-32.0,-38.0,12.0,79.0,-26.0,33.0,11.0,21.0,-45.285714285714285,-40.142857142857146,17.571428571428573,57.0,-31.142857142857142,29.142857142857142,26.714285714285715,11.476190476190476
5927,Ohio,2020-04-19,11602,471,-34.0,-38.0,9.0,90.0,-35.0,20.0,33.0,50.0,-43.857142857142854,-42.857142857142854,17.571428571428573,57.42857142857143,-31.571428571428573,31.142857142857142,29.142857142857142,10.714285714285717
5928,Ohio,2020-04-20,12919,509,-46.0,-30.0,17.0,93.0,-27.0,38.0,20.0,38.0,-43.42857142857143,-43.714285714285715,18.0,43.285714285714285,-32.857142857142854,33.57142857142857,31.142857142857142,5.857142857142857
5929,Ohio,2020-04-21,13725,557,-47.0,-33.0,18.0,30.0,-28.0,48.0,38.0,45.0,-43.285714285714285,-43.285714285714285,18.0,37.0,-33.0,33.285714285714285,33.57142857142857,3.904761904761905
5930,Ohio,2020-04-22,14117,610,-47.0,-32.0,18.0,59.0,-27.0,53.0,48.0,11.0,-43.142857142857146,-42.57142857142857,18.142857142857142,23.0,-33.42857142857143,35.42857142857143,33.285714285714285,-0.47619047619047566
5931,Ohio,2020-04-23,14694,656,-47.0,-35.0,20.0,13.0,-32.0,46.0,53.0,33.0,-43.0,-41.714285714285715,18.0,25.142857142857142,-33.142857142857146,35.57142857142857,35.42857142857143,0.47619047619047566
5932,Ohio,2020-04-24,15169,690,-46.0,-34.0,19.0,108.0,-26.0,34.0,46.0,20.0,-42.714285714285715,-42.0,17.857142857142858,20.714285714285715,-33.42857142857143,38.857142857142854,35.57142857142857,-1.1428571428571423
5933,Ohio,2020-04-25,15587,711,-31.0,-34.0,10.0,136.0,-22.0,21.0,34.0,38.0,-42.57142857142857,-41.57142857142857,17.857142857142858,20.285714285714285,-33.142857142857146,37.142857142857146,38.857142857142854,-1.1428571428571423
5934,Ohio,2020-04-26,15972,728,-35.0,-40.0,10.0,-13.0,-39.0,17.0,21.0,48.0,-42.714285714285715,-37.714285714285715,17.571428571428573,27.428571428571427,-32.142857142857146,36.714285714285715,37.142857142857146,2.4285714285714284
5935,Ohio,2020-04-27,16325,753,-44.0,-25.0,16.0,106.0,-23.0,25.0,17.0,53.0,-42.42857142857143,-35.857142857142854,17.0,43.285714285714285,-30.714285714285715,34.857142857142854,36.714285714285715,8.142857142857144
5936,Ohio,2020-04-28,16769,799,-46.0,-26.0,11.0,100.0,-21.0,46.0,25.0,46.0,-42.285714285714285,-35.142857142857146,16.857142857142858,44.142857142857146,-30.571428571428573,34.57142857142857,34.857142857142854,8.619047619047619
5937,Ohio,2020-04-29,17303,937,-46.0,-28.0,18.0,22.0,-26.0,138.0,46.0,34.0,-42.142857142857146,-35.285714285714285,16.714285714285715,51.42857142857143,-30.285714285714285,46.714285714285715,34.57142857142857,10.952380952380954
5938,Ohio,2020-04-30,18027,976,-46.0,-29.0,19.0,10.0,-28.0,39.0,138.0,21.0,-42.0,-35.57142857142857,16.714285714285715,49.57142857142857,-30.428571428571427,45.714285714285715,46.714285714285715,10.238095238095239
5939,Ohio,2020-05-01,18743,1003,-44.0,-28.0,17.0,95.0,-21.0,27.0,39.0,17.0,-41.714285714285715,-34.285714285714285,16.142857142857142,67.42857142857143,-28.714285714285715,44.714285714285715,45.714285714285715,16.42857142857143
5940,Ohio,2020-05-02,19335,1022,-28.0,-28.0,7.0,222.0,-9.0,19.0,27.0,25.0,-41.285714285714285,-33.714285714285715,15.857142857142858,75.57142857142857,-28.142857142857142,44.42857142857143,44.714285714285715,19.238095238095237
5941,Ohio,2020-05-03,19914,1039,-29.0,-26.0,6.0,150.0,-24.0,17.0,19.0,46.0,-40.42857142857143,-34.0,16.0,60.857142857142854,-28.714285714285715,44.42857142857143,44.42857142857143,14.285714285714285
5942,Ohio,2020-05-04,20474,1057,-42.0,-20.0,14.0,80.0,-20.0,18.0,17.0,138.0,-40.142857142857146,-33.285714285714285,15.857142857142858,62.714285714285715,-28.142857142857142,43.42857142857143,44.42857142857143,15.095238095238097
5943,Ohio,2020-05-05,20969,1135,-43.0,-24.0,16.0,31.0,-22.0,78.0,18.0,39.0,-39.714285714285715,-32.285714285714285,14.857142857142858,72.71428571428571,-27.142857142857142,48.0,43.42857142857143,18.428571428571427
5944,Ohio,2020-05-06,21576,1225,-43.0,-23.0,16.0,82.0,-18.0,90.0,78.0,27.0,-39.285714285714285,-31.714285714285715,14.857142857142858,67.42857142857143,-27.0,41.142857142857146,48.0,16.857142857142858
5945,Ohio,2020-05-07,22131,1271,-42.0,-24.0,16.0,113.0,-19.0,46.0,90.0,19.0,-38.714285714285715,-30.857142857142858,14.714285714285714,67.0,-26.428571428571427,42.142857142857146,41.142857142857146,16.952380952380953
5946,Ohio,2020-05-08,23016,1306,-42.0,-32.0,19.0,26.0,-25.0,35.0,46.0,17.0,-38.42857142857143,-30.0,14.428571428571429,65.14285714285714,-25.714285714285715,43.285714285714285,42.142857142857146,16.523809523809522
