,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
6055,Oklahoma,2020-04-01,721,30,-40.0,-22.0,14.0,35.0,-13.0,7.0,7.0,1.0,-36.57142857142857,-27.571428571428573,11.428571428571429,14.571428571428571,-11.857142857142858,3.5714285714285716,2.857142857142857,-0.523809523809525
6056,Oklahoma,2020-04-02,881,34,-42.0,-30.0,16.0,16.0,-20.0,4.0,7.0,7.0,-37.142857142857146,-28.857142857142858,11.857142857142858,19.142857142857142,-13.285714285714286,3.857142857142857,3.5714285714285716,0.7142857142857141
6057,Oklahoma,2020-04-03,990,38,-43.0,-37.0,20.0,-37.0,-28.0,4.0,4.0,1.0,-37.857142857142854,-30.0,12.285714285714286,24.142857142857142,-14.857142857142858,4.285714285714286,3.857142857142857,2.1428571428571423
6058,Oklahoma,2020-04-04,1161,42,-32.0,-46.0,14.0,-42.0,-29.0,4.0,4.0,0.0,-38.57142857142857,-30.285714285714285,12.571428571428571,27.285714285714285,-16.428571428571427,3.857142857142857,4.285714285714286,3.19047619047619
6059,Oklahoma,2020-04-05,1254,46,-35.0,-41.0,10.0,-3.0,-30.0,4.0,4.0,7.0,-39.0,-30.0,12.571428571428571,35.142857142857146,-17.285714285714285,4.285714285714286,3.857142857142857,5.904761904761905
6060,Oklahoma,2020-04-06,1329,51,-42.0,-33.0,16.0,2.0,-25.0,5.0,4.0,7.0,-39.285714285714285,-31.285714285714285,13.142857142857142,31.142857142857142,-18.857142857142858,5.0,4.285714285714286,4.333333333333333
6061,Oklahoma,2020-04-07,1474,67,-43.0,-31.0,16.0,50.0,-19.0,16.0,5.0,4.0,-39.57142857142857,-31.857142857142858,13.428571428571429,28.285714285714285,-19.714285714285715,6.285714285714286,5.0,3.2857142857142847
6062,Oklahoma,2020-04-08,1526,79,-43.0,-27.0,14.0,59.0,-14.0,12.0,16.0,4.0,-40.0,-32.0,13.714285714285714,22.857142857142858,-20.285714285714285,7.0,6.285714285714286,1.5238095238095244
6063,Oklahoma,2020-04-09,1686,80,-44.0,-29.0,16.0,29.0,-20.0,1.0,12.0,4.0,-40.285714285714285,-32.142857142857146,14.0,17.0,-20.857142857142858,6.571428571428571,7.0,-0.380952380952382
6064,Oklahoma,2020-04-10,1794,88,-47.0,-30.0,18.0,33.0,-24.0,8.0,1.0,4.0,-40.857142857142854,-32.57142857142857,14.571428571428571,8.285714285714286,-21.714285714285715,7.142857142857143,6.571428571428571,-3.2380952380952377
6065,Oklahoma,2020-04-11,1868,94,-32.0,-38.0,12.0,-8.0,-27.0,6.0,8.0,5.0,-40.857142857142854,-33.857142857142854,15.0,0.42857142857142855,-23.0,7.428571428571429,7.142857142857143,-6.142857142857142
6066,Oklahoma,2020-04-12,1970,96,-40.0,-54.0,11.0,-41.0,-37.0,2.0,6.0,16.0,-41.57142857142857,-34.57142857142857,15.142857142857142,-4.142857142857143,-24.0,7.142857142857143,7.428571428571429,-7.857142857142857
6067,Oklahoma,2020-04-13,2069,99,-42.0,-34.0,18.0,-33.0,-28.0,3.0,2.0,12.0,-41.57142857142857,-34.0,15.0,0.2857142857142857,-23.571428571428573,6.857142857142857,7.142857142857143,-6.238095238095238
6068,Oklahoma,2020-04-14,2184,108,-42.0,-33.0,18.0,-10.0,-25.0,9.0,3.0,1.0,-41.42857142857143,-34.285714285714285,15.142857142857142,3.0,-23.428571428571427,5.857142857142857,6.857142857142857,-5.3809523809523805
6069,Oklahoma,2020-04-15,2263,123,-40.0,-15.0,14.0,35.0,-14.0,15.0,9.0,8.0,-41.0,-35.0,15.142857142857142,6.428571428571429,-23.571428571428573,6.285714285714286,5.857142857142857,-4.476190476190476
6070,Oklahoma,2020-04-16,2357,131,-41.0,-20.0,15.0,32.0,-16.0,8.0,15.0,6.0,-40.57142857142857,-34.857142857142854,15.142857142857142,8.285714285714286,-23.571428571428573,7.285714285714286,6.285714285714286,-3.8095238095238084
6071,Oklahoma,2020-04-17,2465,136,-41.0,-30.0,18.0,-13.0,-22.0,5.0,8.0,2.0,-39.714285714285715,-33.857142857142854,14.857142857142858,18.285714285714285,-23.0,6.857142857142857,7.285714285714286,-0.23809523809523725
6072,Oklahoma,2020-04-18,2465,136,-26.0,-30.0,10.0,19.0,-17.0,0.0,5.0,3.0,-38.857142857142854,-32.714285714285715,14.571428571428571,23.142857142857142,-22.714285714285715,6.0,6.857142857142857,1.6666666666666654
