,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
6197,Oregon,2020-03-28,479,13,-36.0,-55.0,14.0,-25.0,-45.0,1.0,1.0,0.0,-42.42857142857143,-23.285714285714285,9.285714285714286,61.57142857142857,-22.714285714285715,1.2857142857142858,1.2857142857142858,15.857142857142856
6198,Oregon,2020-03-29,548,13,-38.0,-51.0,12.0,-22.0,-47.0,0.0,1.0,3.0,-43.57142857142857,-27.0,9.857142857142858,66.14285714285714,-25.142857142857142,1.1428571428571428,1.2857142857142858,16.333333333333332
6199,Oregon,2020-03-30,606,16,-47.0,-44.0,17.0,-20.0,-48.0,3.0,0.0,2.0,-44.42857142857143,-31.714285714285715,11.0,57.857142857142854,-28.571428571428573,1.5714285714285714,1.1428571428571428,12.38095238095238
6200,Oregon,2020-03-31,690,18,-49.0,-41.0,18.0,4.0,-44.0,2.0,3.0,1.0,-44.714285714285715,-35.285714285714285,12.142857142857142,46.42857142857143,-32.0,1.4285714285714286,1.5714285714285714,7.761904761904763
6201,Oregon,2020-04-01,736,19,-49.0,-39.0,18.0,1.0,-42.0,1.0,2.0,1.0,-44.857142857142854,-38.142857142857146,13.142857142857142,36.0,-34.714285714285715,1.2857142857142858,1.4285714285714286,3.6666666666666656
6202,Oregon,2020-04-02,826,21,-50.0,-42.0,19.0,-3.0,-46.0,2.0,1.0,1.0,-45.142857142857146,-40.714285714285715,14.142857142857142,25.0,-37.285714285714285,1.4285714285714286,1.2857142857142858,-0.5238095238095243
6203,Oregon,2020-04-03,899,22,-48.0,-44.0,19.0,-10.0,-46.0,1.0,2.0,0.0,-45.285714285714285,-43.285714285714285,15.142857142857142,11.571428571428571,-39.857142857142854,1.4285714285714286,1.4285714285714286,-5.523809523809523
6204,Oregon,2020-04-04,899,22,-37.0,-51.0,14.0,-20.0,-45.0,0.0,1.0,3.0,-45.42857142857143,-45.42857142857143,16.0,-3.5714285714285716,-42.57142857142857,1.2857142857142858,1.4285714285714286,-11.0
6205,Oregon,2020-04-05,1068,27,-39.0,-46.0,11.0,-1.0,-44.0,5.0,0.0,2.0,-45.57142857142857,-47.42857142857143,16.571428571428573,-13.571428571428571,-44.857142857142854,2.0,1.2857142857142858,-14.80952380952381
6206,Oregon,2020-04-06,1068,27,-48.0,-40.0,17.0,19.0,-44.0,0.0,5.0,1.0,-45.714285714285715,-48.285714285714285,16.857142857142858,-15.714285714285714,-46.0,1.5714285714285714,2.0,-15.714285714285714
