,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
6648,Rhode Island,2020-04-10,1727,43,-54.0,-44.0,25.0,-10.0,-63.0,0.0,8.0,8.0,-48.285714285714285,-45.857142857142854,19.714285714285715,10.857142857142858,-60.714285714285715,4.142857142857143,4.428571428571429,-5.095238095238094
6649,Rhode Island,2020-04-11,2349,56,-40.0,-45.0,15.0,45.0,-57.0,13.0,0.0,2.0,-48.57142857142857,-46.42857142857143,19.857142857142858,-0.14285714285714285,-61.142857142857146,5.571428571428571,4.142857142857143,-8.904761904761905
6650,Rhode Island,2020-04-12,2665,63,-43.0,-63.0,13.0,11.0,-67.0,7.0,13.0,3.0,-49.42857142857143,-45.714285714285715,19.714285714285715,7.571428571428571,-60.0,5.428571428571429,5.571428571428571,-6.142857142857143
6651,Rhode Island,2020-04-13,2665,63,-54.0,-56.0,24.0,-51.0,-75.0,0.0,7.0,5.0,-50.0,-44.857142857142854,19.571428571428573,18.142857142857142,-59.42857142857143,5.142857142857143,5.428571428571429,-2.3809523809523796
6652,Rhode Island,2020-04-14,3251,80,-51.0,-35.0,20.0,63.0,-61.0,17.0,0.0,8.0,-49.857142857142854,-44.714285714285715,19.571428571428573,18.285714285714285,-59.857142857142854,7.142857142857143,5.142857142857143,-2.285714285714286
6653,Rhode Island,2020-04-15,3251,80,-51.0,-36.0,21.0,11.0,-64.0,0.0,17.0,0.0,-49.57142857142857,-45.42857142857143,19.857142857142858,14.428571428571429,-60.714285714285715,6.428571428571429,7.142857142857143,-3.714285714285715
6654,Rhode Island,2020-04-16,3529,87,-51.0,-37.0,22.0,19.0,-64.0,7.0,0.0,13.0,-49.142857142857146,-46.142857142857146,20.142857142857142,10.857142857142858,-61.57142857142857,6.285714285714286,6.428571428571429,-5.047619047619048
6655,Rhode Island,2020-04-17,4177,118,-49.0,-39.0,23.0,13.0,-64.0,31.0,7.0,7.0,-48.42857142857143,-45.42857142857143,20.0,16.428571428571427,-61.42857142857143,10.714285714285714,6.285714285714286,-3.0000000000000013
6656,Rhode Island,2020-04-18,4491,137,-41.0,-54.0,17.0,-41.0,-68.0,19.0,31.0,0.0,-48.57142857142857,-44.714285714285715,20.0,19.714285714285715,-61.285714285714285,11.571428571428571,10.714285714285714,-1.6666666666666667
6657,Rhode Island,2020-04-19,4706,150,-35.0,-38.0,11.0,53.0,-58.0,13.0,19.0,17.0,-47.42857142857143,-46.57142857142857,20.0,20.714285714285715,-62.42857142857143,12.428571428571429,11.571428571428571,-1.9523809523809514
6658,Rhode Island,2020-04-20,5090,155,-50.0,-37.0,20.0,18.0,-66.0,5.0,13.0,0.0,-46.857142857142854,-49.0,20.714285714285715,2.142857142857143,-64.85714285714286,13.142857142857142,12.428571428571429,-8.714285714285714
6659,Rhode Island,2020-04-21,5500,171,-51.0,-43.0,23.0,-23.0,-68.0,16.0,5.0,7.0,-46.857142857142854,-48.285714285714285,20.571428571428573,1.8571428571428572,-65.0,13.0,13.142857142857142,-8.619047619047619
6660,Rhode Island,2020-04-22,5841,181,-51.0,-38.0,21.0,-2.0,-65.0,10.0,16.0,31.0,-46.857142857142854,-46.857142857142854,20.285714285714285,5.571428571428571,-65.0,14.428571428571429,13.0,-7.0
6661,Rhode Island,2020-04-23,6256,189,-50.0,-37.0,21.0,28.0,-64.0,8.0,10.0,19.0,-46.714285714285715,-45.142857142857146,20.0,12.571428571428571,-64.42857142857143,14.571428571428571,14.428571428571429,-4.190476190476192
6662,Rhode Island,2020-04-24,6699,202,-50.0,-45.0,26.0,-38.0,-69.0,13.0,8.0,13.0,-46.857142857142854,-44.42857142857143,19.714285714285715,15.857142857142858,-64.57142857142857,12.0,14.571428571428571,-2.9523809523809526
6663,Rhode Island,2020-04-25,7129,215,-35.0,-38.0,12.0,139.0,-51.0,13.0,13.0,5.0,-46.0,-45.714285714285715,20.0,3.5714285714285716,-66.14285714285714,11.142857142857142,12.0,-7.3809523809523805
6664,Rhode Island,2020-04-26,7439,226,-38.0,-48.0,13.0,-44.0,-67.0,11.0,13.0,16.0,-46.42857142857143,-42.142857142857146,19.714285714285715,9.571428571428571,-64.85714285714286,10.857142857142858,11.142857142857142,-4.2857142857142865
6665,Rhode Island,2020-04-27,7708,233,-49.0,-41.0,21.0,-33.0,-69.0,7.0,11.0,10.0,-46.285714285714285,-39.42857142857143,19.142857142857142,19.428571428571427,-63.57142857142857,11.142857142857142,10.857142857142858,-0.2857142857142871
6666,Rhode Island,2020-04-28,7927,239,-49.0,-32.0,15.0,35.0,-61.0,6.0,7.0,8.0,-46.0,-40.57142857142857,19.571428571428573,7.142857142857143,-64.57142857142857,9.714285714285714,11.142857142857142,-4.619047619047618
6667,Rhode Island,2020-04-29,8247,251,-50.0,-31.0,19.0,55.0,-59.0,12.0,6.0,13.0,-45.857142857142854,-40.857142857142854,19.571428571428573,5.285714285714286,-64.71428571428571,10.0,9.714285714285714,-5.333333333333332
6668,Rhode Island,2020-04-30,8621,266,-50.0,-39.0,22.0,-17.0,-62.0,15.0,12.0,13.0,-45.857142857142854,-40.857142857142854,19.428571428571427,6.571428571428571,-64.71428571428571,11.0,10.0,-4.952380952380952
6669,Rhode Island,2020-05-01,8962,279,-48.0,-35.0,23.0,23.0,-58.0,13.0,15.0,11.0,-45.57142857142857,-41.714285714285715,19.857142857142858,-0.7142857142857143,-65.42857142857143,11.0,11.0,-7.523809523809525
6670,Rhode Island,2020-05-02,9289,296,-32.0,-33.0,11.0,140.0,-41.0,17.0,13.0,7.0,-45.142857142857146,-39.42857142857143,19.142857142857142,25.0,-63.0,11.571428571428571,11.0,1.5714285714285705
6671,Rhode Island,2020-05-03,9477,320,-29.0,-27.0,8.0,100.0,-41.0,24.0,17.0,6.0,-43.857142857142854,-40.857142857142854,19.428571428571427,11.142857142857142,-64.28571428571429,13.428571428571429,11.571428571428571,-3.4285714285714284
6672,Rhode Island,2020-05-04,9652,341,-47.0,-26.0,18.0,56.0,-57.0,21.0,24.0,12.0,-43.57142857142857,-41.42857142857143,19.571428571428573,3.857142857142857,-64.71428571428571,15.428571428571429,13.428571428571429,-6.0
6673,Rhode Island,2020-05-05,9933,355,-47.0,-23.0,18.0,67.0,-54.0,14.0,21.0,15.0,-43.285714285714285,-39.857142857142854,18.428571428571427,12.142857142857142,-63.714285714285715,16.571428571428573,15.428571428571429,-3.095238095238095
6674,Rhode Island,2020-05-06,10205,370,-48.0,-30.0,19.0,24.0,-57.0,15.0,14.0,13.0,-43.0,-38.857142857142854,18.142857142857142,20.285714285714285,-62.857142857142854,17.0,16.571428571428573,-0.14285714285714235
