,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
6782,South Carolina,2020-03-29,774,16,-34.0,-38.0,9.0,-4.0,-34.0,1.0,2.0,0.0,-32.285714285714285,-20.857142857142858,8.0,15.571428571428571,-9.714285714285714,1.8571428571428572,1.7142857142857142,0.9047619047619045
6783,South Carolina,2020-03-30,925,18,-36.0,-30.0,13.0,-1.0,-30.0,2.0,1.0,2.0,-33.142857142857146,-25.571428571428573,9.285714285714286,10.714285714285714,-13.142857142857142,1.8571428571428572,1.8571428571428572,-1.857142857142857
6784,South Carolina,2020-03-31,1083,22,-39.0,-32.0,16.0,-30.0,-27.0,4.0,2.0,2.0,-34.0,-29.571428571428573,10.571428571428571,5.857142857142857,-16.142857142857142,2.4285714285714284,1.8571428571428572,-4.3809523809523805
6785,South Carolina,2020-04-01,1293,26,-40.0,-30.0,15.0,-26.0,-26.0,4.0,4.0,4.0,-34.857142857142854,-31.142857142857142,11.285714285714286,4.142857142857143,-18.571428571428573,2.7142857142857144,2.4285714285714284,-5.238095238095237
6786,South Carolina,2020-04-02,1554,31,-41.0,-33.0,16.0,-20.0,-29.0,5.0,4.0,2.0,-35.714285714285715,-32.42857142857143,12.0,-1.1428571428571428,-20.714285714285715,3.142857142857143,2.7142857142857144,-7.190476190476191
6787,South Carolina,2020-04-03,1700,34,-41.0,-32.0,15.0,-18.0,-33.0,3.0,5.0,1.0,-36.57142857142857,-33.42857142857143,12.571428571428571,-4.714285714285714,-22.714285714285715,3.0,3.142857142857143,-8.523809523809526
6788,South Carolina,2020-04-04,1917,40,-31.0,-40.0,11.0,-22.0,-39.0,6.0,3.0,2.0,-37.42857142857143,-33.857142857142854,12.857142857142858,-8.571428571428571,-25.0,3.5714285714285716,3.0,-9.857142857142856
6789,South Carolina,2020-04-05,2049,44,-38.0,-42.0,10.0,-24.0,-41.0,4.0,6.0,4.0,-38.0,-33.714285714285715,12.857142857142858,-6.0,-26.571428571428573,4.0,3.5714285714285716,-8.952380952380953
6790,South Carolina,2020-04-06,2232,48,-41.0,-33.0,15.0,-11.0,-33.0,4.0,4.0,4.0,-38.714285714285715,-33.142857142857146,12.857142857142858,-3.142857142857143,-27.285714285714285,4.285714285714286,4.0,-7.80952380952381
6791,South Carolina,2020-04-07,2417,51,-43.0,-36.0,17.0,-21.0,-31.0,3.0,4.0,5.0,-39.285714285714285,-32.57142857142857,12.857142857142858,-3.4285714285714284,-27.857142857142858,4.142857142857143,4.285714285714286,-7.714285714285713
