,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
7078,Tennessee,2020-04-02,3013,36,-42.0,-33.0,16.0,11.0,-31.0,12.0,1.0,1.0,-37.714285714285715,-33.142857142857146,12.857142857142858,5.714285714285714,-25.285714285714285,4.714285714285714,3.0,-4.857142857142858
7079,Tennessee,2020-04-03,3067,41,-44.0,-37.0,18.0,1.0,-35.0,5.0,12.0,1.0,-38.42857142857143,-34.142857142857146,13.285714285714286,14.0,-26.428571428571427,5.0,4.714285714285714,-2.285714285714287
7080,Tennessee,2020-04-04,3322,50,-31.0,-45.0,11.0,6.0,-33.0,9.0,5.0,6.0,-39.142857142857146,-34.857142857142854,13.428571428571429,19.285714285714285,-28.0,6.142857142857143,5.0,-0.714285714285713
7081,Tennessee,2020-04-05,3633,53,-38.0,-43.0,10.0,2.0,-42.0,3.0,9.0,9.0,-39.714285714285715,-34.57142857142857,13.428571428571429,24.142857142857142,-28.714285714285715,6.428571428571429,6.142857142857143,1.000000000000001
7082,Tennessee,2020-04-06,3802,65,-43.0,-35.0,16.0,3.0,-35.0,12.0,3.0,1.0,-40.285714285714285,-34.42857142857143,13.428571428571429,27.857142857142858,-29.428571428571427,7.285714285714286,6.428571428571429,2.285714285714286
7083,Tennessee,2020-04-07,4139,72,-45.0,-36.0,17.0,5.0,-33.0,7.0,12.0,12.0,-40.714285714285715,-34.0,13.571428571428571,27.714285714285715,-29.857142857142858,7.0,7.285714285714286,2.4285714285714284
7084,Tennessee,2020-04-08,4363,80,-45.0,-35.0,17.0,8.0,-32.0,8.0,7.0,5.0,-41.142857142857146,-33.714285714285715,13.714285714285714,23.857142857142858,-30.142857142857142,8.0,7.0,1.2857142857142858
7085,Tennessee,2020-04-09,4634,94,-46.0,-33.0,17.0,0.0,-35.0,14.0,8.0,9.0,-41.714285714285715,-34.0,14.0,17.285714285714285,-30.714285714285715,8.285714285714286,8.0,-0.9047619047619051
7086,Tennessee,2020-04-10,4891,98,-53.0,-36.0,20.0,-5.0,-39.0,4.0,14.0,3.0,-43.0,-34.42857142857143,14.285714285714286,11.714285714285714,-31.428571428571427,8.142857142857142,8.285714285714286,-2.8095238095238106
7087,Tennessee,2020-04-11,5132,106,-33.0,-40.0,10.0,11.0,-36.0,8.0,4.0,12.0,-43.285714285714285,-35.42857142857143,14.571428571428571,5.714285714285714,-32.285714285714285,8.0,8.142857142857142,-5.047619047619048
7088,Tennessee,2020-04-12,5508,106,-47.0,-65.0,13.0,-61.0,-53.0,0.0,8.0,7.0,-44.57142857142857,-36.57142857142857,14.857142857142858,1.0,-33.285714285714285,7.571428571428571,8.0,-6.904761904761904
7089,Tennessee,2020-04-13,5610,109,-44.0,-33.0,17.0,-21.0,-35.0,3.0,0.0,8.0,-44.714285714285715,-37.142857142857146,15.0,0.0,-33.714285714285715,6.285714285714286,7.571428571428571,-7.380952380952382
7090,Tennessee,2020-04-14,5827,124,-43.0,-31.0,16.0,-8.0,-30.0,15.0,3.0,14.0,-44.42857142857143,-37.142857142857146,14.857142857142858,5.0,-33.857142857142854,7.428571428571429,6.285714285714286,-5.761904761904763
7091,Tennessee,2020-04-15,5827,124,-42.0,-21.0,15.0,5.0,-27.0,0.0,15.0,4.0,-44.0,-37.714285714285715,15.0,5.142857142857143,-34.42857142857143,6.285714285714286,7.428571428571429,-5.857142857142858
7092,Tennessee,2020-04-16,6166,136,-42.0,-25.0,15.0,1.0,-31.0,12.0,0.0,8.0,-43.42857142857143,-37.714285714285715,15.142857142857142,3.5714285714285716,-35.0,6.0,6.285714285714286,-6.333333333333333
7093,Tennessee,2020-04-17,6263,141,-42.0,-30.0,16.0,6.0,-33.0,5.0,12.0,0.0,-41.857142857142854,-37.57142857142857,15.428571428571429,2.7142857142857144,-35.57142857142857,6.142857142857143,6.0,-6.4761904761904745
7094,Tennessee,2020-04-18,6589,142,-27.0,-33.0,9.0,2.0,-28.0,1.0,5.0,3.0,-41.0,-36.857142857142854,15.285714285714286,3.4285714285714284,-36.0,5.142857142857143,6.142857142857143,-6.0476190476190474
7095,Tennessee,2020-04-19,7070,148,-36.0,-38.0,10.0,-31.0,-44.0,6.0,1.0,15.0,-39.42857142857143,-40.0,15.714285714285714,-5.571428571428571,-37.57142857142857,6.0,5.142857142857143,-9.95238095238095
7096,Tennessee,2020-04-20,7238,152,-40.0,-25.0,15.0,3.0,-30.0,4.0,6.0,0.0,-38.857142857142854,-39.714285714285715,15.857142857142858,-9.0,-37.57142857142857,6.142857142857143,6.0,-10.952380952380954
7097,Tennessee,2020-04-21,7394,157,-41.0,-24.0,15.0,18.0,-26.0,5.0,4.0,12.0,-38.57142857142857,-39.0,15.714285714285714,-10.857142857142858,-37.142857142857146,4.714285714285714,6.142857142857143,-11.38095238095238
7098,Tennessee,2020-04-22,7394,157,-41.0,-26.0,15.0,10.0,-29.0,0.0,5.0,5.0,-38.42857142857143,-37.0,15.428571428571429,-11.285714285714286,-36.42857142857143,4.714285714285714,4.714285714285714,-10.95238095238095
7099,Tennessee,2020-04-23,8266,171,-42.0,-32.0,18.0,-30.0,-35.0,14.0,0.0,1.0,-38.42857142857143,-35.857142857142854,15.142857142857142,-11.142857142857142,-35.857142857142854,5.0,4.714285714285714,-10.619047619047619
7100,Tennessee,2020-04-24,8728,169,-41.0,-30.0,16.0,5.0,-31.0,-2.0,14.0,6.0,-38.285714285714285,-35.0,14.571428571428571,-9.571428571428571,-35.0,4.0,5.0,-10.0
7101,Tennessee,2020-04-25,9189,177,-28.0,-36.0,10.0,-24.0,-31.0,8.0,-2.0,4.0,-38.42857142857143,-34.0,14.428571428571429,-10.857142857142858,-33.857142857142854,5.0,4.0,-10.142857142857142
7102,Tennessee,2020-04-26,9667,181,-35.0,-34.0,9.0,-33.0,-35.0,4.0,8.0,5.0,-38.285714285714285,-30.142857142857142,14.0,-6.571428571428571,-32.57142857142857,4.714285714285714,5.0,-7.571428571428572
7103,Tennessee,2020-04-27,9918,184,-38.0,-18.0,14.0,18.0,-27.0,3.0,4.0,0.0,-38.0,-29.0,13.714285714285714,-3.142857142857143,-31.857142857142858,4.571428571428571,4.714285714285714,-6.142857142857143
7104,Tennessee,2020-04-28,10052,188,-39.0,-18.0,8.0,28.0,-23.0,4.0,3.0,14.0,-37.714285714285715,-28.0,13.571428571428571,0.5714285714285714,-31.285714285714285,4.428571428571429,4.571428571428571,-4.6190476190476195
7105,Tennessee,2020-04-29,10366,195,-40.0,-20.0,15.0,-10.0,-26.0,7.0,4.0,-2.0,-37.57142857142857,-28.714285714285715,13.571428571428571,1.2857142857142858,-31.571428571428573,5.428571428571429,4.428571428571429,-4.6190476190476195
7106,Tennessee,2020-04-30,10735,199,-39.0,-18.0,14.0,0.0,-25.0,4.0,7.0,8.0,-37.142857142857146,-29.714285714285715,14.0,-3.142857142857143,-32.142857142857146,4.0,5.428571428571429,-6.285714285714286
7107,Tennessee,2020-05-01,11891,204,-38.0,-17.0,13.0,33.0,-22.0,5.0,4.0,4.0,-36.714285714285715,-29.714285714285715,14.0,-3.2857142857142856,-31.857142857142858,5.0,4.0,-6.333333333333333
7108,Tennessee,2020-05-02,12661,209,-22.0,-20.0,5.0,80.0,-13.0,5.0,5.0,3.0,-35.857142857142854,-30.142857142857142,14.142857142857142,-7.0,-32.285714285714285,4.571428571428571,5.0,-7.666666666666667
7109,Tennessee,2020-05-03,13177,210,-28.0,-20.0,5.0,41.0,-26.0,1.0,5.0,4.0,-34.857142857142854,-29.571428571428573,14.0,-7.285714285714286,-31.0,4.142857142857143,4.571428571428571,-7.6190476190476195
7110,Tennessee,2020-05-04,13571,219,-36.0,-10.0,11.0,19.0,-23.0,9.0,1.0,7.0,-34.57142857142857,-28.571428571428573,13.857142857142858,-5.142857142857143,-30.571428571428573,5.0,4.142857142857143,-6.6190476190476195
7111,Tennessee,2020-05-05,13690,226,-36.0,-10.0,12.0,10.0,-20.0,7.0,9.0,4.0,-34.142857142857146,-27.714285714285715,12.857142857142858,-3.7142857142857144,-30.142857142857142,5.428571428571429,5.0,-6.190476190476191
7112,Tennessee,2020-05-06,13938,239,-36.0,-12.0,13.0,5.0,-20.0,13.0,7.0,5.0,-33.57142857142857,-26.857142857142858,12.857142857142858,-6.571428571428571,-29.714285714285715,6.285714285714286,5.428571428571429,-6.857142857142857
7113,Tennessee,2020-05-07,14096,238,-35.0,-12.0,11.0,35.0,-20.0,-1.0,13.0,5.0,-33.0,-24.857142857142858,12.285714285714286,-2.2857142857142856,-28.285714285714285,5.571428571428571,6.285714285714286,-4.9523809523809526
7114,Tennessee,2020-05-08,14441,242,-37.0,-21.0,15.0,-21.0,-26.0,4.0,-1.0,1.0,-32.857142857142854,-23.0,11.857142857142858,1.7142857142857142,-27.0,5.428571428571429,5.571428571428571,-3.142857142857143
