,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
7221,Texas,2020-03-30,3147,45,-46.0,-41.0,20.0,-39.0,-45.0,8.0,7.0,3.0,-41.142857142857146,-27.428571428571427,13.0,-15.714285714285714,-27.571428571428573,5.142857142857143,4.285714285714286,-10.047619047619046
7222,Texas,2020-03-31,3809,54,-47.0,-35.0,20.0,-13.0,-39.0,9.0,8.0,6.0,-42.142857142857146,-30.0,14.0,-16.428571428571427,-29.857142857142858,6.0,5.142857142857143,-10.80952380952381
7223,Texas,2020-04-01,4355,66,-47.0,-33.0,20.0,-6.0,-38.0,12.0,9.0,5.0,-42.57142857142857,-33.285714285714285,15.142857142857142,-18.857142857142858,-32.42857142857143,7.285714285714286,6.0,-12.333333333333334
7224,Texas,2020-04-02,5069,77,-48.0,-39.0,21.0,-22.0,-43.0,11.0,12.0,4.0,-43.0,-35.57142857142857,16.142857142857142,-20.571428571428573,-34.42857142857143,8.0,7.285714285714286,-13.333333333333334
7225,Texas,2020-04-03,5734,100,-48.0,-41.0,23.0,-44.0,-47.0,23.0,11.0,7.0,-43.42857142857143,-37.142857142857146,16.714285714285715,-18.571428571428573,-36.142857142857146,10.571428571428571,8.0,-13.0
7226,Texas,2020-04-04,6567,116,-37.0,-52.0,18.0,-69.0,-52.0,16.0,23.0,8.0,-44.142857142857146,-38.142857142857146,17.0,-17.142857142857142,-37.714285714285715,12.285714285714286,10.571428571428571,-12.761904761904765
7227,Texas,2020-04-05,7209,136,-39.0,-48.0,14.0,-47.0,-53.0,20.0,16.0,9.0,-44.57142857142857,-38.714285714285715,17.285714285714285,-15.142857142857142,-39.142857142857146,14.142857142857142,12.285714285714286,-12.19047619047619
7228,Texas,2020-04-06,8043,150,-47.0,-41.0,20.0,-33.0,-46.0,14.0,20.0,12.0,-44.714285714285715,-40.142857142857146,18.0,-18.714285714285715,-40.714285714285715,15.0,14.142857142857142,-13.61904761904762
7229,Texas,2020-04-07,8925,160,-49.0,-38.0,21.0,-17.0,-42.0,10.0,14.0,11.0,-45.0,-40.857142857142854,18.428571428571427,-20.142857142857142,-41.714285714285715,15.142857142857142,15.0,-14.19047619047619
7230,Texas,2020-04-08,9777,189,-48.0,-38.0,21.0,-14.0,-42.0,29.0,10.0,23.0,-45.142857142857146,-40.0,18.428571428571427,-20.142857142857142,-41.857142857142854,17.571428571428573,15.142857142857142,-13.904761904761905
7231,Texas,2020-04-09,11208,210,-50.0,-39.0,21.0,-21.0,-44.0,21.0,29.0,16.0,-45.42857142857143,-40.142857142857146,18.571428571428573,-23.0,-42.42857142857143,19.0,17.571428571428573,-14.857142857142856
7232,Texas,2020-04-10,12105,238,-56.0,-39.0,24.0,-29.0,-48.0,28.0,21.0,20.0,-46.57142857142857,-40.142857142857146,18.857142857142858,-26.571428571428573,-43.142857142857146,19.714285714285715,19.0,-15.952380952380954
7233,Texas,2020-04-11,13023,266,-38.0,-45.0,16.0,-54.0,-49.0,28.0,28.0,14.0,-46.714285714285715,-40.857142857142854,19.285714285714285,-31.428571428571427,-44.42857142857143,21.428571428571427,19.714285714285715,-17.666666666666668
7234,Texas,2020-04-12,13677,283,-43.0,-57.0,13.0,-53.0,-53.0,17.0,28.0,10.0,-47.285714285714285,-41.285714285714285,19.428571428571427,-34.285714285714285,-45.285714285714285,21.0,21.428571428571427,-18.71428571428571
7235,Texas,2020-04-13,14275,305,-47.0,-38.0,20.0,-29.0,-45.0,22.0,17.0,29.0,-47.285714285714285,-41.285714285714285,19.428571428571427,-33.42857142857143,-45.42857142857143,22.142857142857142,21.0,-18.42857142857143
7236,Texas,2020-04-14,15006,342,-47.0,-36.0,21.0,-26.0,-42.0,37.0,22.0,21.0,-47.0,-41.714285714285715,19.571428571428573,-34.0,-45.857142857142854,26.0,22.142857142857142,-18.71428571428571
7237,Texas,2020-04-15,15907,375,-46.0,-29.0,20.0,-13.0,-39.0,33.0,37.0,28.0,-46.714285714285715,-42.42857142857143,19.714285714285715,-35.142857142857146,-46.42857142857143,26.571428571428573,26.0,-19.28571428571429
7238,Texas,2020-04-16,16876,414,-47.0,-32.0,20.0,-4.0,-41.0,39.0,33.0,28.0,-46.285714285714285,-42.42857142857143,19.714285714285715,-35.0,-46.57142857142857,29.142857142857142,26.571428571428573,-19.238095238095237
7239,Texas,2020-04-17,17849,451,-46.0,-37.0,22.0,-33.0,-43.0,37.0,39.0,17.0,-44.857142857142854,-42.142857142857146,19.857142857142858,-32.857142857142854,-46.714285714285715,30.428571428571427,29.142857142857142,-18.38095238095238
7240,Texas,2020-04-18,18704,476,-31.0,-41.0,14.0,-43.0,-42.0,25.0,37.0,22.0,-43.857142857142854,-41.142857142857146,19.571428571428573,-30.714285714285715,-46.285714285714285,30.0,30.428571428571427,-17.42857142857143
7241,Texas,2020-04-19,19260,490,-36.0,-42.0,13.0,-44.0,-49.0,14.0,25.0,37.0,-42.857142857142854,-42.42857142857143,19.428571428571427,-31.571428571428573,-46.285714285714285,29.571428571428573,30.0,-18.190476190476193
7242,Texas,2020-04-20,19751,507,-45.0,-33.0,18.0,-15.0,-42.0,17.0,14.0,33.0,-42.57142857142857,-42.0,19.428571428571427,-31.0,-46.142857142857146,28.857142857142858,29.571428571428573,-17.857142857142858
7243,Texas,2020-04-21,20574,533,-47.0,-32.0,19.0,-9.0,-40.0,26.0,17.0,39.0,-42.57142857142857,-41.714285714285715,19.428571428571427,-32.285714285714285,-46.142857142857146,27.285714285714285,28.857142857142858,-18.19047619047619
7244,Texas,2020-04-22,21321,556,-46.0,-34.0,20.0,-20.0,-41.0,23.0,26.0,37.0,-42.57142857142857,-40.42857142857143,19.285714285714285,-32.142857142857146,-45.714285714285715,25.857142857142858,27.285714285714285,-17.761904761904763
