,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
7372,Utah,2020-04-04,1428,8,-34.0,-49.0,14.0,21.0,-42.0,1.0,0.0,2.0,-44.57142857142857,-35.857142857142854,15.285714285714286,20.285714285714285,-39.0,1.0,0.8571428571428571,-0.0952380952380949
7373,Utah,2020-04-05,1601,8,-43.0,-42.0,10.0,16.0,-49.0,0.0,1.0,1.0,-45.0,-37.0,15.714285714285714,12.0,-40.857142857142854,0.8571428571428571,1.0,-3.095238095238095
7374,Utah,2020-04-06,1678,13,-49.0,-37.0,19.0,6.0,-47.0,5.0,0.0,0.0,-45.42857142857143,-37.714285714285715,16.0,13.142857142857142,-41.57142857142857,1.2857142857142858,0.8571428571428571,-2.8571428571428577
7375,Utah,2020-04-07,1739,13,-50.0,-35.0,19.0,68.0,-44.0,0.0,5.0,2.0,-45.857142857142854,-37.857142857142854,16.142857142857142,17.571428571428573,-41.857142857142854,1.1428571428571428,1.2857142857142858,-1.3809523809523796
7376,Utah,2020-04-08,1848,13,-50.0,-33.0,19.0,71.0,-43.0,0.0,0.0,0.0,-46.0,-37.857142857142854,16.285714285714285,23.0,-41.857142857142854,1.1428571428571428,1.1428571428571428,0.4761904761904769
7377,Utah,2020-04-09,1856,13,-51.0,-34.0,20.0,33.0,-46.0,0.0,0.0,1.0,-46.285714285714285,-38.0,16.571428571428573,24.428571428571427,-42.285714285714285,0.8571428571428571,1.1428571428571428,1.0
7378,Utah,2020-04-10,2103,17,-50.0,-37.0,20.0,58.0,-46.0,4.0,0.0,0.0,-46.714285714285715,-38.0,16.857142857142858,27.142857142857142,-42.714285714285715,1.4285714285714286,0.8571428571428571,2.0
7379,Utah,2020-04-11,2207,18,-34.0,-42.0,12.0,28.0,-43.0,1.0,4.0,5.0,-46.714285714285715,-38.42857142857143,17.0,30.285714285714285,-43.0,1.4285714285714286,1.4285714285714286,2.952380952380951
7380,Utah,2020-04-12,2303,18,-45.0,-54.0,10.0,12.0,-51.0,0.0,1.0,0.0,-47.0,-38.57142857142857,17.0,28.857142857142858,-43.714285714285715,1.4285714285714286,1.4285714285714286,2.4285714285714293
7381,Utah,2020-04-13,2363,13,-48.0,-38.0,19.0,2.0,-47.0,-5.0,0.0,0.0,-46.857142857142854,-38.714285714285715,17.285714285714285,25.857142857142858,-44.42857142857143,0.0,1.4285714285714286,1.4761904761904756
