,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
7802,Virginia,2020-03-27,607,10,-44.0,-37.0,20.0,41.0,-49.0,0.0,1.0,3.0,-38.714285714285715,-15.857142857142858,10.0,33.285714285714285,-24.714285714285715,1.1428571428571428,1.1428571428571428,9.142857142857142
7803,Virginia,2020-03-28,740,13,-31.0,-42.0,12.0,24.0,-44.0,3.0,0.0,0.0,-39.857142857142854,-20.142857142857142,11.142857142857142,28.857142857142858,-28.714285714285715,1.4285714285714286,1.1428571428571428,6.6190476190476195
7804,Virginia,2020-03-29,890,20,-36.0,-39.0,11.0,46.0,-50.0,7.0,3.0,3.0,-40.57142857142857,-23.571428571428573,11.857142857142858,32.857142857142854,-32.42857142857143,2.0,1.4285714285714286,7.047619047619047
7805,Virginia,2020-03-30,1020,15,-44.0,-32.0,18.0,21.0,-49.0,-5.0,7.0,0.0,-41.142857142857146,-27.428571428571427,13.285714285714286,27.285714285714285,-35.857142857142854,1.2857142857142858,2.0,4.380952380952381
7806,Virginia,2020-03-31,1249,27,-48.0,-40.0,21.0,-15.0,-51.0,12.0,-5.0,1.0,-42.0,-30.0,14.142857142857142,24.0,-38.42857142857143,2.5714285714285716,1.2857142857142858,2.714285714285714
7807,Virginia,2020-04-01,1483,34,-49.0,-38.0,21.0,-11.0,-50.0,7.0,12.0,0.0,-42.42857142857143,-32.57142857142857,15.285714285714286,16.285714285714285,-41.142857142857146,3.5714285714285716,2.5714285714285716,-0.3333333333333333
7808,Virginia,2020-04-02,1706,41,-49.0,-38.0,21.0,9.0,-52.0,7.0,7.0,3.0,-43.0,-34.285714285714285,16.0,12.285714285714286,-42.857142857142854,4.428571428571429,3.5714285714285716,-1.9999999999999993
7809,Virginia,2020-04-03,2012,46,-48.0,-38.0,22.0,13.0,-52.0,5.0,7.0,7.0,-43.57142857142857,-35.857142857142854,16.714285714285715,9.714285714285714,-44.714285714285715,5.142857142857143,4.428571428571429,-3.142857142857142
7810,Virginia,2020-04-04,2407,52,-34.0,-45.0,14.0,4.0,-51.0,6.0,5.0,-5.0,-44.0,-36.57142857142857,16.857142857142858,12.285714285714286,-46.142857142857146,5.571428571428571,5.142857142857143,-2.476190476190475
7811,Virginia,2020-04-05,2640,52,-39.0,-44.0,12.0,21.0,-56.0,0.0,6.0,12.0,-44.42857142857143,-36.714285714285715,17.0,16.714285714285715,-47.142857142857146,4.571428571428571,5.571428571428571,-1.0
7812,Virginia,2020-04-06,2878,66,-48.0,-38.0,20.0,18.0,-54.0,14.0,0.0,7.0,-45.0,-36.42857142857143,16.857142857142858,23.857142857142858,-47.142857142857146,7.285714285714286,4.571428571428571,1.4285714285714282
7813,Virginia,2020-04-07,3335,66,-50.0,-37.0,20.0,29.0,-50.0,0.0,14.0,7.0,-45.285714285714285,-37.714285714285715,17.428571428571427,17.571428571428573,-48.285714285714285,5.571428571428571,7.285714285714286,-0.9047619047619051
7814,Virginia,2020-04-08,3645,66,-52.0,-38.0,21.0,24.0,-49.0,0.0,0.0,5.0,-45.714285714285715,-37.57142857142857,17.428571428571427,20.0,-48.42857142857143,4.571428571428571,5.571428571428571,-0.04761904761904745
