,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
8110,West Virginia,2020-04-12,593,6,-37.0,-62.0,9.0,2.0,-40.0,1.0,0.0,0.0,-41.714285714285715,-36.42857142857143,13.571428571428571,8.857142857142858,-31.428571428571427,0.42857142857142855,0.42857142857142855,-4.666666666666668
8111,West Virginia,2020-04-13,611,8,-44.0,-39.0,17.0,-23.0,-35.0,2.0,1.0,0.0,-42.0,-36.57142857142857,13.571428571428571,9.0,-32.0,0.5714285714285714,0.42857142857142855,-4.666666666666667
8112,West Virginia,2020-04-14,640,9,-42.0,-34.0,15.0,-11.0,-29.0,1.0,2.0,1.0,-41.857142857142854,-36.42857142857143,13.571428571428571,11.571428571428571,-32.0,0.7142857142857143,0.5714285714285714,-3.761904761904763
8113,West Virginia,2020-04-15,702,10,-42.0,-24.0,14.0,-2.0,-25.0,1.0,1.0,0.0,-41.42857142857143,-37.0,13.571428571428571,13.714285714285714,-32.142857142857146,0.8571428571428571,0.7142857142857143,-3.238095238095239
8114,West Virginia,2020-04-16,728,12,-42.0,-29.0,15.0,-6.0,-28.0,2.0,1.0,0.0,-41.0,-37.285714285714285,13.571428571428571,12.0,-32.285714285714285,1.0,0.8571428571428571,-3.904761904761905
8115,West Virginia,2020-04-17,775,16,-41.0,-36.0,17.0,-14.0,-34.0,4.0,2.0,1.0,-39.857142857142854,-38.285714285714285,14.0,7.142857142857143,-32.714285714285715,1.5714285714285714,1.0,-5.714285714285714
8116,West Virginia,2020-04-18,785,16,-29.0,-36.0,10.0,-8.0,-27.0,0.0,4.0,2.0,-39.57142857142857,-38.0,14.142857142857142,2.2857142857142856,-33.42857142857143,1.5714285714285714,1.5714285714285714,-7.190476190476191
8117,West Virginia,2020-04-19,890,18,-30.0,-31.0,7.0,40.0,-24.0,2.0,0.0,1.0,-38.57142857142857,-41.142857142857146,14.285714285714286,-1.4285714285714286,-34.0,1.7142857142857142,1.5714285714285714,-9.428571428571429
8118,West Virginia,2020-04-20,902,24,-41.0,-26.0,14.0,16.0,-26.0,6.0,2.0,1.0,-38.142857142857146,-41.714285714285715,14.571428571428571,-6.285714285714286,-34.285714285714285,2.2857142857142856,1.7142857142857142,-11.142857142857144
8119,West Virginia,2020-04-21,908,26,-42.0,-27.0,14.0,0.0,-23.0,2.0,6.0,2.0,-38.142857142857146,-41.42857142857143,14.571428571428571,-8.428571428571429,-34.42857142857143,2.4285714285714284,2.2857142857142856,-11.761904761904765
8120,West Virginia,2020-04-22,939,27,-42.0,-27.0,13.0,20.0,-18.0,1.0,2.0,4.0,-38.142857142857146,-39.42857142857143,14.428571428571429,-8.857142857142858,-34.142857142857146,2.4285714285714284,2.4285714285714284,-11.285714285714286
8121,West Virginia,2020-04-23,981,31,-42.0,-32.0,16.0,-20.0,-25.0,4.0,1.0,0.0,-38.142857142857146,-38.285714285714285,14.285714285714286,-7.714285714285714,-33.57142857142857,2.7142857142857144,2.4285714285714284,-10.571428571428571
8122,West Virginia,2020-04-24,1010,32,-41.0,-36.0,17.0,-13.0,-29.0,1.0,4.0,2.0,-38.142857142857146,-37.42857142857143,13.857142857142858,-6.0,-32.857142857142854,2.2857142857142856,2.7142857142857144,-9.857142857142858
8123,West Virginia,2020-04-25,1010,32,-28.0,-33.0,9.0,29.0,-18.0,0.0,1.0,6.0,-38.0,-37.142857142857146,13.857142857142858,-8.857142857142858,-31.142857142857142,2.2857142857142856,2.2857142857142856,-10.714285714285715
8124,West Virginia,2020-04-26,1055,34,-33.0,-35.0,9.0,-23.0,-25.0,2.0,0.0,2.0,-38.42857142857143,-32.714285714285715,13.571428571428571,-3.4285714285714284,-28.857142857142858,2.2857142857142856,2.2857142857142856,-7.523809523809525
8125,West Virginia,2020-04-27,1063,34,-39.0,-22.0,14.0,8.0,-19.0,0.0,2.0,1.0,-38.142857142857146,-30.857142857142858,13.142857142857142,2.142857142857143,-27.571428571428573,1.4285714285714286,2.2857142857142856,-5.190476190476191
8126,West Virginia,2020-04-28,1095,38,-40.0,-20.0,8.0,5.0,-17.0,4.0,0.0,4.0,-37.857142857142854,-29.857142857142858,13.0,3.7142857142857144,-26.714285714285715,1.7142857142857142,1.4285714285714286,-4.3809523809523805
8127,West Virginia,2020-04-29,1110,38,-40.0,-19.0,13.0,15.0,-16.0,0.0,4.0,1.0,-37.57142857142857,-30.285714285714285,12.857142857142858,6.857142857142857,-25.714285714285715,1.5714285714285714,1.7142857142857142,-3.5238095238095233
8128,West Virginia,2020-04-30,1125,41,-40.0,-22.0,15.0,-14.0,-17.0,3.0,0.0,0.0,-37.285714285714285,-30.714285714285715,13.0,4.857142857142857,-25.285714285714285,1.4285714285714286,1.5714285714285714,-4.285714285714286
