,CountryOrState,Date,confirmed,deaths,work,retail,residential,parks,transit,dDeaths,dDeaths_1,dDeaths_5,aWork,aRetail,aResidential,aParks,aTransit,adDeaths,adDeaths_1,mob_idx
8245,Wisconsin,2020-04-01,1556,27,-45.0,-43.0,19.0,74.0,-30.0,2.0,5.0,4.0,-40.714285714285715,-44.57142857142857,15.857142857142858,19.714285714285715,-32.57142857142857,2.857142857142857,2.857142857142857,-2.9999999999999987
8246,Wisconsin,2020-04-02,1748,38,-45.0,-44.0,20.0,91.0,-31.0,11.0,2.0,3.0,-40.857142857142854,-46.285714285714285,16.571428571428573,24.142857142857142,-34.285714285714285,4.0,2.857142857142857,-1.8571428571428565
8247,Wisconsin,2020-04-03,2012,51,-45.0,-46.0,23.0,43.0,-34.0,13.0,11.0,1.0,-41.142857142857146,-47.857142857142854,17.285714285714285,29.714285714285715,-35.857142857142854,5.285714285714286,4.0,-0.2857142857142847
8248,Wisconsin,2020-04-04,2030,54,-30.0,-51.0,14.0,50.0,-35.0,3.0,13.0,2.0,-41.0,-49.285714285714285,17.857142857142858,22.714285714285715,-38.42857142857143,5.285714285714286,5.285714285714286,-2.9047619047619038
8249,Wisconsin,2020-04-05,2320,74,-33.0,-47.0,10.0,124.0,-40.0,20.0,3.0,5.0,-40.857142857142854,-50.0,18.285714285714285,17.285714285714285,-40.0,8.0,5.285714285714286,-4.80952380952381
8250,Wisconsin,2020-04-06,2449,78,-44.0,-45.0,19.0,49.0,-35.0,4.0,20.0,2.0,-41.0,-51.285714285714285,18.571428571428573,21.142857142857142,-40.42857142857143,8.285714285714286,8.0,-3.8571428571428554
8251,Wisconsin,2020-04-07,2578,92,-46.0,-42.0,19.0,111.0,-23.0,14.0,4.0,11.0,-41.142857142857146,-51.285714285714285,18.714285714285715,17.857142857142858,-40.285714285714285,9.571428571428571,8.285714285714286,-4.904761904761904
8252,Wisconsin,2020-04-08,2710,100,-46.0,-47.0,20.0,31.0,-37.0,8.0,14.0,13.0,-41.285714285714285,-50.0,18.571428571428573,22.285714285714285,-39.285714285714285,10.428571428571429,9.571428571428571,-3.0476190476190474
8253,Wisconsin,2020-04-09,2886,111,-47.0,-46.0,21.0,14.0,-37.0,11.0,8.0,3.0,-41.57142857142857,-49.0,18.428571428571427,33.142857142857146,-38.142857142857146,10.428571428571429,10.428571428571429,0.8571428571428577
8254,Wisconsin,2020-04-10,3068,128,-52.0,-46.0,25.0,36.0,-38.0,17.0,11.0,20.0,-42.57142857142857,-48.285714285714285,18.428571428571427,34.57142857142857,-37.42857142857143,11.0,10.428571428571429,1.5714285714285705
