,state,model,n points,max deaths,sse,p1,p2,p3,p4,p5
0,Delaware,gamma,24,159,386.0,1.03,12.0,128.49,1147.93,
1,Delaware,mob adj gamma,24,159,243.0,1.09,4.0,1192454.65,12625632.68,-7.96
2,Delaware,skewed gaussian,24,159,183.0,11.03,-5.57,26.76,18.11,
3,Delaware,mob adj skewed gaussian,24,159,168.0,5.62,15.06,24.34,-21.51,-8.26
4,Alaska,gamma,69,12,4.0,0.96,1.0,5.01,2.06,
5,Alaska,mob adj gamma,69,12,4.0,0.91,63.0,6.17,6.56,-1.59
6,Alaska,skewed gaussian,69,12,5.0,1.63,-9.0,66.01,0.12,
7,Alaska,mob adj skewed gaussian,69,12,4.0,0.38,-3876.67,8.0,7.08,-11.29
8,Georgia,gamma,82,2451,34096.0,1.6,-0.33,55.51,4271.67,
9,Georgia,mob adj gamma,82,2451,34038.0,1.46,-0.31,94.48,6325.5,-0.97
10,Georgia,skewed gaussian,82,2451,33775.0,43.96,17.34,5.81,102.63,
11,Georgia,mob adj skewed gaussian,82,2451,33718.0,40.15,6422.54,5.24,38727.57,-0.92
12,Kansas,gamma,81,245,486.0,1.91,1.83,20.68,264.16,
13,Kansas,mob adj gamma,81,245,481.0,2.05,1.66,17.05,203.76,1.37
14,Kansas,skewed gaussian,81,245,483.0,6.54,8.16,7.34,39.12,
15,Kansas,mob adj skewed gaussian,81,245,480.0,6.04,-7.12,7.42,-35.42,0.93
16,Kentucky,gamma,78,499,1906.0,1.15,2.0,77.68,879.98,
17,Kentucky,mob adj gamma,78,499,1880.0,1.14,2.0,102.4,1219.29,-0.92
18,Kentucky,skewed gaussian,78,499,1903.0,9.75,28275.61,3.0,69.35,
19,Kentucky,mob adj skewed gaussian,78,499,1867.0,10.21,70987.82,2.76,14654.83,-1.41
20,Ohio,gamma,74,2559,32163.0,7.67,-35.88,10.63,3095.5,
21,Ohio,mob adj gamma,74,2559,32125.0,6.56,-32.05,12.36,3445.05,-0.28
22,Ohio,skewed gaussian,74,2559,32174.0,71.14,2.46,12.4,44.19,
23,Ohio,mob adj skewed gaussian,74,2559,32133.0,72.86,2.71,12.36,48.57,-0.29
24,Oklahoma,gamma,75,360,888.0,1.95,-6.21,19.99,381.39,
25,Oklahoma,mob adj gamma,75,360,872.0,1.45,-5.66,43.81,586.51,-1.89
26,Oklahoma,skewed gaussian,75,360,890.0,10.13,4.16,-3.0,38.84,
27,Oklahoma,mob adj skewed gaussian,75,360,872.0,8.69,15.17,-2.03,61.96,-1.96
28,South Carolina,gamma,78,600,3277.0,2.57,-6.91,28.52,878.18,
29,South Carolina,mob adj gamma,78,600,6174.0,0.94,68.0,4.84,17.42,19.21
30,South Carolina,skewed gaussian,78,600,3261.0,12.99,5.34,10.66,68.6,
31,South Carolina,mob adj skewed gaussian,78,600,3209.0,14.58,-41138.29,77.0,46.21,-2.49
32,Tennessee,gamma,74,474,1888.0,44.69,-16787.54,583.24,1589735.57,
33,Tennessee,mob adj gamma,74,474,2997.0,0.73,38.0,21.01,-59.28,-47.56
34,Tennessee,skewed gaussian,74,474,,,,,,
35,Tennessee,mob adj skewed gaussian,74,474,3686.0,9.51,478724.46,60.0,15.18,0.98
36,Vermont,gamma,75,55,57.0,1.88,7.89,7.5,32.2,
